,sample_n,run_id
0,14,0
1,9,0
2,3,0
3,4,0
4,4,0
0,4,1
1,2,1
2,5,1
3,1,1
4,37,1
0,15,2
1,6,2
2,5,2
3,6,2
4,17,2
0,4,3
1,7,3
2,10,3
3,10,3
4,18,3
0,11,4
1,4,4
2,6,4
3,7,4
4,21,4
0,13,5
1,5,5
2,4,5
3,7,5
4,20,5
0,6,6
1,3,6
2,3,6
3,7,6
4,30,6
0,14,7
1,3,7
2,7,7
3,7,7
4,18,7
0,4,8
1,8,8
2,9,8
3,9,8
4,19,8
0,17,9
1,7,9
2,6,9
3,5,9
4,14,9
0,7,10
1,10,10
2,8,10
3,8,10
4,16,10
0,8,11
1,6,11
2,8,11
3,7,11
4,20,11
0,14,12
1,9,12
2,1,12
3,5,12
4,20,12
0,1,13
1,8,13
2,9,13
3,9,13
4,22,13
0,11,14
1,5,14
2,3,14
3,6,14
4,24,14
0,3,15
1,9,15
2,4,15
3,7,15
4,26,15
0,15,16
1,7,16
2,6,16
3,4,16
4,17,16
0,1,17
1,7,17
2,10,17
3,6,17
4,25,17
0,17,18
1,10,18
2,4,18
3,2,18
4,16,18
0,1,19
1,3,19
2,7,19
3,8,19
4,30,19
0,14,20
1,9,20
2,3,20
3,6,20
4,17,20
0,1,21
1,4,21
2,6,21
3,9,21
4,29,21
0,20,22
1,7,22
2,4,22
3,1,22
4,17,22
0,7,23
1,10,23
2,10,23
3,3,23
4,19,23
0,9,24
1,4,24
2,10,24
3,6,24
4,20,24
0,16,25
1,3,25
2,5,25
3,4,25
4,21,25
0,2,26
1,6,26
2,4,26
3,7,26
4,30,26
0,14,27
1,8,27
2,2,27
3,1,27
4,24,27
0,3,28
1,10,28
2,5,28
3,4,28
4,27,28
0,13,29
1,6,29
2,7,29
3,3,29
4,20,29
0,2,30
1,8,30
2,12,30
3,5,30
4,22,30
0,11,31
1,9,31
2,1,31
3,6,31
4,22,31
0,13,32
1,7,32
2,8,32
3,3,32
4,18,32
0,2,33
1,3,33
2,5,33
3,9,33
4,30,33
0,4,34
1,7,34
2,8,34
3,4,34
4,26,34
0,15,35
1,8,35
2,4,35
3,2,35
4,20,35
0,1,36
1,8,36
2,7,36
3,6,36
4,27,36
0,11,37
1,4,37
2,3,37
3,4,37
4,27,37
0,13,38
1,2,38
2,1,38
3,3,38
4,30,38
0,3,39
1,2,39
2,6,39
3,3,39
4,35,39
0,13,40
1,6,40
2,4,40
3,4,40
4,22,40
0,2,41
1,2,41
2,7,41
3,4,41
4,34,41
0,10,42
1,8,42
2,6,42
3,2,42
4,23,42
0,1,43
1,4,43
2,9,43
3,8,43
4,27,43
0,16,44
1,9,44
2,5,44
3,3,44
4,16,44
0,4,45
1,10,45
2,11,45
3,6,45
4,18,45
0,13,46
1,1,46
2,5,46
3,2,46
4,28,46
0,5,47
1,6,47
2,6,47
3,2,47
4,30,47
0,12,48
1,10,48
2,2,48
3,2,48
4,23,48
0,5,49
1,7,49
2,5,49
3,8,49
4,24,49
0,13,50
1,8,50
2,4,50
3,4,50
4,20,50
0,1,51
1,6,51
2,10,51
3,5,51
4,27,51
0,14,52
1,2,52
2,4,52
3,1,52
4,37,52
0,2,53
1,5,53
2,2,53
3,6,53
4,43,53
0,16,54
1,8,54
2,6,54
3,3,54
4,25,54
0,3,55
1,6,55
2,9,55
3,8,55
4,32,55
0,14,56
1,8,56
2,5,56
3,5,56
4,26,56
0,6,57
1,3,57
2,5,57
3,5,57
4,39,57
0,17,58
1,8,58
2,5,58
3,3,58
4,25,58
0,4,59
1,11,59
2,10,59
3,7,59
4,26,59
0,12,60
1,2,60
2,4,60
3,4,60
4,36,60
0,11,61
1,8,61
2,7,61
3,3,61
4,29,61
0,3,62
1,4,62
2,10,62
3,6,62
4,35,62
0,12,63
1,9,63
2,2,63
3,5,63
4,30,63
0,1,64
1,12,64
2,5,64
3,7,64
4,33,64
0,5,65
1,2,65
2,7,65
3,8,65
4,36,65
0,12,66
1,11,66
2,5,66
3,3,66
4,27,66
0,3,67
1,5,67
2,10,67
3,7,67
4,33,67
0,10,68
1,7,68
2,3,68
3,3,68
4,35,68
0,14,69
1,7,69
2,4,69
3,5,69
4,28,69
0,3,70
1,5,70
2,6,70
3,10,70
4,34,70
0,14,71
1,7,71
2,4,71
3,5,71
4,28,71
0,3,72
1,5,72
2,3,72
3,6,72
4,41,72
0,10,73
1,10,73
2,3,73
3,3,73
4,32,73
0,1,74
1,7,74
2,7,74
3,5,74
4,38,74
0,12,75
1,3,75
2,7,75
3,6,75
4,30,75
0,14,76
1,7,76
2,4,76
3,3,76
4,30,76
0,2,77
1,12,77
2,7,77
3,4,77
4,33,77
0,15,78
1,8,78
2,7,78
3,1,78
4,27,78
0,2,79
1,7,79
2,10,79
3,5,79
4,34,79
0,14,80
1,8,80
2,1,80
3,7,80
4,28,80
0,1,81
1,4,81
2,4,81
3,7,81
4,42,81
0,17,82
1,9,82
2,6,82
3,2,82
4,24,82
0,1,83
1,4,83
2,9,83
3,6,83
4,38,83
0,15,84
1,3,84
2,7,84
3,7,84
4,26,84
0,4,85
1,5,85
2,11,85
3,8,85
4,30,85
0,9,86
1,8,86
2,1,86
3,2,86
4,38,86
0,2,87
1,4,87
2,4,87
3,6,87
4,42,87
0,13,88
1,11,88
2,5,88
3,3,88
4,26,88
0,1,89
1,14,89
2,9,89
3,5,89
4,29,89
0,15,90
1,5,90
2,5,90
3,6,90
4,27,90
0,5,91
1,10,91
2,6,91
3,8,91
4,29,91
0,16,92
1,10,92
2,5,92
3,2,92
4,25,92
0,1,93
1,10,93
2,10,93
3,6,93
4,31,93
0,14,94
1,4,94
2,7,94
3,7,94
4,26,94
0,1,95
1,10,95
2,7,95
3,8,95
4,32,95
0,11,96
1,10,96
2,6,96
3,5,96
4,26,96
0,11,97
1,4,97
2,9,97
3,4,97
4,30,97
0,9,98
1,7,98
2,7,98
3,4,98
4,31,98
0,16,99
1,3,99
2,3,99
3,7,99
4,29,99
0,3,100
1,10,100
2,6,100
3,9,100
4,30,100
0,15,101
1,8,101
2,7,101
3,2,101
4,26,101
0,1,102
1,3,102
2,9,102
3,9,102
4,36,102
0,12,103
1,7,103
2,7,103
3,4,103
4,28,103
0,5,104
1,3,104
2,6,104
3,7,104
4,37,104
0,7,105
1,9,105
2,6,105
3,3,105
4,33,105
0,11,106
1,4,106
2,6,106
3,8,106
4,29,106
0,1,107
1,7,107
2,10,107
3,9,107
4,31,107
0,14,108
1,6,108
2,2,108
3,6,108
4,30,108
0,3,109
1,9,109
2,8,109
3,7,109
4,31,109
0,14,110
1,7,110
2,4,110
3,5,110
4,28,110
0,11,111
1,1,111
2,3,111
3,10,111
4,33,111
0,4,112
1,7,112
2,6,112
3,7,112
4,34,112
0,5,113
1,7,113
2,3,113
3,8,113
4,35,113
0,15,114
1,9,114
2,4,114
3,3,114
4,27,114
0,5,115
1,11,115
2,9,115
3,5,115
4,28,115
0,16,116
1,4,116
2,5,116
3,4,116
4,29,116
0,1,117
1,6,117
2,9,117
3,7,117
4,35,117
0,11,118
1,6,118
2,4,118
3,4,118
4,33,118
0,15,119
1,5,119
2,4,119
3,4,119
4,30,119
0,2,120
1,5,120
2,9,120
3,6,120
4,36,120
0,8,121
1,8,121
2,4,121
3,5,121
4,33,121
0,4,122
1,2,122
2,8,122
3,7,122
4,37,122
0,3,123
1,7,123
2,4,123
3,5,123
4,39,123
0,13,124
1,8,124
2,5,124
3,1,124
4,31,124
0,16,125
1,8,125
2,5,125
3,2,125
4,27,125
0,1,126
1,12,126
2,8,126
3,7,126
4,30,126
0,11,127
1,5,127
2,5,127
3,6,127
4,31,127
0,6,128
1,7,128
2,6,128
3,6,128
4,33,128
0,15,129
1,6,129
2,6,129
3,3,129
4,28,129
0,1,130
1,7,130
2,6,130
3,7,130
4,37,130
0,15,131
1,7,131
2,6,131
3,3,131
4,27,131
0,4,132
1,9,132
2,11,132
3,6,132
4,28,132
0,7,133
1,4,133
2,10,133
3,6,133
4,31,133
0,13,134
1,7,134
2,2,134
3,6,134
4,30,134
0,2,135
1,9,135
2,7,135
3,9,135
4,31,135
0,12,136
1,1,136
2,4,136
3,5,136
4,36,136
0,1,137
1,8,137
2,4,137
3,7,137
4,38,137
0,10,138
1,6,138
2,5,138
3,5,138
4,32,138
0,14,139
1,9,139
2,4,139
3,2,139
4,29,139
0,2,140
1,7,140
2,8,140
3,9,140
4,32,140
0,16,141
1,2,141
2,6,141
3,8,141
4,26,141
0,1,142
1,5,142
2,9,142
3,9,142
4,34,142
