,sample_n,run_id
0,1,0
1,10,0
2,16,0
3,11,0
4,31,0
0,18,1
1,4,1
2,2,1
3,13,1
4,32,1
0,3,2
1,12,2
2,7,2
3,14,2
4,33,2
0,14,3
1,9,3
2,9,3
3,10,3
4,27,3
0,3,4
1,9,4
2,15,4
3,12,4
4,30,4
0,17,5
1,13,5
2,6,5
3,2,5
4,31,5
0,3,6
1,13,6
2,12,6
3,9,6
4,32,6
0,16,7
1,3,7
2,10,7
3,8,7
4,32,7
0,3,8
1,11,8
2,12,8
3,10,8
4,33,8
0,11,9
1,9,9
2,7,9
3,9,9
4,33,9
0,14,10
1,11,10
2,9,10
3,6,10
4,29,10
0,1,11
1,13,11
2,12,11
3,11,11
4,32,11
0,19,12
1,9,12
2,11,12
3,5,12
4,31,12
0,7,13
1,13,13
2,12,13
3,11,13
4,32,13
0,11,14
1,12,14
2,12,14
3,7,14
4,33,14
0,17,15
1,7,15
2,10,15
3,9,15
4,32,15
0,7,16
1,13,16
2,11,16
3,11,16
4,33,16
0,11,17
1,6,17
2,11,17
3,12,17
4,35,17
0,15,18
1,11,18
2,9,18
3,8,18
4,32,18
0,3,19
1,17,19
2,13,19
3,9,19
4,33,19
0,16,20
1,5,20
2,10,20
3,11,20
4,33,20
0,6,21
1,11,21
2,11,21
3,13,21
4,34,21
0,14,22
1,8,22
2,9,22
3,10,22
4,34,22
0,4,23
1,11,23
2,12,23
3,13,23
4,35,23
0,18,24
1,12,24
2,3,24
3,10,24
4,32,24
0,6,25
1,13,25
2,9,25
3,13,25
4,34,25
0,19,26
1,9,26
2,9,26
3,9,26
4,29,26
0,5,27
1,13,27
2,12,27
3,14,27
4,31,27
0,11,28
1,10,28
2,11,28
3,11,28
4,32,28
0,14,29
1,7,29
2,8,29
3,11,29
4,35,29
0,4,30
1,12,30
2,11,30
3,12,30
4,36,30
0,18,31
1,10,31
2,6,31
3,10,31
4,31,31
0,8,32
1,13,32
2,10,32
3,12,32
4,32,32
0,8,33
1,10,33
2,11,33
3,14,33
4,32,33
0,17,34
1,7,34
2,7,34
3,11,34
4,33,34
0,7,35
1,10,35
2,12,35
3,12,35
4,34,35
0,12,36
1,7,36
2,10,36
3,12,36
4,34,36
0,19,37
1,11,37
2,7,37
3,7,37
4,31,37
0,7,38
1,13,38
2,13,38
3,10,38
4,32,38
0,12,39
1,6,39
2,13,39
