rule,grid,setting,w,grid_r2,grid_rmse,hab,dis
rmse,record grid,57,1e-05,0.754902091896487,4.076386521580853,,
rmse,extended grid,53,1.7782794100389227e-07,0.7703619716629769,4.046792492383792,,
r2,record grid,57,1e-05,0.754902091896487,4.076386521580853,,
r2,extended grid,53,1.7782794100389227e-07,0.7703619716629769,4.046792492383792,,
rmse,"extended grid, re-evaluated (32 rollouts, seed 877)",53,1.7782794100389227e-07,0.7724684214308483,4.050877938611149,0.9604063415334912,1.0357356126983535
