setting,metric,world_EIGs,V_prior,alpha_prior,beta_prior,eps_fixed,sd_epsilon,infer_eps,sigma_true,window,r2_21,rmse21_full,rmse21_cv,b21,bg1,bg2,bg11,dev
0,mi_concept,3.1622776601683795e-05,1.0,1.0,0.1,,0.5,True,0.1,exemplar_mean,0.6617470159097629,211.75565980012956,215.20958738100185,184.3815923186326,24.08333333333333,19.90625,16.729166666666668,20.065625
0,mi_concept,0.0001,1.0,1.0,0.1,,0.5,True,0.1,exemplar_mean,0.5927375897040248,232.35465215122343,238.0526926334761,251.24387117332813,16.083333333333332,14.083333333333334,11.552083333333334,13.520833333333334
0,mi_concept,0.0003162277660168,1.0,1.0,0.1,,0.5,True,0.1,exemplar_mean,0.573367566363811,237.8160398444232,242.95240705576816,300.5361296550649,11.15625,9.302083333333334,6.989583333333333,9.022916666666667
0,mi_concept,0.001,1.0,1.0,0.1,,0.5,True,0.1,exemplar_mean,0.4632025894590424,266.7592051645821,275.6041263458888,358.4502934552929,8.458333333333334,6.75,5.260416666666667,6.1239583333333325
0,mi_concept,0.0031622776601683,1.0,1.0,0.1,,0.5,True,0.1,exemplar_mean,0.3069454898241202,303.10835367318793,341.2254639149337,354.8337777770484,5.833333333333333,4.697916666666667,3.520833333333333,4.043750000000001
0,mi_concept,0.01,1.0,1.0,0.1,,0.5,True,0.1,exemplar_mean,0.2428945843208652,316.80526097747395,366.7398157731209,383.39413556048464,4.260416666666667,3.6354166666666665,2.114583333333333,2.7583333333333333
0,mi_concept,0.0316227766016837,1.0,1.0,0.1,,0.5,True,0.1,exemplar_mean,0.204273871445634,324.78504087437767,380.9131561350405,480.7296924754977,3.0,2.375,1.5729166666666667,1.9197916666666668
0,mi_concept,0.0999999999999999,1.0,1.0,0.1,,0.5,True,0.1,exemplar_mean,0.0642912861908437,352.1961024528013,392.4815931445896,453.6820934818769,1.90625,1.9270833333333333,1.3333333333333333,1.4604166666666667
0,mi_concept,0.3162277660168379,1.0,1.0,0.1,,0.5,True,0.1,exemplar_mean,7.194942155339381e-09,364.0945742219499,368.7706555758176,0.2911379341702658,1.3541666666666667,1.3645833333333333,1.1041666666666667,1.2125
0,mi_concept,1.0,1.0,1.0,0.1,,0.5,True,0.1,exemplar_mean,0.1506742166995168,335.5454566814689,383.69765051450656,3785.17464689872,1.1979166666666667,1.1041666666666667,1.0416666666666667,1.1010416666666667
0,mi_concept,3.162277660168379,1.0,1.0,0.1,,0.5,True,0.1,exemplar_mean,0.0011543213868158,364.0945755317696,368.6815949759371,-504.0369799881414,1.0833333333333333,1.0729166666666667,1.0625,1.03125
1,mi_concept,3.1622776601683795e-05,1.0,1.0,0.1,,0.5,True,0.2,exemplar_mean,0.5272908703412345,250.3290226115041,262.9509764804108,99.3171685324227,37.32291666666666,32.385416666666664,25.6875,30.834375
1,mi_concept,0.0001,1.0,1.0,0.1,,0.5,True,0.2,exemplar_mean,0.4087651892685064,279.95885388989154,316.3481828687234,149.32940791287734,22.64583333333333,22.135416666666668,17.479166666666668,20.29895833333333
1,mi_concept,0.0003162277660168,1.0,1.0,0.1,,0.5,True,0.2,exemplar_mean,0.3123501981823114,301.9241621003448,336.7794743578469,185.21754784534417,15.854166666666666,14.291666666666666,11.708333333333334,12.951041666666669
1,mi_concept,0.001,1.0,1.0,0.1,,0.5,True,0.2,exemplar_mean,0.2968076803909694,305.31719793354233,347.04251163142993,228.02744504205663,10.604166666666666,10.104166666666666,7.229166666666667,8.573958333333334
1,mi_concept,0.0031622776601683,1.0,1.0,0.1,,0.5,True,0.2,exemplar_mean,0.2808240572668867,308.7676442158963,355.2235316870204,291.6373840714335,7.302083333333333,6.197916666666667,5.083333333333333,5.471874999999999
1,mi_concept,0.01,1.0,1.0,0.1,,0.5,True,0.2,exemplar_mean,0.1376557558965633,338.1072964791574,382.83314202149165,308.666000245408,4.6875,4.229166666666667,3.2291666666666665,3.5604166666666663
1,mi_concept,0.0316227766016837,1.0,1.0,0.1,,0.5,True,0.2,exemplar_mean,0.0609128490842918,352.8313430305789,375.0284126583513,303.64399337724944,2.6041666666666665,2.677083333333333,1.9583333333333333,2.34375
1,mi_concept,0.0999999999999999,1.0,1.0,0.1,,0.5,True,0.2,exemplar_mean,0.1137721337477751,342.7574549988077,373.4479091371619,758.5259065081921,1.84375,1.6666666666666667,1.4479166666666667,1.6270833333333332
1,mi_concept,0.3162277660168379,1.0,1.0,0.1,,0.5,True,0.2,exemplar_mean,0.0683377626313866,351.4337405548687,370.5686401429931,1013.5921346708238,1.3541666666666667,1.4479166666666667,1.1145833333333333,1.2552083333333337
1,mi_concept,1.0,1.0,1.0,0.1,,0.5,True,0.2,exemplar_mean,0.0443292098891443,355.9330898242308,370.2147597620921,1797.9859278129618,1.1145833333333333,1.1458333333333333,1.0416666666666667,1.0864583333333333
1,mi_concept,3.162277660168379,1.0,1.0,0.1,,0.5,True,0.2,exemplar_mean,0.0540612252450432,364.0945755317696,360.26577905524965,-5108.760946504685,1.0208333333333333,1.0208333333333333,1.0208333333333333,1.0239583333333333
2,mi_concept,3.1622776601683795e-05,1.0,1.0,0.1,,1.0,True,0.1,exemplar_mean,0.6639132820671875,211.0764996101044,229.8891122309388,187.23519637801184,24.40625,18.604166666666668,17.65625,19.73020833333333
2,mi_concept,0.0001,1.0,1.0,0.1,,1.0,True,0.1,exemplar_mean,0.6382059109675713,219.0004172066488,227.5785814530668,276.42851939427146,15.916666666666666,13.541666666666666,11.520833333333334,13.478125
2,mi_concept,0.0003162277660168,1.0,1.0,0.1,,1.0,True,0.1,exemplar_mean,0.5176227697372785,252.87599720811696,250.38419422111997,279.145150878294,11.895833333333334,9.822916666666666,7.916666666666667,9.071875
2,mi_concept,0.001,1.0,1.0,0.1,,1.0,True,0.1,exemplar_mean,0.5783536681763503,236.42226400849,242.44775890119823,350.37608633490754,8.614583333333334,6.291666666666667,5.041666666666667,6.24375
2,mi_concept,0.0031622776601683,1.0,1.0,0.1,,1.0,True,0.1,exemplar_mean,0.2522052004639925,314.8512551318705,371.5888286554223,330.78578229626663,5.875,4.802083333333333,3.3541666666666665,3.9302083333333337
2,mi_concept,0.01,1.0,1.0,0.1,,1.0,True,0.1,exemplar_mean,0.2426095904800764,316.8648821683952,362.692851670979,409.6141378364434,4.052083333333333,3.5625,2.1354166666666665,2.7802083333333334
2,mi_concept,0.0316227766016837,1.0,1.0,0.1,,1.0,True,0.1,exemplar_mean,0.1098197412912183,343.5209182999749,387.8826540569584,368.98021660639176,2.8125,2.375,1.6458333333333333,1.9260416666666669
2,mi_concept,0.0999999999999999,1.0,1.0,0.1,,1.0,True,0.1,exemplar_mean,0.0750862406998148,350.15862541210333,387.5449661645322,433.9417021676252,1.875,2.0,1.3333333333333333,1.4427083333333337
2,mi_concept,0.3162277660168379,1.0,1.0,0.1,,1.0,True,0.1,exemplar_mean,0.0056346319067856,363.06735703195625,373.66685870988846,220.5022471831295,1.3645833333333333,1.3541666666666667,1.15625,1.2427083333333333
2,mi_concept,1.0,1.0,1.0,0.1,,1.0,True,0.1,exemplar_mean,0.0341180820173161,357.82957000211303,373.90519668919313,1123.920772053611,1.1458333333333333,1.09375,1.03125,1.109375
2,mi_concept,3.162277660168379,1.0,1.0,0.1,,1.0,True,0.1,exemplar_mean,4.0499150831179225e-05,364.0945755317696,365.9627074307716,-88.1200094526632,1.0416666666666667,1.0104166666666667,1.0416666666666667,1.0416666666666663
3,mi_concept,3.1622776601683795e-05,1.0,1.0,0.1,,1.0,True,0.2,exemplar_mean,0.5943401175907235,231.89705796210356,238.8789638260078,159.95479179402406,34.052083333333336,30.46875,27.70833333333333,30.665625
3,mi_concept,0.0001,1.0,1.0,0.1,,1.0,True,0.2,exemplar_mean,0.3219592886924186,299.8072246001626,332.05092177547897,124.33882953185208,22.729166666666668,22.05208333333333,15.854166666666666,20.216666666666665
3,mi_concept,0.0003162277660168,1.0,1.0,0.1,,1.0,True,0.2,exemplar_mean,0.2985860410974263,304.9308826866024,340.55962889738464,162.60106986135492,16.177083333333332,15.520833333333334,11.9375,13.291666666666666
3,mi_concept,0.001,1.0,1.0,0.1,,1.0,True,0.2,exemplar_mean,0.2952982803425864,305.64470347117845,341.2353200692942,200.13524530376216,11.03125,9.979166666666666,7.34375,8.525000000000002
3,mi_concept,0.0031622776601683,1.0,1.0,0.1,,1.0,True,0.2,exemplar_mean,0.1207261381577908,341.4100413530361,389.1902964578964,207.9063389860992,6.979166666666667,7.041666666666667,4.791666666666667,5.555208333333334
3,mi_concept,0.01,1.0,1.0,0.1,,1.0,True,0.2,exemplar_mean,0.2280283204107104,319.90048073731003,359.8317727196456,361.0230676620765,4.697916666666667,4.28125,3.03125,3.6208333333333327
3,mi_concept,0.0316227766016837,1.0,1.0,0.1,,1.0,True,0.2,exemplar_mean,0.0565110870806865,353.6572855014053,379.7132878393035,287.6623773246045,2.6875,2.8854166666666665,2.020833333333333,2.3
3,mi_concept,0.0999999999999999,1.0,1.0,0.1,,1.0,True,0.2,exemplar_mean,0.059141981536468,353.1638591832363,383.6010357231425,457.8219327024538,1.8645833333333333,2.0729166666666665,1.4479166666666667,1.6333333333333335
3,mi_concept,0.3162277660168379,1.0,1.0,0.1,,1.0,True,0.2,exemplar_mean,0.0046712786172598,364.0945755317696,360.26577905524965,-234.26402290106924,1.2604166666666667,1.5416666666666667,1.1666666666666667,1.2270833333333333
3,mi_concept,1.0,1.0,1.0,0.1,,1.0,True,0.2,exemplar_mean,0.0102647916093869,362.2210778926779,389.0824857063657,1198.842893512575,1.1145833333333333,1.125,1.0729166666666667,1.0812500000000005
3,mi_concept,3.162277660168379,1.0,1.0,0.1,,1.0,True,0.2,exemplar_mean,0.038071790119731,357.0964553269744,385.1714472138629,3659.122951237535,1.0729166666666667,1.0208333333333333,1.0208333333333333,1.0291666666666666
4,mi_concept,3.1622776601683795e-05,1.0,1.0,1.0,,0.5,True,0.1,exemplar_mean,0.2967073175348972,305.33898529658376,332.0369641035404,229.649237360492,11.666666666666666,10.15625,8.302083333333334,8.964583333333334
4,mi_concept,0.0001,1.0,1.0,1.0,,0.5,True,0.1,exemplar_mean,0.1673888311313969,332.22730619050816,387.4252939229109,237.28339898453177,8.229166666666666,7.072916666666667,5.447916666666667,6.059375
4,mi_concept,0.0003162277660168,1.0,1.0,1.0,,0.5,True,0.1,exemplar_mean,0.2693918903325711,311.2120847958788,360.79472408209233,303.5266917135205,6.75,4.635416666666667,3.8125,4.219791666666667
4,mi_concept,0.001,1.0,1.0,1.0,,0.5,True,0.1,exemplar_mean,0.2721819200942268,310.617291563812,354.7981321479206,347.4317223344777,5.09375,3.71875,2.71875,2.978125
4,mi_concept,0.0031622776601683,1.0,1.0,1.0,,0.5,True,0.1,exemplar_mean,0.2532626012537282,314.6285725590277,349.5432908393992,409.8839514155725,4.010416666666667,2.78125,1.75,2.25
4,mi_concept,0.01,1.0,1.0,1.0,,0.5,True,0.1,exemplar_mean,0.1318953236657828,339.2346898892625,391.91859707668726,367.4489190890464,2.875,2.53125,1.4270833333333333,1.728125
4,mi_concept,0.0316227766016837,1.0,1.0,1.0,,0.5,True,0.1,exemplar_mean,0.1303836212494981,339.529930114176,386.2778660249996,598.5915989056542,2.0625,1.8854166666666667,1.375,1.475
4,mi_concept,0.0999999999999999,1.0,1.0,1.0,,0.5,True,0.1,exemplar_mean,0.0577397089126011,353.42694224855825,387.9445968960332,655.926025636744,1.625,1.40625,1.2083333333333333,1.2677083333333334
4,mi_concept,0.3162277660168379,1.0,1.0,1.0,,0.5,True,0.1,exemplar_mean,0.0003820709610154,364.0945755317696,371.1157395764264,-134.94620551966165,1.1354166666666667,1.1875,1.15625,1.190625
4,mi_concept,1.0,1.0,1.0,1.0,,0.5,True,0.1,exemplar_mean,0.0380156158430724,364.0945755317696,360.26577905524965,-2334.572490516377,1.0520833333333333,1.0833333333333333,1.0520833333333333,1.0885416666666667
4,mi_concept,3.162277660168379,1.0,1.0,1.0,,0.5,True,0.1,exemplar_mean,0.1701887685942773,364.0945755317696,360.26577905524965,-9742.751402719514,1.0104166666666667,1.03125,1.0208333333333333,1.028125
5,mi_concept,3.1622776601683795e-05,1.0,1.0,1.0,,0.5,True,0.2,exemplar_mean,0.0555078619545098,353.8452599464264,386.6172754561266,75.31989233420626,17.322916666666668,15.697916666666666,13.395833333333334,13.8375
5,mi_concept,0.0001,1.0,1.0,1.0,,0.5,True,0.2,exemplar_mean,0.2769205543674382,309.60446610109256,341.5267932400662,199.89622698542712,12.9375,10.395833333333334,9.135416666666666,9.4875
5,mi_concept,0.0003162277660168,1.0,1.0,1.0,,0.5,True,0.2,exemplar_mean,0.2202564558190696,321.5067553208809,358.2954451216527,244.63762554074907,8.78125,7.239583333333333,5.645833333333333,6.446875
5,mi_concept,0.001,1.0,1.0,1.0,,0.5,True,0.2,exemplar_mean,0.1028637300956283,344.8604702767257,389.8395342489612,207.6184999358217,6.34375,5.510416666666667,4.4375,4.417708333333333
5,mi_concept,0.0031622776601683,1.0,1.0,1.0,,0.5,True,0.2,exemplar_mean,0.0929015104125379,346.7699298041597,390.4467203158146,281.9656347478967,4.302083333333333,3.71875,2.9166666666666665,2.980208333333333
5,mi_concept,0.01,1.0,1.0,1.0,,0.5,True,0.2,exemplar_mean,0.1724584521848893,331.21432543556875,382.832928200494,436.3986009543061,3.4166666666666665,2.7291666666666665,1.9583333333333333,2.15625
5,mi_concept,0.0316227766016837,1.0,1.0,1.0,,0.5,True,0.2,exemplar_mean,0.0367488986603045,357.3419193547176,389.5264161466139,341.6735938931249,2.2291666666666665,1.9166666666666667,1.4895833333333333,1.621875
