,sample_n,run_id
0,8,0
1,9,0
2,2,0
3,17,0
4,146,0
0,50,1
1,29,1
2,26,1
3,21,1
4,56,1
0,13,2
1,6,2
2,13,2
3,24,2
4,126,2
0,58,3
1,22,3
2,20,3
3,17,3
4,65,3
0,13,4
1,26,4
2,35,4
3,18,4
4,90,4
0,33,5
1,3,5
2,28,5
3,27,5
4,91,5
0,51,6
1,25,6
2,18,6
3,19,6
4,69,6
0,6,7
1,10,7
2,26,7
3,28,7
4,112,7
0,57,8
1,29,8
2,8,8
3,16,8
4,72,8
0,19,9
1,34,9
2,31,9
3,25,9
4,73,9
0,38,10
1,10,10
2,23,10
3,26,10
4,85,10
0,52,11
1,18,11
2,13,11
3,26,11
4,73,11
0,8,12
1,26,12
2,27,12
3,31,12
4,90,12
0,40,13
1,16,13
2,19,13
3,27,13
4,80,13
0,57,14
1,28,14
2,19,14
3,21,14
4,57,14
0,2,15
1,34,15
2,26,15
3,27,15
4,93,15
0,47,16
1,15,16
2,4,16
3,18,16
4,98,16
0,53,17
1,29,17
2,21,17
3,25,17
4,54,17
0,3,18
1,26,18
2,31,18
3,29,18
4,93,18
0,45,19
1,6,19
2,24,19
3,28,19
4,79,19
0,53,20
1,18,20
2,16,20
3,16,20
4,79,20
0,6,21
1,32,21
2,22,21
3,24,21
4,98,21
0,52,22
1,23,22
2,23,22
3,19,22
4,65,22
0,1,23
1,6,23
2,20,23
3,30,23
4,125,23
0,54,24
1,28,24
2,10,24
3,24,24
4,66,24
0,15,25
1,39,25
2,26,25
3,28,25
4,74,25
0,43,26
1,11,26
2,30,26
3,25,26
4,73,26
0,54,27
1,22,27
2,27,27
3,16,27
4,63,27
0,20,28
1,32,28
2,32,28
3,28,28
4,70,28
0,33,29
1,19,29
2,29,29
3,24,29
4,77,29
0,59,30
1,30,30
2,8,30
3,18,30
4,67,30
0,23,31
1,33,31
2,29,31
3,26,31
4,71,31
0,40,32
1,6,32
2,23,32
3,24,32
4,89,32
0,48,33
1,4,33
2,25,33
3,22,33
4,83,33
0,19,34
1,26,34
2,26,34
3,26,34
4,85,34
0,56,35
1,12,35
2,17,35
3,19,35
4,78,35
0,28,36
1,22,36
2,19,36
3,27,36
4,86,36
0,30,37
1,18,37
2,21,37
3,21,37
4,92,37
0,54,38
1,28,38
2,17,38
3,24,38
4,59,38
0,26,39
1,36,39
2,28,39
3,29,39
4,63,39
0,31,40
1,6,40
2,11,40
3,16,40
4,118,40
0,57,41
1,26,41
2,23,41
3,18,41
4,58,41
0,2,42
1,27,42
2,33,42
3,25,42
4,95,42
0,50,43
1,12,43
2,32,43
3,27,43
4,61,43
0,58,44
1,30,44
2,16,44
3,19,44
4,59,44
0,5,45
1,34,45
2,23,45
3,21,45
4,99,45
0,53,46
1,2,46
2,13,46
3,32,46
4,82,46
0,6,47
1,28,47
2,20,47
3,33,47
4,95,47
0,47,48
1,17,48
2,16,48
3,13,48
4,89,48
0,10,49
1,27,49
2,24,49
3,19,49
4,102,49
