,sample_n,run_id
0,12,0
1,2,0
2,5,0
3,6,0
4,8,0
0,6,1
1,5,1
2,6,1
3,7,1
4,9,1
0,9,2
1,4,2
2,5,2
3,6,2
4,9,2
0,13,3
1,5,3
2,2,3
3,6,3
4,7,3
0,7,4
1,7,4
2,4,4
3,7,4
4,8,4
0,8,5
1,6,5
2,4,5
3,7,5
4,8,5
0,10,6
1,3,6
2,5,6
3,7,6
4,8,6
0,12,7
1,6,7
2,4,7
3,4,7
4,7,7
0,6,8
1,8,8
2,6,8
3,5,8
4,8,8
0,7,9
1,8,9
2,5,9
3,5,9
4,8,9
0,12,10
1,2,10
2,6,10
3,5,10
4,8,10
0,6,11
1,5,11
2,7,11
3,6,11
4,9,11
0,9,12
1,5,12
2,5,12
3,5,12
4,9,12
0,12,13
1,6,13
2,2,13
3,5,13
4,8,13
0,5,14
1,8,14
2,5,14
3,6,14
4,9,14
0,7,15
1,6,15
2,5,15
3,6,15
4,9,15
0,14,16
1,3,16
2,2,16
3,5,16
4,9,16
0,7,17
1,6,17
2,4,17
3,6,17
4,10,17
0,7,18
1,5,18
2,5,18
3,6,18
4,10,18
0,11,19
1,3,19
2,4,19
3,5,19
4,10,19
0,13,20
1,5,20
2,4,20
3,4,20
4,7,20
0,8,21
1,7,21
2,5,21
3,5,21
4,8,21
0,7,22
1,7,22
2,6,22
3,5,22
4,8,22
0,11,23
1,4,23
2,5,23
3,5,23
4,8,23
0,7,24
1,5,24
2,6,24
3,6,24
4,9,24
0,13,25
1,3,25
2,3,25
3,6,25
4,8,25
0,7,26
1,6,26
2,4,26
3,7,26
4,9,26
0,7,27
1,6,27
2,4,27
3,7,27
4,9,27
0,10,28
1,3,28
2,4,28
3,7,28
4,9,28
0,12,29
1,5,29
2,4,29
3,4,29
4,8,29
0,6,30
1,7,30
2,5,30
3,6,30
4,9,30
0,9,31
1,5,31
2,5,31
3,5,31
4,9,31
0,12,32
1,2,32
2,5,32
3,5,32
4,9,32
0,5,33
1,6,33
2,6,33
3,6,33
4,10,33
0,8,34
1,4,34
2,5,34
3,6,34
4,10,34
0,12,35
1,6,35
2,4,35
3,3,35
4,8,35
0,6,36
1,7,36
2,6,36
3,5,36
4,9,36
0,9,37
1,4,37
2,6,37
3,5,37
4,9,37
0,12,38
1,3,38
2,5,38
3,4,38
4,9,38
0,6,39
1,6,39
2,6,39
3,5,39
4,10,39
0,5,40
1,6,40
2,6,40
3,6,40
4,10,40
0,12,41
1,5,41
2,2,41
3,5,41
4,9,41
0,5,42
1,7,42
2,5,42
3,6,42
4,10,42
0,10,43
1,4,43
2,3,43
3,6,43
4,10,43
0,12,44
1,3,44
2,5,44
3,4,44
4,9,44
0,6,45
1,6,45
2,6,45
3,5,45
4,10,45
0,8,46
1,4,46
2,6,46
3,5,46
4,10,46
0,12,47
1,5,47
2,3,47
3,4,47
4,9,47
0,6,48
1,6,48
2,5,48
3,6,48
4,10,48
0,9,49
1,3,49
2,5,49
3,6,49
4,10,49
