setting,metric,world_EIGs,V_prior,alpha_prior,beta_prior,eps_fixed,sd_epsilon,infer_eps,sigma_true,window,cond_r2,cond_rmse,n_cond,cond_b,bg1,bg2,bg11,dev1,dev5,dev10
0,mi,3.1622776601683795e-05,1.0,1.0,0.1,0.0001,,False,0.1,exemplar_mean,0.015459885442144739,406.5921250953153,75,43082.03079205069,1.0,1.0,1.0,1.0,1.0,1.0
0,mi,0.0001,1.0,1.0,0.1,0.0001,,False,0.1,exemplar_mean,0.07075298457465981,407.29263902803655,75,-34245.13465985292,1.0,1.0,1.0,1.0,1.0,1.0
0,mi,0.0003162277660168,1.0,1.0,0.1,0.0001,,False,0.1,exemplar_mean,,,75,,1.0,1.0,1.0,1.0,1.0,1.0
0,mi,0.001,1.0,1.0,0.1,0.0001,,False,0.1,exemplar_mean,,,75,,1.0,1.0,1.0,1.0,1.0,1.0
0,mi,0.0031622776601683,1.0,1.0,0.1,0.0001,,False,0.1,exemplar_mean,,,75,,1.0,1.0,1.0,1.0,1.0,1.0
0,mi,0.01,1.0,1.0,0.1,0.0001,,False,0.1,exemplar_mean,,,75,,1.0,1.0,1.0,1.0,1.0,1.0
0,mi,0.0316227766016837,1.0,1.0,0.1,0.0001,,False,0.1,exemplar_mean,,,75,,1.0,1.0,1.0,1.0,1.0,1.0
0,mi,0.0999999999999999,1.0,1.0,0.1,0.0001,,False,0.1,exemplar_mean,,,75,,1.0,1.0,1.0,1.0,1.0,1.0
0,mi,0.3162277660168379,1.0,1.0,0.1,0.0001,,False,0.1,exemplar_mean,,,75,,1.0,1.0,1.0,1.0,1.0,1.0
0,mi,1.0,1.0,1.0,0.1,0.0001,,False,0.1,exemplar_mean,,,75,,1.0,1.0,1.0,1.0,1.0,1.0
0,mi,3.162277660168379,1.0,1.0,0.1,0.0001,,False,0.1,exemplar_mean,,,75,,1.0,1.0,1.0,1.0,1.0,1.0
0,mi_concept,3.1622776601683795e-05,1.0,1.0,0.1,0.0001,,False,0.1,exemplar_mean,0.008516229204619764,406.7200955400517,75,31975.452697906232,1.0,1.0,1.0,1.0,1.0,1.0
0,mi_concept,0.0001,1.0,1.0,0.1,0.0001,,False,0.1,exemplar_mean,0.012840476076731869,406.67384491966357,75,39263.01031150332,1.0,1.0,1.0,1.0104166666666667,1.0,1.0
0,mi_concept,0.0003162277660168,1.0,1.0,0.1,0.0001,,False,0.1,exemplar_mean,,,75,,1.0,1.0,1.0,1.0,1.0,1.0
0,mi_concept,0.001,1.0,1.0,0.1,0.0001,,False,0.1,exemplar_mean,,,75,,1.0,1.0,1.0,1.0,1.0,1.0
0,mi_concept,0.0031622776601683,1.0,1.0,0.1,0.0001,,False,0.1,exemplar_mean,0.029736991280688723,407.29263902803655,75,-18104.639550802214,1.0,1.0104166666666667,1.0,1.0,1.0,1.0
0,mi_concept,0.01,1.0,1.0,0.1,0.0001,,False,0.1,exemplar_mean,,,75,,1.0,1.0,1.0,1.0,1.0,1.0
0,mi_concept,0.0316227766016837,1.0,1.0,0.1,0.0001,,False,0.1,exemplar_mean,,,75,,1.0,1.0,1.0,1.0,1.0,1.0
0,mi_concept,0.0999999999999999,1.0,1.0,0.1,0.0001,,False,0.1,exemplar_mean,,,75,,1.0,1.0,1.0,1.0,1.0,1.0
0,mi_concept,0.3162277660168379,1.0,1.0,0.1,0.0001,,False,0.1,exemplar_mean,,,75,,1.0,1.0,1.0,1.0,1.0,1.0
0,mi_concept,1.0,1.0,1.0,0.1,0.0001,,False,0.1,exemplar_mean,,,75,,1.0,1.0,1.0,1.0,1.0,1.0
0,mi_concept,3.162277660168379,1.0,1.0,0.1,0.0001,,False,0.1,exemplar_mean,,,75,,1.0,1.0,1.0,1.0,1.0,1.0
