setting,metric,world_EIGs,pooled_rmse,pooled_r2,within_r2,within_rmse,within_b,pred_sd,pred_bg1,pred_bg10,pred_dev10,V_prior,alpha_prior,beta_prior,eps_fixed,sd_epsilon,infer_eps
0,eig_code,1e-07,4.859611978412433,0.03048672705978473,0.002634981221208056,11.651121300615964,-0.33018892501095676,1.9418883562892943,10.942861886523907,15.319691769586774,17.493530242456234,1.0,0.1,0.1,0.1,,False
0,eig_code,1.7782794100389227e-07,4.859611978412433,0.030285711908507068,0.002623608025147589,11.651121300615964,-0.3728041388472577,1.7162383126839893,9.708814566211712,13.572897796633555,15.498720002785227,1.0,0.1,0.1,0.1,,False
0,eig_code,3.162277660168379e-07,4.859611978412433,0.030068032030607966,0.0026113332864745554,11.651121300615964,-0.42131258864617294,1.5151256319614737,8.6095818090063,12.016822539815243,13.72139771884428,1.0,0.1,0.1,0.1,,False
0,eig_code,5.62341325190349e-07,4.859611978412433,0.029831188835055564,0.002598021847421495,11.651121300615964,-0.4766443816286413,1.3358707021603706,7.630578694713854,10.63077161689966,12.137962551950885,1.0,0.1,0.1,0.1,,False
0,eig_code,1e-06,4.859611978412433,0.029572603982802415,0.002583536105191054,11.651121300615964,-0.5399122978741953,1.1760883760050937,6.758816230709411,9.396322144807792,10.727396302801326,1.0,0.1,0.1,0.1,,False
0,eig_code,1.778279410038923e-06,4.859611978412433,0.029289567837815795,0.00256773449043155,11.651121300615964,-0.6124587006350318,1.0336555112209316,5.982729431634531,8.297074982220805,9.47098370428259,1.0,0.1,0.1,0.1,,False
0,eig_code,3.162277660168379e-06,4.859611978412433,0.028979188602016433,0.0025504695126659558,11.651121300615964,-0.6959177548585423,0.9066824071238104,5.292024549096583,7.3184359157710555,8.35206458995178,1.0,0.1,0.1,0.1,,False
0,eig_code,5.623413251903491e-06,4.859611978412433,0.028638330739617746,0.0025315847242499945,11.651121300615964,-0.7922987465989458,0.7934877548548487,4.677543590579102,6.4474224903503226,7.355814792749555,1.0,0.1,0.1,0.1,,False
0,eig_code,1e-05,4.859611978412433,0.028263567056999655,0.002510912927134151,11.651121300615964,-0.9040992679350548,0.6925767541122481,4.131144595516354,5.672494151072038,6.469053148099383,1.0,0.1,0.1,0.1,,False
0,eig_code,1.778279410038923e-05,4.859611978412433,0.027851191944901946,0.0024882785397586176,11.651121300615964,-1.0344612589123967,0.6026221390400729,3.6455965863283866,4.983404106810654,5.680072668002829,1.0,0.1,0.1,0.1,,False
