setting,metric,world_EIGs,V_prior,alpha_prior,beta_prior,sigma_true,pooled_rmse,pooled_r2,within_r2,within_b,pred_bg1,pred_bg10,pred_dev10
0,eig_code,1e-07,1.0,1.0,0.1,0.1,4.905567597117955,0.05186359678162945,0.0023684617919036417,5.334276584443851,499.7671375257735,499.37810687502105,499.501766420793
0,eig_code,2.1544346900318822e-07,1.0,1.0,0.1,0.1,4.907778996089307,0.05020623834167688,0.0022870488413824722,2.4653539827707704,499.4986199808014,498.67766743808846,498.9310842559448
0,eig_code,4.641588833612782e-07,1.0,1.0,0.1,0.1,4.912296066026634,0.046822570122835305,0.0021219764771161233,1.132922427920359,498.9212307470237,497.2276093407946,497.7174706711448
0,eig_code,1e-06,1.0,1.0,0.1,0.1,4.920964178855348,0.040336025851825406,0.0018097140229977383,0.513097898526481,497.6824233129592,494.34082540283924,495.1724524046976
0,eig_code,2.1544346900318822e-06,1.0,1.0,0.1,0.1,4.935517719043663,0.029458684165110334,0.0012978918831533298,0.22363383736950712,495.0370357431848,488.94971953661883,489.97705433863007
0,eig_code,4.641588833612773e-06,1.0,1.0,0.1,0.1,4.95422221891171,0.015382650626810443,0.0006563280930504876,0.08804400877955215,489.44394831403474,479.62512929291415,479.85142644493595
0,eig_code,1e-05,1.0,1.0,0.1,0.1,4.968782336295465,0.003484991747162837,0.00013584907483619814,0.024442494408654213,477.858785002385,464.3336408423127,461.40173331498744
0,eig_code,2.1544346900318823e-05,1.0,1.0,0.1,0.1,4.9688858831445675,0.0005413455275287586,3.212210325295683e-05,-0.008201533177816633,454.8136273566945,439.8365850810556,430.39243609613504
0,eig_code,4.641588833612772e-05,1.0,1.0,0.1,0.1,4.942814680074898,0.018061684862642882,0.0008142210501234038,-0.03296497399334346,412.2436737622474,401.4467286118282,382.34621296870154
0,eig_code,0.0001,1.0,1.0,0.1,0.1,4.86148131262942,0.08411494715323745,0.0037470928780181686,-0.065258932905039,342.7344735495251,344.01682322275536,314.03283608545996
0,eig_code,0.00021544346900318823,1.0,1.0,0.1,0.1,4.709030587262614,0.2118318336660046,0.009789393898946364,-0.10902320251748421,249.05718953511504,265.8352886213056,228.6078875568063
0,eig_code,0.00046415888336127773,1.0,1.0,0.1,0.1,4.5903245489792575,0.3082545154783859,0.014500000905842057,-0.16165399127208327,153.78753721778142,175.64662759548318,141.9125754657678
0,eig_code,0.001,1.0,1.0,0.1,0.1,4.646960489379672,0.24337678714361857,0.01065661517953172,-0.22703632694931072,85.66065827836486,96.74171048100055,76.38055424350422
0,eig_code,0.002154434690031882,1.0,1.0,0.1,0.1,4.8510762398654705,0.019311039592279807,0.00022139472869993796,-0.053597126098262796,49.28034824963391,48.137319572102456,39.515694012640786
0,eig_code,0.004641588833612773,1.0,1.0,0.1,0.1,4.812702401950489,0.04804472265257238,0.004040472463188353,0.259702306240071,31.367866290133176,24.678920905027805,21.551979878936077
0,eig_code,0.01,1.0,1.0,0.1,0.1,4.738329384742276,0.1300156855641087,0.008336412282465067,0.39489980958461157,21.795680812045575,13.657690661896758,12.486654705245657
0,eig_code,0.021544346900318822,1.0,1.0,0.1,0.1,4.713615709649632,0.16544736445604735,0.009879485776278363,0.4773678454053943,15.896587233752427,8.002338089200085,7.5163004873794
0,eig_code,0.046415888336127725,1.0,1.0,0.1,0.1,4.7142999444520886,0.17517505406551212,0.010137458485739367,0.5691794257957891,11.833222415158462,4.895630797774682,4.682353576261426
0,eig_code,0.1,1.0,1.0,0.1,0.1,4.724445492409101,0.17264796424276704,0.009837380265768345,0.7005866117483235,8.834247769240518,3.156155274162465,3.059793997372495
0,kl,1e-07,1.0,1.0,0.1,0.1,4.466255718270499,0.4110540623606217,0.0214290302109884,1.2510793969558502,498.57670675960753,494.13405834214365,496.35400079182295
0,kl,2.1544346900318822e-07,1.0,1.0,0.1,0.1,4.48740712673283,0.3911493614096773,0.02034038565499865,0.6221972312706816,496.9609430284013,488.37246615426693,492.44924762829856
