setting,metric,world_EIGs,pooled_rmse,pooled_r2,pooled_r,within_r2,within_rmse,within_b,pred_sd,pred_bg1,pred_bg10,pred_dev10,V_prior,alpha_prior,beta_prior,sigma_true,sd_epsilon,infer_eps,eps_fixed
1,eig_code,1e-07,4.859834666973499,0.05572164961476508,0.23605433614904234,0.004127532480784307,11.680924136060078,14.554342563528545,0.05551119377036853,499.6944605340618,499.5418628818565,499.5189832680724,1.0,1.0,0.1,0.2,0.1,True,
1,eig_code,2.1544346900318822e-07,4.8597944420574475,0.055732039761026406,0.2360763430778832,0.00412842305873847,11.680915044491792,6.766244465754266,0.11941850997504394,499.34206526189877,499.01379805685787,498.96458417470564,1.0,1.0,0.1,0.2,0.1,True,
1,eig_code,4.641588833612782e-07,4.8597078474503785,0.05575442005867288,0.23612373887153507,0.00413034054133312,11.680895469314436,3.1513492011162705,0.25646149900070697,498.58405283504726,497.87911081116005,497.7734469359024,1.0,1.0,0.1,0.2,0.1,True,
1,eig_code,1e-06,4.8595216052515395,0.05580261075232909,0.23622576225367353,0.004134465631825765,11.680853352507238,1.4735057613179916,0.5487574838214947,496.9565185766366,495.44831945448544,495.2223509739045,1.0,1.0,0.1,0.2,0.1,True,
1,eig_code,2.1544346900318822e-06,4.85912184582754,0.05590631597661989,0.23644516484085668,0.004143325290065809,11.68076287682042,0.6948113516975303,1.1649927599542433,493.47571563183857,490.2747018156883,489.7955245400979,1.0,1.0,0.1,0.2,0.1,True,
1,eig_code,4.641588833612773e-06,4.8582675281812016,0.05612918762914974,0.23691599276779468,0.004162285426992352,11.680569175968943,0.3335722588044216,2.432069131408034,486.09379837654666,479.4150324720078,478.4169739895317,1.0,1.0,0.1,0.2,0.1,True,
1,eig_code,9.999999999999999e-06,4.856459426732329,0.05660674810177648,0.23792172683842155,0.0042025492378631076,11.680157582088277,0.16633595291384878,4.900421854060478,470.71815238694757,457.2770290021454,455.27446025104587,1.0,1.0,0.1,0.2,0.1,True,
1,eig_code,2.154434690031882e-05,4.852715862641354,0.057623467404219066,0.24004888544673367,0.004286662520612884,11.67929757763902,0.08968678538289851,9.177056574108443,439.89275907554423,414.78354711511037,411.05649059061597,1.0,1.0,0.1,0.2,0.1,True,
1,eig_code,4.641588833612773e-05,4.845342250054356,0.059760193863206315,0.24445898196467708,0.004456653025352475,11.677566521513345,0.05637619090207901,14.877981128786066,382.81332902816274,342.29703097304895,336.2798127248665,1.0,1.0,0.1,0.2,0.1,True,
1,eig_code,9.999999999999999e-05,4.8322519038187774,0.06417941185289351,0.2533365584610589,0.004782042676684202,11.67432984574304,0.046557282061807426,18.636475664137148,292.60734725068244,242.19888220404292,234.61024656732766,1.0,1.0,0.1,0.2,0.1,True,
1,eig_code,0.00021544346900318823,4.812178083265064,0.07349159816267797,0.27109333846975653,0.005383006737738472,11.668800390957802,0.05716927034988878,16.061166195076744,185.66069831448752,142.28497739618265,135.79245801511993,1.0,1.0,0.1,0.2,0.1,True,
1,eig_code,0.00046415888336127773,4.782639023011446,0.09357073263033981,0.305893335380717,0.006507472386780316,11.65954840516414,0.1000595614969673,10.066058746853939,102.24100859063657,74.4903066152989,70.9845735289289,1.0,1.0,0.1,0.2,0.1,True,
1,eig_code,0.001,4.740965839974996,0.1273694300979954,0.3568885401606437,0.008230100644394394,11.645648958110588,0.18325379660975216,6.185738791047447,57.21284089648984,39.45498601557537,38.03446147713817,1.0,1.0,0.1,0.2,0.1,True,
1,eig_code,0.002154434690031882,4.697921296861537,0.1647065216191188,0.40584051254047915,0.009993584632847052,11.630286520001224,0.28789783093396165,4.355301751612309,35.089165084203124,22.05628731188666,21.58267374681419,1.0,1.0,0.1,0.2,0.1,True,
1,eig_code,0.004641588833612772,4.66948847300266,0.191675647309388,0.4378077743820774,0.011146625747133746,11.618039513958536,0.39376159723359117,3.378957249248196,23.29693300644513,12.80858296311012,12.717091859880545,1.0,1.0,0.1,0.2,0.1,True,
1,eig_code,0.01,4.660644322430404,0.20376603843853375,0.45140451752118493,0.011510705232495963,11.61054023395235,0.5112556091795021,2.656659318336589,16.136536959546245,7.626151751516711,7.6595051184170515,1.0,1.0,0.1,0.2,0.1,True,
1,eig_code,0.021544346900318822,4.668680104251341,0.20221480872250308,0.4496830091547857,0.011177151168704467,11.607891437199244,0.6578388532949336,2.047716126420701,11.421731328423364,4.695301818925406,4.746571667380091,1.0,1.0,0.1,0.2,0.1,True,
1,eig_code,0.046415888336127725,4.687640787985816,0.18960890006797573,0.4354410408631411,0.010332761304438488,11.609421933767411,0.8377780433364207,1.5624999024387125,8.256163632734687,3.0330627073220384,3.0718234469138657,1.0,1.0,0.1,0.2,0.1,True,
1,eig_code,0.09999999999999999,4.711438151244588,0.16931164314188932,0.4114749605284498,0.009199351636255508,11.613723565717853,1.0514299231503894,1.1917254707214768,6.11292776335728,2.089739518539995,2.1144834115040827,1.0,1.0,0.1,0.2,0.1,True,
1,kl,1e-07,4.840109633864152,0.10564353763455182,0.3250285181865613,0.007390628606930327,11.671727020221633,2.828765478696843,0.4262594267553425,498.800727676092,497.7538794980475,497.8241341363989,1.0,1.0,0.1,0.2,0.1,True,
1,kl,2.1544346900318822e-07,4.838600869762232,0.10644237479653106,0.3262550762770306,0.0074390199993395545,11.671371460409365,1.331140938531401,0.907534119961195,497.42639135609784,495.1897220191065,495.34249233005903,1.0,1.0,0.1,0.2,0.1,True,
1,kl,4.641588833612782e-07,4.835495826260498,0.10808638314540431,0.3287649360035287,0.007537801144939672,11.670642758184364,0.6359128657335703,1.907109086148505,494.5015377528748,489.76772233482853,490.10267743319787,1.0,1.0,0.1,0.2,0.1,True,
1,kl,1e-06,4.829430547961524,0.11129604426167043,0.333610617729218,0.007727310250922243,11.669232590940009,0.3130359215951741,3.9037480808412597,488.36009647754554,478.5381442305598,479.280359243759,1.0,1.0,0.1,0.2,0.1,True,
1,kl,2.1544346900318822e-06,4.818808439070073,0.11689849364182534,0.34190421705768026,0.00804587480230759,11.666815870511602,0.16285908871479535,7.6028404533305824,475.8058150355582,456.23548081160806,457.88046490857596,1.0,1.0,0.1,0.2,0.1,True,
1,kl,4.641588833612773e-06,4.803832242870104,0.12467920099734245,0.3530994208397154,0.008452804492935383,11.663583300289925,0.09278413422756143,13.576919227900246,451.39230583338775,415.32507928248896,418.79707382759926,1.0,1.0,0.1,0.2,0.1,True,
1,kl,9.999999999999999e-06,4.789348475179586,0.13181322136676035,0.36306090586396156,0.008751708873667321,11.66088647433639,0.060337731209075,21.14692614187553,407.7992323969085,349.76234894842645,356.04415080718485,1.0,1.0,0.1,0.2,0.1,True,
1,kl,2.154434690031882e-05,4.7805060417327585,0.13556524305535375,0.36819185631319135,0.008793435569155841,11.660070570268157,0.046969097359612653,27.20344268406639,339.92518362387335,263.54442049675396,272.0755089590078,1.0,1.0,0.1,0.2,0.1,True,
1,kl,4.641588833612773e-05,4.772891028301768,0.13799848008558196,0.37148146667846293,0.008727867848440065,11.66037582994142,0.04550842427757542,27.955235596838616,253.903160406946,174.82611642851157,182.28795803440175,1.0,1.0,0.1,0.2,0.1,True,
1,kl,9.999999999999999e-05,4.750797447729026,0.14665311262586309,0.3829531467762905,0.009051931631106291,11.657508010611092,0.05488822108524281,23.5398161169006,169.1909942425847,103.04204583709684,106.43363911300116,1.0,1.0,0.1,0.2,0.1,True,
1,kl,0.00021544346900318823,4.704659425066376,0.17122539661244646,0.4137939059633992,0.010297250141241325,11.645149291727051,0.08074235500023523,16.97121935416853,101.81155310070591,54.23084761149064,54.842694263048145,1.0,1.0,0.1,0.2,0.1,True,
1,kl,0.00046415888336127773,4.654666830439224,0.20686455584157015,0.45482365356429094,0.01203776631928106,11.624299253014605,0.14214036630701266,10.287564460936803,56.23211406598549,26.732212258591417,27.08173320329897,1.0,1.0,0.1,0.2,0.1,True,
1,kl,0.001,4.630732945986047,0.23195068580477787,0.48161258891849773,0.013139473554192338,11.606435133231617,0.2686658664501879,5.526165642910275,31.310530062063844,14.499000415137283,15.080474399911601,1.0,1.0,0.1,0.2,0.1,True,
1,kl,0.002154434690031882,4.627229640027909,0.23933361298293082,0.4892173473855264,0.013272311123335294,11.599968259098278,0.427146922046056,3.424673415651623,19.94782635575799,8.955343165765983,9.476992975979874,1.0,1.0,0.1,0.2,0.1,True,
1,kl,0.004641588833612772,4.632394172179747,0.2380137658485844,0.48786654512129074,0.012980325870587702,11.598669188064177,0.5734400409917788,2.5257715300678543,14.089720518168685,5.7953131619341995,6.197293131225105,1.0,1.0,0.1,0.2,0.1,True,
1,kl,0.01,4.642942474500156,0.23163573743110952,0.4812855051122042,0.01243105947183157,11.599430726783307,0.7441845498794589,1.9187771536919174,10.291106234356862,3.8857653596222885,4.1852202024918865,1.0,1.0,0.1,0.2,0.1,True,
1,kl,0.021544346900318822,4.65703816315443,0.22121700038515485,0.4703371135527738,0.011698709882023971,11.601803270379405,0.9450927798131425,1.4776331617218565,7.7187079158867435,2.71575662571232,2.928255038416291,1.0,1.0,0.1,0.2,0.1,True,
1,kl,0.046415888336127725,4.673909006752583,0.20737858932969155,0.45538839393389413,0.010877046480240767,11.605072802782788,1.173377491492009,1.1537285701311988,5.9351355454352275,1.9868917835118831,2.1282871992226604,1.0,1.0,0.1,0.2,0.1,True,
1,kl,0.09999999999999999,4.691881696638867,0.19179831398625963,0.4379478439109612,0.010059905303467828,11.608441070856077,1.4684667237744644,0.8885519625420143,4.599552900939861,1.53815556002687,1.6282114710961961,1.0,1.0,0.1,0.2,0.1,True,
1,mi,9.999999999999999e-06,4.716646925563666,0.1672363225734896,0.4089453784718561,0.010195819428844623,11.637922274555136,0.1269462961844631,10.019237325415553,467.0422872265909,434.7566838483942,436.29182927202055,1.0,1.0,0.1,0.2,0.1,True,
1,mi,1.8957356524063752e-05,4.7123229790914944,0.16857858517024393,0.41058322563183697,0.010276528609701891,11.63658388189501,0.0773736485028929,16.50150180992861,440.09664677732,387.1218259553846,389.3759132835776,1.0,1.0,0.1,0.2,0.1,True,
1,mi,3.5938136638046256e-05,4.7050870080151,0.17118410026169226,0.4137440032939357,0.010425461891806223,11.63422164391883,0.052828111128995096,24.337559538717215,394.87417323426234,317.17011097878276,319.8761786693146,1.0,1.0,0.1,0.2,0.1,True,
1,mi,6.812920690579608e-05,4.694465094280045,0.17583613992837405,0.4193282007310909,0.010672900058215692,11.630446851709543,0.043254268450146544,30.062061829304533,326.28751609388786,230.89720058408963,233.26440969374391,1.0,1.0,0.1,0.2,0.1,True,
1,mi,0.00012915496650148838,4.682156421387644,0.1826853429868831,0.4274170597752073,0.011001795498204311,11.625526568776355,0.045661378673349774,28.892583920458154,238.74679526946002,147.42128674870915,148.8322223036768,1.0,1.0,0.1,0.2,0.1,True,
1,mi,0.00024484367468222265,4.671668771165731,0.19033072886225927,0.4362691014296787,0.011324231458481077,11.62096346923386,0.06337583185907746,21.10310429045772,152.85786942388305,86.1605073824129,86.89975013820602,1.0,1.0,0.1,0.2,0.1,True,
1,mi,0.00046415888336127817,4.663174709412756,0.19799202053701698,0.4449629428806594,0.01162880032903473,11.617780958416498,0.10310578554590966,13.139270167684607,91.35499495465531,49.88002453042313,50.404605872655274,1.0,1.0,0.1,0.2,0.1,True,
1,mi,0.0008799225435691074,4.653895923530999,0.20690138397980104,0.454864137935495,0.011988740481008417,11.614707577121182,0.16494599984469072,8.342321296521199,56.055034310383014,29.80942116894394,30.261357606950714,1.0,1.0,0.1,0.2,0.1,True,
1,mi,0.001668100537200059,4.644614426310724,0.21613880291578383,0.46490730572425276,0.012347327457093275,11.611129466102678,0.24212139739707123,5.775921463755996,36.538853799604425,18.364764265842155,18.773598637405286,1.0,1.0,0.1,0.2,0.1,True,
1,mi,0.0031622776601683794,4.638560749984933,0.22308763750042834,0.472321540373111,0.012572524814434037,11.607543210668505,0.3297366311385306,4.289545759562141,25.105376056458223,11.519624260815574,11.874640714360346,1.0,1.0,0.1,0.2,0.1,True,
1,mi,0.005994842503189409,4.638315598189801,0.22580821439138052,0.4751928181184776,0.012556384217426038,11.604715643181954,0.4355703096263851,3.253906160918939,17.775909072450347,7.340726266291198,7.619405803393558,1.0,1.0,0.1,0.2,0.1,True,
1,mi,0.011364636663857255,4.6445236320190375,0.22342187774110175,0.4726752349564146,0.012251723053210458,11.603436201872988,0.5767563315924217,2.435603320876542,12.740863263724078,4.802925917320156,5.000744769216707,1.0,1.0,0.1,0.2,0.1,True,
1,mi,0.021544346900318843,4.656402583276647,0.2156241376296059,0.4643534619550132,0.01166418139638086,11.604097474578872,0.7677253617342628,1.7943450836298318,9.217136615855141,3.2669589188847445,3.397585824350811,1.0,1.0,0.1,0.2,0.1,True,
1,mi,0.04084238652674522,4.67281847474043,0.20243079654062376,0.449923100696801,0.010835414796969504,11.606647776280264,1.0168702276266939,1.3152584343522995,6.767245520719732,2.3352855915908575,2.4171562298737905,1.0,1.0,0.1,0.2,0.1,True,
1,mi,0.07742636826811278,4.69277728694519,0.1842642683646572,0.4292601406660735,0.009830743179825055,11.61071920739024,1.3258569898520896,0.9698017821768994,5.079441564670817,1.7716724771357777,1.820630196480878,1.0,1.0,0.1,0.2,0.1,True,
1,mi,0.14677992676220705,4.715053098495543,0.1623763314708701,0.4029594662877026,0.008733523037874245,11.615715894441278,1.6894298227492848,0.7246168527753828,3.9232127534428813,1.4358222766929927,1.4638207482958927,1.0,1.0,0.1,0.2,0.1,True,
1,mi,0.2782559402207126,4.737516121606999,0.13922091502335052,0.373123190144154,0.00764679467958803,11.620920145086053,2.101653305120099,0.5502604020920622,3.130144160897246,1.2407775458734582,1.2562566951669771,1.0,1.0,0.1,0.2,0.1,True,
1,mi,0.5274997063702619,4.757513159004191,0.11790737004641902,0.3433764261658319,0.006678715211839396,11.625657174648476,2.5717053360921076,0.42380028392803964,2.5787520638300934,1.1307148273926428,1.1390960651383575,1.0,1.0,0.1,0.2,0.1,True,
1,mi,1.0,4.773129388402909,0.10084930193370602,0.3175677910835827,0.005909219367938835,11.62946485920449,3.1518253544338286,0.32760167271673274,2.1806642065115027,1.0701178614231914,1.074602887450277,1.0,1.0,0.1,0.2,0.1,True,
1,surprisal,0.0031622776601683794,4.859611978412433,0.2308219034810421,-0.48043928178391293,0.01146650458121034,11.651121300615964,-0.02039518532998207,69.11575560671753,113.96555486554412,342.9947824154287,316.82205918879373,1.0,1.0,0.1,0.2,0.1,True,
1,surprisal,0.005623413251903491,4.859611978412433,0.2556181013866818,-0.505586888068393,0.012822638248966699,11.651121300615964,-0.022288334916197222,67.20997838481524,68.78364939110885,289.8402105582481,257.50625174552,1.0,1.0,0.1,0.2,0.1,True,
1,surprisal,0.01,4.859611978412433,0.23387919508855068,-0.4836105820684145,0.012003681785654568,11.651121300615964,-0.023608219356593414,60.39722134795002,35.517409594744336,222.29551264180495,200.57051555864723,1.0,1.0,0.1,0.2,0.1,True,
1,surprisal,0.01778279410038923,4.859611978412433,0.26760089133405907,-0.5173015477785264,0.01397673161516853,11.651121300615964,-0.03354178989175968,45.89115209081548,16.525155156426102,161.04171338637641,138.50112690398691,1.0,1.0,0.1,0.2,0.1,True,
1,surprisal,0.03162277660168379,4.859611978412433,0.31268690905540336,-0.5591841459263696,0.017632969731484087,11.651121300615964,-0.060161404568574446,28.600724035766525,8.850940482237974,91.47682223195983,78.85203519409117,1.0,1.0,0.1,0.2,0.1,True,
1,surprisal,0.056234132519034905,4.859611978412433,0.3601283107754249,-0.6001069161203068,0.02057859221185561,11.651121300615964,-0.1471429574197474,12.690258661717092,6.028838102155994,46.13653816309665,33.06398976490823,1.0,1.0,0.1,0.2,0.1,True,
1,surprisal,0.09999999999999999,4.859611978412433,0.33591454972252965,-0.5795813572938053,0.019225093595291235,11.651121300615964,-0.4305964226658997,4.431790665417879,4.090330497785876,17.843051823881623,10.79266131450656,1.0,1.0,0.1,0.2,0.1,True,
1,surprisal,0.1778279410038923,4.859611978412433,0.2922527462311616,-0.5406040568023529,0.01751054338551953,11.651121300615964,-1.1788292283537076,1.4600427035548955,3.057756949694909,7.4617414450780375,5.816684364927606,1.0,1.0,0.1,0.2,0.1,True,
1,surprisal,0.31622776601683794,4.859611978412433,0.27060301200562475,-0.5201951672263255,0.016944295141425227,11.651121300615964,-2.2250365485688457,0.7665678728877132,2.262718629404205,4.179973490648355,3.5389664772507,1.0,1.0,0.1,0.2,0.1,True,
1,surprisal,0.5623413251903491,4.859611978412433,0.27519894019152447,-0.5245940718227041,0.0176146021740141,11.651121300615964,-4.929061197491242,0.37274833939942287,1.7516127947576947,2.5663424248345432,2.022016154936587,1.0,1.0,0.1,0.2,0.1,True,
1,surprisal,1.0,5.00864629698467,0.003909964884026756,0.06252971200978584,0.00048039817927782104,11.677265151409133,2.9701168323984715,0.108166943080642,1.4870849767522116,1.3172566083735286,1.2965604692682562,1.0,1.0,0.1,0.2,0.1,True,
1,surprisal,1.7782794100389228,4.6261644987032895,0.2980652355607188,0.5459535104390472,0.013947641190485827,11.574288677722539,21.80894474486444,0.07218985306568085,1.310744609946404,1.0594783998759676,1.1006984588485231,1.0,1.0,0.1,0.2,0.1,True,
1,surprisal,3.162277660168379,4.61704195715041,0.3151516232163838,0.561383668462473,0.014773567122780168,11.569141323270424,37.191587310960784,0.04401366591551848,1.1905742618844737,1.0384317904824538,1.0661430158903358,1.0,1.0,0.1,0.2,0.1,True,
1,surprisal,5.62341325190349,4.6111342401585524,0.32951798114142716,0.5740365677737153,0.015510839206792262,11.56471263955132,64.77745288570269,0.026106935238666973,1.1134238809127466,1.0237838114339983,1.0416269205534594,1.0,1.0,0.1,0.2,0.1,True,
