setting,metric,world_EIGs,V_prior,alpha_prior,beta_prior,eps_fixed,sd_epsilon,infer_eps,sigma_true,window,cond_r2,cond_rmse,n_cond,cond_b,bg1,bg2,bg11,dev1,dev5,dev10
0,eig_code,3.162277660168379e-06,1.0,1.0,0.1,,0.5,True,0.1,exemplar_mean,0.2719826073648397,357.17525774424547,75,91.08694632897299,80.0,79.38541666666667,75.20833333333333,80.0,75.80208333333333,76.51041666666667
0,eig_code,1e-05,1.0,1.0,0.1,,0.5,True,0.1,exemplar_mean,0.20555164261545505,368.4624693700554,75,41.267845907350946,79.55208333333333,78.51041666666667,60.90625,77.11458333333333,70.67708333333333,64.92708333333333
0,eig_code,3.1622776601683795e-05,1.0,1.0,0.1,,0.5,True,0.1,exemplar_mean,0.23891773506643676,361.33663492066796,75,24.705339502865513,78.86458333333333,74.5625,52.59375,72.125,58.302083333333336,54.03125
0,eig_code,0.0001,1.0,1.0,0.1,,0.5,True,0.1,exemplar_mean,0.3338357425445419,338.19572851143585,75,22.70529611918461,77.64583333333333,71.15625,41.427083333333336,67.4375,53.97916666666666,43.052083333333336
0,eig_code,0.0003162277660168,1.0,1.0,0.1,,0.5,True,0.1,exemplar_mean,0.3683024148308523,325.15591875485154,75,20.216908443471542,69.45833333333333,59.79166666666666,28.760416666666668,52.0,35.583333333333336,31.20833333333333
0,eig_code,0.001,1.0,1.0,0.1,,0.5,True,0.1,exemplar_mean,0.5086196440750677,283.696160912342,75,30.714027083817335,52.864583333333336,37.770833333333336,24.291666666666668,41.270833333333336,22.447916666666668,21.83333333333333
0,eig_code,0.0031622776601683,1.0,1.0,0.1,,0.5,True,0.1,exemplar_mean,0.6328281250617406,243.77287624532724,75,47.10503882183651,36.333333333333336,20.39583333333333,13.40625,27.05208333333333,13.75,14.010416666666666
0,eig_code,0.01,1.0,1.0,0.1,,0.5,True,0.1,exemplar_mean,0.6062173364111312,253.74033239659994,75,71.02267108165293,22.80208333333333,13.385416666666666,8.427083333333334,12.4375,8.572916666666666,7.770833333333333
0,eig_code,0.0316227766016837,1.0,1.0,0.1,,0.5,True,0.1,exemplar_mean,0.6177887882316311,249.51634365986337,75,127.46863986655408,12.770833333333334,7.34375,4.635416666666667,7.895833333333333,5.145833333333333,4.84375
0,eig_code,0.0999999999999999,1.0,1.0,0.1,,0.5,True,0.1,exemplar_mean,0.6319101526917343,242.1390169754314,75,169.6511844330745,8.614583333333334,5.114583333333333,2.489583333333333,4.854166666666667,3.125,2.2604166666666665
0,eig_code,0.3162277660168379,1.0,1.0,0.1,,0.5,True,0.1,exemplar_mean,0.6213307857950001,246.45346375318076,75,309.53277215080556,5.21875,3.1041666666666665,1.7291666666666667,3.052083333333333,1.9583333333333333,1.9270833333333333
0,kl,3.162277660168379e-06,1.0,1.0,0.1,,0.5,True,0.1,exemplar_mean,0.3314079255531398,337.02498855620354,75,32.39487570928044,79.41666666666667,74.125,52.71875,75.5625,65.19791666666667,59.21875
0,kl,1e-05,1.0,1.0,0.1,,0.5,True,0.1,exemplar_mean,0.32338535275382857,338.79898390084736,75,20.64416225196727,76.71875,69.86458333333333,43.03125,65.88541666666667,52.364583333333336,40.71875
