metric,rule,inf_setting,inf_exp1_rmse,inf_exp1_r2,inf_exp1_within_r2,inf_exp2_r2,inf_exp2_rmse,inf_exp2_rmse_carry,inf_order,inf_background,inf_pose,inf_number,inf_identity,inf_animacy,adu_setting,adu_exp1_r2,adu_exp1_rmse,adu_exp2_r2,adu_exp2_rmse_s,adu_order,adu_fam1,adu_fam6,adu_pose,adu_number,adu_identity,adu_animacy
eig_code,paper,V3 a1 b0.1 eps0.5 w1.8e-06,4.064028314844373,0.7495330034533919,0.0372071387626267,0.520643121860039,1.481199999502461,10.396800222125108,anim>iden>numb>pose>back,15.645887422310947,15.666605834918059,16.76327153649851,17.466591487219,22.01320770211181,V1 a10 b0.1 eps0.1 w3.2e-06,0.900456145635521,113.93501666435024,0.7464964948276073,0.15035774788250827,anim>iden>numb>pose,16.466974919480077,10.182548759572345,12.738880364318534,13.529627424610075,14.23633787879971,16.23341694330203
eig_code,within,V3 a1 b0.1 eps0.5 w1.8e-06,4.064028314844373,0.7495330034533919,0.0372071387626267,0.520643121860039,1.481199999502461,10.396800222125108,anim>iden>numb>pose>back,15.645887422310947,15.666605834918059,16.76327153649851,17.466591487219,22.01320770211181,V1 a10 b0.1 eps0.1 w3.2e-06,0.900456145635521,113.93501666435024,0.7464964948276073,0.15035774788250827,anim>iden>numb>pose,16.466974919480077,10.182548759572345,12.738880364318534,13.529627424610075,14.23633787879971,16.23341694330203
eig_code,joint,V3 a10 b0.1 eps0.2 w5.6e-07,4.10044395108014,0.7331350361950987,0.0357443795056352,0.5302682456409211,1.466253904283706,4.002802768191424,anim>iden>numb>pose>back,22.56441848826709,22.78322639057997,27.01371052109366,30.663023979452216,38.56938718615157,V1 a1 b0.1 eps0.3 w1.0e-05,0.8549202825985963,142.28941002223183,0.5550086391437068,0.19920930371926152,anim>iden>numb>pose,10.93403758305636,9.333119972597453,9.86446563521443,10.0079632303686,10.376350054051356,13.030654658364554
eig_within,paper,V3 a1 b0.1 eps0.5 w1.0e-06,4.05197061147252,0.7627227592743752,0.0376767168556336,0.5213747199849174,1.4800692585309971,11.165986648022733,anim>iden>numb>pose>back,18.76365697790463,18.78759846829188,20.194009060845723,21.03529179723507,27.03764672942893,V1 a10 b0.1 eps0.1 w3.2e-06,0.8986405668902856,113.5743863184002,0.7075773806447953,0.16148764797677279,anim>iden>numb>pose,18.739778679056432,10.90139357566625,14.00386195549771,15.07948591174926,16.180715663904973,22.543629657786948
eig_within,within,V3 a1 b0.1 eps0.5 w1.0e-06,4.05197061147252,0.7627227592743752,0.0376767168556336,0.5213747199849174,1.4800692585309971,11.165986648022733,anim>iden>numb>pose>back,18.76365697790463,18.78759846829188,20.194009060845723,21.03529179723507,27.03764672942893,V1 a10 b0.1 eps0.1 w3.2e-06,0.8986405668902856,113.5743863184002,0.7075773806447953,0.16148764797677279,anim>iden>numb>pose,18.739778679056432,10.90139357566625,14.00386195549771,15.07948591174926,16.180715663904973,22.543629657786948
eig_within,joint,V3 a10 b0.1 eps0.2 w1.0e-07,4.103717410214864,0.7353913855966172,0.0352977578159717,0.5048752306230878,1.50536407710719,6.67039216977614,anim>iden>numb>pose>back,34.934518386806594,35.29053352002549,42.863171912746054,50.22972092625443,78.44570315869919,V1 a1 b0.1 eps0.3 w3.2e-06,0.8768899177948907,131.6442687953723,0.5444346099983635,0.20156224600474065,anim>iden>numb>pose,15.657750879197721,13.021575329855219,13.811492002451459,14.045697390655187,14.640697683724815,19.270640281583372
kl,paper,V3 a1 b0.1 eps0.1 w5.6e-03,4.028578117907002,0.7826058445310828,0.0388248144179289,0.4384522312609477,1.6031626068552534,15.201156474775942,anim>iden>numb>pose>back,2.0052315311943167,2.0069679271872256,2.069118996494625,2.1957241755585657,2.750155614823145,V1 a10 b0.1 eps0.1 w3.2e-06,0.8971660316407633,115.54960437428365,0.7058173143681027,0.16197290893037694,anim>iden>numb>pose,15.07175371147006,9.060576659447161,11.42851726172401,12.237561622247313,13.0607286184947,17.976044647227678
kl,within,V3 a1 b0.1 eps0.1 w5.6e-03,4.028578117907002,0.7826058445310828,0.0388248144179289,0.4384522312609477,1.6031626068552534,15.201156474775942,anim>iden>numb>pose>back,2.0052315311943167,2.0069679271872256,2.069118996494625,2.1957241755585657,2.750155614823145,V1 a10 b0.1 eps0.1 w3.2e-06,0.8971660316407633,115.54960437428365,0.7058173143681027,0.16197290893037694,anim>iden>numb>pose,15.07175371147006,9.060576659447161,11.42851726172401,12.237561622247313,13.0607286184947,17.976044647227678
kl,joint,V3 a10 b0.1 eps0.2 w1.0e-07,4.09506947969337,0.7406844059262947,0.035828285706001,0.5179762095407154,1.485314628538438,5.7095586962428975,anim>iden>numb>pose>back,30.887983695964977,31.1950471510122,37.45938734659453,43.069584857839736,62.35865197913446,V1 a1 b0.1 eps0.3 w3.2e-06,0.8839629203104568,128.30004217479433,0.547451468721541,0.20089374165818993,anim>iden>numb>pose,15.800832755386448,13.2406972927156,14.008200463511445,14.229324483915285,14.788650498563506,19.19932705967037
mi,paper,V3 a1 b0.1 eps0.3 w1.6e-05,4.072779604951754,0.7474069918110057,0.0362123552217001,0.48231006970062895,1.5392851525557865,7.102152682965991,anim>iden>numb>pose>back,42.02829011570663,42.043780440979454,43.83128105194771,46.06437797537313,52.30175206549614,V3 a1 b1 eps0.1 w1.0e-04,0.8478340816444406,134.14010106893448,0.6120519759432557,0.1860032787802518,anim>iden>numb>pose,5.446235544255165,5.2461548653506025,5.311691504763118,5.318853409038998,5.336021467669101,5.542013978138183
