metric,setting,world_EIGs,V_prior,alpha_prior,beta_prior,sd_epsilon,sigma_true,eps_fixed,r2_21_reeval,rmse21_cv_reeval,b21_reeval,r2_21_grid,rmse21_cv_grid,r2_mc_sd,r2_mc_lo,r2_mc_hi,hab,dis,rollouts,pairs,seed,window,bg_1,bg_2,bg_3,bg_4,bg_5,bg_6,bg_7,bg_8,bg_9,bg_10,bg_11,dev_1,dev_2,dev_3,dev_4,dev_5,dev_6,dev_7,dev_8,dev_9,dev_10
eig_code,29,0.3162277660168379,3.0,10.0,1.0,0.5,0.2,,0.21492252157187103,377.7717977196268,252.52551885089318,0.2932358269054738,334.8494439544853,0.0037942497598397536,0.20725463963021354,0.22227365763767154,0.32682767013011327,1.21603895173994,4,1180,7000000,exemplar_mean,4.526694915254238,2.674364406779661,2.1476694915254235,1.903177966101695,1.7972457627118643,1.7188559322033898,1.636228813559322,1.5809322033898305,1.554449152542373,1.5451271186440678,1.479449152542373,2.596822033898305,2.1648305084745765,1.922457627118644,1.7773305084745763,1.7457627118644068,1.6557203389830508,1.6036016949152543,1.5305084745762711,1.5220338983050847,1.4716101694915253
eig_code,20,0.01,3.0,1.0,1.0,0.5,0.1,,0.22632047054146587,373.6641353840325,77.14291292632005,0.281765489995687,340.1343364680095,0.0041641378637160414,0.21869817244407283,0.23479346602196086,0.294465864950478,1.212918613707165,4,1180,7000001,exemplar_mean,14.78114406779661,7.811228813559322,6.310593220338983,5.614406779661017,5.35021186440678,4.988771186440678,4.807415254237288,4.60635593220339,4.597881355932204,4.435169491525424,4.352542372881356,7.617372881355932,6.3620762711864405,5.655720338983051,5.321186440677966,5.002542372881356,4.7947033898305085,4.752330508474576,4.574364406779661,4.354661016949152,4.357838983050847
eig_code,6,0.0003162277660168,1.0,1.0,1.0,1.0,0.1,,0.1883594055471921,381.5184234835955,18.93152297329517,0.2717794392636653,352.3468619596029,0.004971031572130153,0.17870973557688927,0.1971538728399498,0.34800798356065327,1.204621011343157,4,1180,7000002,exemplar_mean,57.427330508474576,35.465254237288136,29.93728813559322,26.867796610169492,24.413771186440677,23.276271186440677,22.560593220338983,21.21080508474576,21.057627118644067,20.86398305084746,19.985169491525422,34.61207627118644,29.198940677966103,25.876694915254237,24.23665254237288,23.004661016949154,22.179237288135592,21.34491525423729,20.826483050847457,19.771610169491524,19.69427966101695
eig_code,19,0.0003162277660168,3.0,1.0,0.1,1.0,0.2,,0.1738928333291313,384.30455708432635,16.11369217635214,0.2556006840395446,353.2730834789487,0.0047386507843568725,0.16439404468847502,0.18325807332070265,0.4182187938719776,1.2615804435172875,4,1180,7000003,exemplar_mean,68.96631355932203,50.48135593220339,43.775635593220336,40.43241525423729,37.4239406779661,35.04025423728814,33.0603813559322,31.927330508474576,31.240466101694917,29.858686440677968,28.843008474576273,50.65021186440678,44.023305084745765,40.01843220338983,37.18262711864407,35.53368644067797,33.575,32.46843220338983,31.332203389830507,29.605296610169493,29.488559322033897
eig_code,25,0.0031622776601683,3.0,10.0,0.1,0.5,0.2,,0.20386654280118435,380.0122036470949,26.1475119179589,0.2619264127954476,354.66361278599413,0.003625913036680699,0.19691380108903883,0.21090153108638032,0.28167418975523323,1.3114926607799,4,1180,7000004,exemplar_mean,39.09809322033898,22.817161016949154,18.628601694915254,16.15487288135593,14.768008474576272,13.655508474576271,13.013135593220339,11.951694915254237,11.469067796610169,11.215889830508475,11.01292372881356,22.61165254237288,18.35614406779661,15.980084745762712,14.63792372881356,13.676906779661017,12.847669491525425,12.284533898305085,11.695974576271187,11.296610169491526,11.046186440677966
eig_code,15,0.0999999999999999,1.0,10.0,1.0,1.0,0.2,,0.20862085483473264,378.33711001660794,141.6146268778928,0.270397777387085,361.8308561655704,0.0033626363051508443,0.20210634760552396,0.21525507931168808,0.2747655460972443,1.2677168662045786,4,1180,7000005,exemplar_mean,7.342161016949152,4.0864406779661016,3.226271186440678,2.766949152542373,2.579872881355932,2.426906779661017,2.3110169491525423,2.159322033898305,2.147457627118644,2.0783898305084745,2.017372881355932,3.995127118644068,3.154449152542373,2.8154661016949154,2.555084745762712,2.4519067796610168,2.26885593220339,2.172033898305085,2.1292372881355934,2.0614406779661016,1.9709745762711866
eig_code,27,0.001,3.0,10.0,0.1,1.0,0.2,,0.18564387879620328,383.10457645622836,16.77374909241946,0.2477991352049428,364.72303652227066,0.003719094032482196,0.1788846128708549,0.19290918808109325,0.31086608762869994,1.3479790479479654,4,1180,7000006,exemplar_mean,59.2010593220339,38.688559322033896,31.70762711864407,28.153389830508473,25.28919491525424,23.690254237288137,22.059322033898304,20.927754237288134,19.995127118644067,19.03834745762712,18.403601694915253,37.74406779661017,31.57521186440678,28.302330508474576,25.372457627118646,23.76864406779661,22.08135593220339,21.01313559322034,20.058898305084746,19.266313559322032,18.89427966101695
eig_code,22,0.0031622776601683,3.0,1.0,1.0,1.0,0.1,,0.21541502308569163,374.8330072582301,45.608063555396505,0.2451727469187403,368.1987188549157,0.003960188670891092,0.20749902818205188,0.2227984533089906,0.2904207589578542,1.1956003252326317,4,1180,7000007,exemplar_mean,24.22478813559322,12.14343220338983,10.28177966101695,9.244915254237288,8.495974576271186,8.211864406779661,7.8266949152542376,7.508686440677966,7.384957627118644,7.075635593220339,7.035381355932204,12.378389830508475,10.286228813559323,9.11271186440678,8.367372881355932,8.030508474576271,7.589406779661017,7.411016949152542,7.199576271186441,6.815889830508475,6.923940677966102
eig_code,16,0.0316227766016837,3.0,1.0,0.1,0.5,0.1,,0.21192202356101567,376.61554601587653,81.0598516555897,0.2420132349849294,368.663424222432,0.0037843348206925437,0.2041465639168997,0.2192346943120551,0.2928999654728648,1.2215828109092859,4,1180,7000008,exemplar_mean,13.499576271186442,7.269491525423729,5.740254237288136,5.364406779661017,4.89364406779661,4.622457627118644,4.47478813559322,4.310169491525424,4.179025423728813,4.044279661016949,3.9540254237288135,7.122457627118644,5.885805084745763,5.280296610169492,4.818220338983051,4.635805084745763,4.390677966101695,4.259110169491525,4.049364406779661,3.9402542372881357,3.9197033898305085
eig_code,27,0.0316227766016837,3.0,10.0,0.1,1.0,0.2,,0.2132451485370417,377.17675855094956,72.85763208922317,0.257850599189911,368.9474095944968,0.003498597722649086,0.20646269955429739,0.22013033193907205,0.2613827744127641,1.3246142542248345,4,1180,7000009,exemplar_mean,14.341101694915254,7.757627118644068,6.115466101694915,5.586864406779661,5.074364406779661,4.6930084745762715,4.496610169491525,4.244915254237288,4.11271186440678,3.864830508474576,3.7485169491525423,7.826059322033898,6.222669491525424,5.550635593220339,5.0226694915254235,4.616101694915254,4.434322033898305,4.229449152542373,4.1010593220338984,3.8447033898305083,3.805720338983051
eig_code,6,0.001,1.0,1.0,1.0,1.0,0.1,,0.22066960071352446,375.7448908144928,30.062483992841226,0.2542397044078088,370.05940109483294,0.004384338585516907,0.2118257155358988,0.22868853112600046,0.30374245741889117,1.229277643260694,4,1180,7000010,exemplar_mean,38.025635593220336,20.45572033898305,16.8,15.383050847457627,14.290254237288135,13.617372881355932,13.209745762711865,12.934957627118644,12.032838983050848,11.980508474576272,11.55,20.673516949152543,17.140466101694916,15.130296610169491,14.361016949152543,13.499152542372881,13.00550847457627,12.726059322033898,12.086652542372882,11.867161016949153,11.491737288135592
eig_code,31,0.01,3.0,10.0,1.0,1.0,0.2,,0.21099646691231197,377.55369472324,52.69560022250418,0.2507916173069213,370.42560439478575,0.0031098278088777563,0.20520118562497483,0.21732425891305115,0.24050716721289767,1.3327368662537278,4,1180,7000011,exemplar_mean,19.19936440677966,9.976059322033898,7.995762711864407,6.921186440677966,6.225423728813559,5.752754237288135,5.474152542372881,5.195338983050847,5.004237288135593,4.86271186440678,4.617584745762712,9.895338983050847,7.765677966101695,6.973516949152542,6.168220338983051,5.825635593220339,5.345127118644068,5.2298728813559325,4.892372881355932,4.781991525423729,4.6625
mi,21,1.0,3.0,1.0,1.0,0.5,0.2,,0.1393486692229464,387.35791447214217,489.4427197152351,0.2757866430537913,346.1159617456009,0.005556577968967864,0.12874963256286343,0.14980665731565704,0.5357803254437871,1.1805176876617771,4,1180,7000012,exemplar_mean,2.2915254237288134,1.9252118644067797,1.7336864406779662,1.5680084745762712,1.4747881355932204,1.3915254237288135,1.3711864406779661,1.3069915254237288,1.278813559322034,1.238135593220339,1.2277542372881356,1.944915254237288,1.7072033898305086,1.5656779661016949,1.4578389830508474,1.3872881355932203,1.3514830508474576,1.3048728813559323,1.2902542372881356,1.248093220338983,1.236228813559322
mi,22,0.0316227766016837,3.0,1.0,1.0,1.0,0.1,,0.2304904230460192,373.9775542585861,86.7933457443181,0.2792867405699069,347.02399507771327,0.0029691932018629124,0.2248763602135643,0.23610992404200393,0.21290057371628746,1.3532404298186704,4,1180,7000013,exemplar_mean,11.854025423728814,5.640889830508475,4.344279661016949,3.781779661016949,3.419279661016949,3.175635593220339,2.8908898305084745,2.8271186440677964,2.6663135593220337,2.623728813559322,2.523728813559322,5.666525423728814,4.3915254237288135,3.739830508474576,3.44364406779661,3.1921610169491523,2.9722457627118644,2.8398305084745763,2.703601694915254,2.6449152542372882,2.5578389830508477
mi,2,0.0316227766016837,1.0,1.0,0.1,1.0,0.1,,0.23948999679067978,372.9113345173151,91.24573248057101,0.2851021559548617,348.37416574775483,0.0031621026089814993,0.23302110992000152,0.24555530467210826,0.22399811751076998,1.373769696969697,4,1180,7000014,exemplar_mean,11.704661016949153,5.806779661016949,4.525635593220339,3.8364406779661016,3.551271186440678,3.2805084745762714,3.0815677966101696,2.9601694915254235,2.8067796610169493,2.786864406779661,2.621822033898305,5.803177966101695,4.534322033898305,3.965042372881356,3.643008474576271,3.308050847457627,3.1777542372881356,3.088771186440678,2.9309322033898306,2.832627118644068,2.7341101694915255
mi,17,0.0316227766016837,3.0,1.0,0.1,0.5,0.2,,0.2217755639477322,376.4057572719545,98.31848144288905,0.2691190794672974,348.7083003682063,0.0034957338402986956,0.21533063925027843,0.22884112908734672,0.2590029070342318,1.3317859051691228,4,1180,7000015,exemplar_mean,10.713347457627119,5.8559322033898304,4.575,4.065466101694915,3.710593220338983,3.448305084745763,3.2341101694915255,3.0877118644067796,2.993220338983051,2.830508474576271,2.7747881355932202,5.9125,4.651694915254238,4.060169491525424,3.7665254237288135,3.4360169491525423,3.2540254237288138,3.1476694915254235,3.0152542372881355,2.8841101694915254,2.8262711864406778
mi,8,0.0031622776601683,1.0,10.0,0.1,0.5,0.1,,0.24314169778141687,373.8370440487719,34.41404463018289,0.2650704829639124,356.1345329816324,0.0033128200281484,0.23659656487892033,0.24939903457975648,0.22528364161452247,1.478692427433385,4,1180,7000016,exemplar_mean,30.8114406779661,16.660805084745764,12.884110169491525,11.047245762711864,9.913559322033898,9.04385593220339,8.513135593220339,8.05614406779661,7.626694915254237,7.30614406779661,6.941313559322034,16.733898305084747,13.257415254237289,11.629237288135593,10.557838983050848,9.63728813559322,8.995338983050848,8.551694915254238,8.028813559322034,7.7677966101694915,7.48135593220339
mi,18,0.001,3.0,1.0,0.1,1.0,0.1,,0.2209295170218074,376.57606089494936,20.0366402144555,0.272874443767773,357.1891487325008,0.0033530923213650555,0.21435310814311095,0.22744764288777042,0.2188536578169848,1.4210033702455465,4,1180,7000017,exemplar_mean,50.266737288135594,25.79385593220339,21.009533898305083,17.51271186440678,15.646398305084746,14.620338983050848,13.282415254237288,12.795762711864407,12.002330508474577,11.645338983050847,11.001059322033898,25.91970338983051,20.37521186440678,17.327542372881357,15.734110169491526,14.623093220338983,13.712923728813559,12.8375,12.48114406779661,11.963347457627119,11.350847457627118
mi,28,0.0316227766016837,3.0,10.0,1.0,0.5,0.1,,0.22403861597390534,375.49834960406395,88.23215775642834,0.2567896768727122,359.70492586286764,0.002966434736617301,0.21827453150896137,0.22964074326401918,0.22018112207333235,1.351688680822605,4,1180,7000018,exemplar_mean,11.510169491525424,5.749364406779661,4.335805084745763,3.841949152542373,3.3504237288135594,3.164406779661017,2.9703389830508473,2.852542372881356,2.686864406779661,2.665042372881356,2.534322033898305,5.695762711864407,4.421822033898305,3.792372881355932,3.4908898305084746,3.1296610169491523,3.0309322033898307,2.8591101694915255,2.7177966101694917,2.610169491525424,2.5076271186440677
mi,8,0.0999999999999999,1.0,10.0,0.1,0.5,0.1,,0.2318790157071772,375.3883401984115,150.13814284109154,0.2694220532384149,360.7721572435496,0.003375640860367575,0.2253911408740176,0.2388000395627171,0.2630892767193102,1.318639486428652,4,1180,7000019,exemplar_mean,7.15021186440678,3.9800847457627118,3.027542372881356,2.6561440677966104,2.4061440677966104,2.244491525423729,2.147881355932203,2.031779661016949,1.9828389830508475,1.909957627118644,1.8811440677966103,4.006567796610169,3.0690677966101694,2.709533898305085,2.499364406779661,2.3201271186440677,2.1584745762711863,2.106779661016949,2.0364406779661017,1.978177966101695,1.9209745762711865
