subject,experiment,trial_type,trial_number,fam_duration,block_num,LT,eig_code__pooled,eig_code__within,eig_within__pooled,eig_within__within,kl__pooled,kl__within,mi__pooled,mi__within,surprisal_b__pooled,surprisal_b__within,grid__paper122,grid__bestwithin
A_1,A,background,1,0,1,25.38,17.124596931271956,17.124596931271956,20.665601113680783,20.665601113680783,2.1452735461499666,2.1452735461499666,45.46813095276162,45.46813095276162,391.02891902926314,391.2984563527694,39.103,71.1495
A_1,A,background,1,0,3,12.484,17.124596931271956,17.124596931271956,20.665601113680783,20.665601113680783,2.1452735461499666,2.1452735461499666,45.46813095276162,45.46813095276162,391.02891902926314,391.2984563527694,39.103,71.1495
A_1,A,background,5,4,2,36.593,16.45287818752446,16.45287818752446,19.673687848315648,19.673687848315648,2.0819459465716337,2.0819459465716337,43.42390295070851,43.42390295070851,388.5620086672506,389.0413990039381,24.4565,60.9075
A_1,A,deviant,5,4,4,9.134,17.135739851934314,17.135739851934314,20.532924104197445,20.532924104197445,2.1378426086308058,2.1378426086308058,45.114674838146435,45.114674838146435,390.10634728357064,390.27298084476973,47.2535,69.2415
A_1,A,deviant,9,8,5,5.764,17.0556983446869,17.0556983446869,20.498507278518975,20.498507278518975,2.1483984452737883,2.1483984452737883,45.05915984224952,45.05915984224952,390.07686023862357,390.10890888986415,37.0155,64.32900000000001
A_2,A,background,1,0,3,7.95599999999999,17.124596931271956,17.124596931271956,20.665601113680783,20.665601113680783,2.1452735461499666,2.1452735461499666,45.46813095276162,45.46813095276162,391.02891902926314,391.2984563527694,39.103,71.1495
A_2,A,background,1,0,5,4.721,17.124596931271956,17.124596931271956,20.665601113680783,20.665601113680783,2.1452735461499666,2.1452735461499666,45.46813095276162,45.46813095276162,391.02891902926314,391.2984563527694,39.103,71.1495
A_2,A,background,5,4,1,32.633,16.45287818752446,16.45287818752446,19.673687848315648,19.673687848315648,2.0819459465716337,2.0819459465716337,43.42390295070851,43.42390295070851,388.5620086672506,389.0413990039381,24.4565,60.9075
A_2,A,deviant,5,4,2,35.209,17.135739851934314,17.135739851934314,20.532924104197445,20.532924104197445,2.1378426086308058,2.1378426086308058,45.114674838146435,45.114674838146435,390.10634728357064,390.27298084476973,47.2535,69.2415
A_2,A,background,9,8,4,4.568,15.690789349267021,15.690789349267021,18.797722054306178,18.797722054306178,2.016776766792601,2.016776766792601,41.999702481007546,41.999702481007546,387.46516885060987,387.8986355448679,14.341,48.8755
A_3,A,background,1,0,5,5.477,17.124596931271956,17.124596931271956,20.665601113680783,20.665601113680783,2.1452735461499666,2.1452735461499666,45.46813095276162,45.46813095276162,391.02891902926314,391.2984563527694,39.103,71.1495
A_3,A,background,1,0,6,7.87699999999999,17.124596931271956,17.124596931271956,20.665601113680783,20.665601113680783,2.1452735461499666,2.1452735461499666,45.46813095276162,45.46813095276162,391.02891902926314,391.2984563527694,39.103,71.1495
A_3,A,deviant,5,4,1,16.103,17.135739851934314,17.135739851934314,20.532924104197445,20.532924104197445,2.1378426086308058,2.1378426086308058,45.114674838146435,45.114674838146435,390.10634728357064,390.27298084476973,47.2535,69.2415
A_3,A,background,5,4,3,6.689,16.45287818752446,16.45287818752446,19.673687848315648,19.673687848315648,2.0819459465716337,2.0819459465716337,43.42390295070851,43.42390295070851,388.5620086672506,389.0413990039381,24.4565,60.9075
A_3,A,deviant,9,8,4,11.787,17.0556983446869,17.0556983446869,20.498507278518975,20.498507278518975,2.1483984452737883,2.1483984452737883,45.05915984224952,45.05915984224952,390.07686023862357,390.10890888986415,37.0155,64.32900000000001
A_5,A,background,1,0,2,58.006,17.124596931271956,17.124596931271956,20.665601113680783,20.665601113680783,2.1452735461499666,2.1452735461499666,45.46813095276162,45.46813095276162,391.02891902926314,391.2984563527694,39.103,71.1495
A_5,A,background,1,0,4,8.905,17.124596931271956,17.124596931271956,20.665601113680783,20.665601113680783,2.1452735461499666,2.1452735461499666,45.46813095276162,45.46813095276162,391.02891902926314,391.2984563527694,39.103,71.1495
A_5,A,deviant,5,4,5,15.691,17.135739851934314,17.135739851934314,20.532924104197445,20.532924104197445,2.1378426086308058,2.1378426086308058,45.114674838146435,45.114674838146435,390.10634728357064,390.27298084476973,47.2535,69.2415
A_5,A,background,5,4,6,3.805,16.45287818752446,16.45287818752446,19.673687848315648,19.673687848315648,2.0819459465716337,2.0819459465716337,43.42390295070851,43.42390295070851,388.5620086672506,389.0413990039381,24.4565,60.9075
A_5,A,deviant,9,8,1,58.801,17.0556983446869,17.0556983446869,20.498507278518975,20.498507278518975,2.1483984452737883,2.1483984452737883,45.05915984224952,45.05915984224952,390.07686023862357,390.10890888986415,37.0155,64.32900000000001
A_5,A,background,9,8,3,11.123,15.690789349267021,15.690789349267021,18.797722054306178,18.797722054306178,2.016776766792601,2.016776766792601,41.999702481007546,41.999702481007546,387.46516885060987,387.8986355448679,14.341,48.8755
A_6,A,background,1,0,2,23.318,17.124596931271956,17.124596931271956,20.665601113680783,20.665601113680783,2.1452735461499666,2.1452735461499666,45.46813095276162,45.46813095276162,391.02891902926314,391.2984563527694,39.103,71.1495
A_6,A,background,1,0,4,8.033,17.124596931271956,17.124596931271956,20.665601113680783,20.665601113680783,2.1452735461499666,2.1452735461499666,45.46813095276162,45.46813095276162,391.02891902926314,391.2984563527694,39.103,71.1495
A_6,A,deviant,9,8,1,44.204,17.0556983446869,17.0556983446869,20.498507278518975,20.498507278518975,2.1483984452737883,2.1483984452737883,45.05915984224952,45.05915984224952,390.07686023862357,390.10890888986415,37.0155,64.32900000000001
A_6,A,background,9,8,3,2.405,15.690789349267021,15.690789349267021,18.797722054306178,18.797722054306178,2.016776766792601,2.016776766792601,41.999702481007546,41.999702481007546,387.46516885060987,387.8986355448679,14.341,48.8755
A_7,A,background,1,0,2,22.259,17.124596931271956,17.124596931271956,20.665601113680783,20.665601113680783,2.1452735461499666,2.1452735461499666,45.46813095276162,45.46813095276162,391.02891902926314,391.2984563527694,39.103,71.1495
A_7,A,background,1,0,4,7.36,17.124596931271956,17.124596931271956,20.665601113680783,20.665601113680783,2.1452735461499666,2.1452735461499666,45.46813095276162,45.46813095276162,391.02891902926314,391.2984563527694,39.103,71.1495
A_7,A,deviant,5,4,5,5.643,17.135739851934314,17.135739851934314,20.532924104197445,20.532924104197445,2.1378426086308058,2.1378426086308058,45.114674838146435,45.114674838146435,390.10634728357064,390.27298084476973,47.2535,69.2415
A_7,A,background,5,4,6,8.013,16.45287818752446,16.45287818752446,19.673687848315648,19.673687848315648,2.0819459465716337,2.0819459465716337,43.42390295070851,43.42390295070851,388.5620086672506,389.0413990039381,24.4565,60.9075
A_7,A,deviant,9,8,1,15.07,17.0556983446869,17.0556983446869,20.498507278518975,20.498507278518975,2.1483984452737883,2.1483984452737883,45.05915984224952,45.05915984224952,390.07686023862357,390.10890888986415,37.0155,64.32900000000001
A_8,A,background,1,0,1,33.645,17.124596931271956,17.124596931271956,20.665601113680783,20.665601113680783,2.1452735461499666,2.1452735461499666,45.46813095276162,45.46813095276162,391.02891902926314,391.2984563527694,39.103,71.1495
A_8,A,background,1,0,2,23.019,17.124596931271956,17.124596931271956,20.665601113680783,20.665601113680783,2.1452735461499666,2.1452735461499666,45.46813095276162,45.46813095276162,391.02891902926314,391.2984563527694,39.103,71.1495
A_8,A,background,5,4,4,32.374,16.45287818752446,16.45287818752446,19.673687848315648,19.673687848315648,2.0819459465716337,2.0819459465716337,43.42390295070851,43.42390295070851,388.5620086672506,389.0413990039381,24.4565,60.9075
A_8,A,deviant,5,4,6,12.712,17.135739851934314,17.135739851934314,20.532924104197445,20.532924104197445,2.1378426086308058,2.1378426086308058,45.114674838146435,45.114674838146435,390.10634728357064,390.27298084476973,47.2535,69.2415
A_8,A,deviant,9,8,3,38.008,17.0556983446869,17.0556983446869,20.498507278518975,20.498507278518975,2.1483984452737883,2.1483984452737883,45.05915984224952,45.05915984224952,390.07686023862357,390.10890888986415,37.0155,64.32900000000001
A_8,A,background,9,8,5,40.449,15.690789349267021,15.690789349267021,18.797722054306178,18.797722054306178,2.016776766792601,2.016776766792601,41.999702481007546,41.999702481007546,387.46516885060987,387.8986355448679,14.341,48.8755
A_9,A,background,1,0,1,26.735,17.124596931271956,17.124596931271956,20.665601113680783,20.665601113680783,2.1452735461499666,2.1452735461499666,45.46813095276162,45.46813095276162,391.02891902926314,391.2984563527694,39.103,71.1495
A_9,A,background,1,0,3,9.62899999999999,17.124596931271956,17.124596931271956,20.665601113680783,20.665601113680783,2.1452735461499666,2.1452735461499666,45.46813095276162,45.46813095276162,391.02891902926314,391.2984563527694,39.103,71.1495
A_9,A,background,5,4,2,8.15,16.45287818752446,16.45287818752446,19.673687848315648,19.673687848315648,2.0819459465716337,2.0819459465716337,43.42390295070851,43.42390295070851,388.5620086672506,389.0413990039381,24.4565,60.9075
A_9,A,deviant,5,4,4,4.66,17.135739851934314,17.135739851934314,20.532924104197445,20.532924104197445,2.1378426086308058,2.1378426086308058,45.114674838146435,45.114674838146435,390.10634728357064,390.27298084476973,47.2535,69.2415
A_9,A,deviant,9,8,5,4.423,17.0556983446869,17.0556983446869,20.498507278518975,20.498507278518975,2.1483984452737883,2.1483984452737883,45.05915984224952,45.05915984224952,390.07686023862357,390.10890888986415,37.0155,64.32900000000001
A_9,A,background,9,8,6,3.885,15.690789349267021,15.690789349267021,18.797722054306178,18.797722054306178,2.016776766792601,2.016776766792601,41.999702481007546,41.999702481007546,387.46516885060987,387.8986355448679,14.341,48.8755
A_10,A,background,1,0,3,11.42,17.124596931271956,17.124596931271956,20.665601113680783,20.665601113680783,2.1452735461499666,2.1452735461499666,45.46813095276162,45.46813095276162,391.02891902926314,391.2984563527694,39.103,71.1495
A_10,A,background,1,0,5,5.936,17.124596931271956,17.124596931271956,20.665601113680783,20.665601113680783,2.1452735461499666,2.1452735461499666,45.46813095276162,45.46813095276162,391.02891902926314,391.2984563527694,39.103,71.1495
A_10,A,background,5,4,1,9.157,16.45287818752446,16.45287818752446,19.673687848315648,19.673687848315648,2.0819459465716337,2.0819459465716337,43.42390295070851,43.42390295070851,388.5620086672506,389.0413990039381,24.4565,60.9075
A_10,A,deviant,5,4,2,15.1,17.135739851934314,17.135739851934314,20.532924104197445,20.532924104197445,2.1378426086308058,2.1378426086308058,45.114674838146435,45.114674838146435,390.10634728357064,390.27298084476973,47.2535,69.2415
A_11,A,background,1,0,5,23.253,17.124596931271956,17.124596931271956,20.665601113680783,20.665601113680783,2.1452735461499666,2.1452735461499666,45.46813095276162,45.46813095276162,391.02891902926314,391.2984563527694,39.103,71.1495
A_11,A,background,1,0,6,22.519,17.124596931271956,17.124596931271956,20.665601113680783,20.665601113680783,2.1452735461499666,2.1452735461499666,45.46813095276162,45.46813095276162,391.02891902926314,391.2984563527694,39.103,71.1495
A_11,A,deviant,5,4,1,30.998,17.135739851934314,17.135739851934314,20.532924104197445,20.532924104197445,2.1378426086308058,2.1378426086308058,45.114674838146435,45.114674838146435,390.10634728357064,390.27298084476973,47.2535,69.2415
A_11,A,background,5,4,3,52.815,16.45287818752446,16.45287818752446,19.673687848315648,19.673687848315648,2.0819459465716337,2.0819459465716337,43.42390295070851,43.42390295070851,388.5620086672506,389.0413990039381,24.4565,60.9075
A_11,A,background,9,8,2,14.291,15.690789349267021,15.690789349267021,18.797722054306178,18.797722054306178,2.016776766792601,2.016776766792601,41.999702481007546,41.999702481007546,387.46516885060987,387.8986355448679,14.341,48.8755
A_11,A,deviant,9,8,4,21.826,17.0556983446869,17.0556983446869,20.498507278518975,20.498507278518975,2.1483984452737883,2.1483984452737883,45.05915984224952,45.05915984224952,390.07686023862357,390.10890888986415,37.0155,64.32900000000001
A_12,A,background,1,0,1,15.96,17.124596931271956,17.124596931271956,20.665601113680783,20.665601113680783,2.1452735461499666,2.1452735461499666,45.46813095276162,45.46813095276162,391.02891902926314,391.2984563527694,39.103,71.1495
A_12,A,background,1,0,2,34.552,17.124596931271956,17.124596931271956,20.665601113680783,20.665601113680783,2.1452735461499666,2.1452735461499666,45.46813095276162,45.46813095276162,391.02891902926314,391.2984563527694,39.103,71.1495
A_12,A,background,5,4,4,7.464,16.45287818752446,16.45287818752446,19.673687848315648,19.673687848315648,2.0819459465716337,2.0819459465716337,43.42390295070851,43.42390295070851,388.5620086672506,389.0413990039381,24.4565,60.9075
