setting,metric,world_EIGs,V_prior,alpha_prior,beta_prior,eps_fixed,cond_r2,cond_rmse,n_cond,within_r2,within_b,bg1,bg2,bg11,dev1,dev5,dev10
0,surprisal,0.01,1.0,0.1,0.1,0.1,0.6980873735497325,223.1201536437899,75,,,25.805912900502413,76.86123758580854,80.0,77.27777605595206,80.0,80.0
0,surprisal,0.0273841963426436,1.0,0.1,0.1,0.1,0.6978188838438806,222.59941470737766,75,,,11.263489341706128,72.07093400231409,80.0,73.05260261664424,80.0,80.0
0,surprisal,0.0749894209332455,1.0,0.1,0.1,0.1,0.6798120581210139,228.66865353394923,75,,,5.361216314976385,61.91014074958936,80.0,63.83029445199155,80.0,80.0
0,surprisal,0.2053525026457146,1.0,0.1,0.1,0.1,0.6214791186112637,248.31962452141906,75,,,3.06732736366457,45.30271075753164,80.0,48.02618891776432,80.0,80.0
0,surprisal,0.5623413251903491,1.0,0.1,0.1,0.1,0.2048788137658507,368.158780958226,75,,,2.08233488221587,1.3264299300624791,80.0,1.3579566765667508,80.0,80.0
0,surprisal,1.539926526059492,1.0,0.1,0.1,0.1,0.047867608428819985,402.7273305520636,75,,,1.566875858624584,1.1549821856730826,80.0,1.1737634000130786,1.0,64.2
0,surprisal,4.216965034285822,1.0,0.1,0.1,0.1,0.6826356501504505,227.6629260113109,75,,,1.265994531336442,1.0646125091882832,1.0,1.073032118339319,1.0,1.0
0,surprisal,11.547819846894582,1.0,0.1,0.1,0.1,0.6860825791977007,226.4169482139433,75,,,1.110441215756143,1.0251116437230177,1.0,1.0284165930325933,1.0,1.0
0,surprisal,31.622776601683793,1.0,0.1,0.1,0.1,0.6873581314056221,225.9586223732062,75,,,1.0425879804964542,1.0094175702498815,1.0,1.0106537976277004,1.0,1.0
0,surprisal_b,0.01,1.0,0.1,0.1,0.1,0.37378752528004006,324.9071239784387,75,,,75.7619624128638,75.30929093855761,73.2958344119317,75.34091307220075,74.39835315314205,73.8605860408264
0,surprisal_b,0.0273841963426436,1.0,0.1,0.1,0.1,0.3799150934280902,323.1737936415209,75,,,69.10440679404677,68.02143793859902,63.386103278872824,68.0966023026401,65.88919765144074,64.66232202372808
0,surprisal_b,0.0749894209332455,1.0,0.1,0.1,0.1,0.39512445239442473,318.8152103934168,75,,,54.63205005034681,52.55420382047405,44.46052702816563,52.69600949763011,48.67965700612556,46.58708844722802
0,surprisal_b,0.2053525026457146,1.0,0.1,0.1,0.1,0.4248741755284745,310.06687686034815,75,,,32.25390967895165,29.859033831452745,22.075573297737552,30.01632154215571,25.85378698872828,23.938514585244675
0,surprisal_b,0.5623413251903491,1.0,0.1,0.1,0.1,0.4488826566693073,302.8068025799554,75,,,13.83698471199681,12.559031036827148,8.977861306280674,12.6382022842368,10.615970405250025,9.769776439198331
0,surprisal_b,1.539926526059492,1.0,0.1,0.1,0.1,0.45258432088056144,301.6383518138608,75,,,5.77365038690934,5.282952997434286,3.9554251863391663,5.31115035782336,4.547708166576807,4.235950410942489
0,surprisal_b,4.216965034285822,1.0,0.1,0.1,0.1,0.45717385208433103,300.17352253944375,75,,,2.793294084298613,2.5998652559063986,2.100867515196652,2.6096879859323376,2.315452113195184,2.1990701084198485
0,surprisal_b,11.547819846894582,1.0,0.1,0.1,0.1,0.46436627790512874,297.90428743454765,75,,,1.6788741478214149,1.6001925481151549,1.409606350918169,1.60366220890857,1.48823700274861,1.4442206979944792
0,surprisal_b,31.622776601683793,1.0,0.1,0.1,0.1,0.471161440677421,295.7654148902013,75,,,1.255282837658199,1.223764180117406,1.1513960719088003,1.2250176232495915,1.1803492523464645,1.1637849784335086
1,kl,3.162277660168379e-06,1.0,0.1,0.1,0.2,0.0024502242142846295,412.1820950852425,75,,,10.063268443399568,9.911644526464384,10.706921573258391,10.049503516422892,11.088083383187003,12.115413825671729
1,kl,1e-05,1.0,0.1,0.1,0.2,0.023914088160840882,401.83765327143766,75,,,8.01584508217513,7.88009750817595,8.250239441977579,7.982384184337962,8.660752783162232,9.28508580354679
1,kl,3.1622776601683795e-05,1.0,0.1,0.1,0.2,0.1202796309056164,377.79663010790057,75,,,6.399611322421407,6.277890310900707,6.341869940209902,6.352623641977276,6.760519554315304,7.0925160046781555
1,kl,0.0001,1.0,0.1,0.1,0.2,0.40310025452690523,313.03391490835395,75,,,5.127980197564865,5.018907609264372,4.870853631987381,5.072522891071302,5.28163367859279,5.408568464697472
1,kl,0.0003162277660168,1.0,0.1,0.1,0.2,0.5678575262113134,270.86158518535785,75,,,4.132777985823798,4.035360460687783,3.748030087667653,4.073006285502018,4.139882712568214,4.128799460860911
1,kl,0.001,1.0,0.1,0.1,0.2,0.4498265599027998,307.4546746629598,75,,,3.3609638678453875,3.274564833654979,2.90113697585715,3.3003176063142705,3.268256454043101,3.1680218268141127
1,kl,0.0031622776601683,1.0,0.1,0.1,0.2,0.33443703856759416,336.4549270623994,75,,,2.7724131505876466,2.697070003041663,2.270142245057883,2.7140543942291857,2.6137540014136276,2.455756597550221
1,kl,0.01,1.0,0.1,0.1,0.2,0.24915220981530423,357.91601035804126,75,,,2.3481879035522786,2.284937340530261,1.796008117183596,2.2948310292644836,2.1330072002616305,1.9278671515663055
1,kl,0.0316227766016837,1.0,0.1,0.1,0.2,0.23318120707331288,362.10343315925724,75,,,2.080417867405642,2.012263612918254,1.4305296159352707,2.0172798295089094,1.7562394460856048,1.5250298749720368
0,mi,3.1622776601683795e-05,1.0,0.1,0.1,0.1,0.5434754531528194,276.04301379086013,75,,,17.70716314826507,17.17288099203705,16.247606065206725,17.351320769057498,18.14689010928075,19.25983311767107
0,mi,0.0001,1.0,0.1,0.1,0.1,0.590802383532791,260.5238904745976,75,,,11.963539140911834,11.587952299863032,10.847420485379594,11.706639290729536,12.162250437509112,12.794211631750809
0,mi,0.0003162277660168,1.0,0.1,0.1,0.1,0.6383264062179257,245.58596483597702,75,,,8.058742436569053,7.792487148071888,7.190316907850786,7.870332104301343,8.099195190999401,8.413660288506218
0,mi,0.001,1.0,0.1,0.1,0.1,0.6634730042822407,238.72574590259632,75,,,5.411489607939541,5.221719184931829,4.732738594151842,5.271616786291633,5.354452111031902,5.469073617120372
0,mi,0.0031622776601683,1.0,0.1,0.1,0.1,0.6443896135082493,246.74556384513397,75,,,3.628944345088204,3.494545834700868,3.1101245127284014,3.5253402572996206,3.5227176152954627,3.525953127531704
0,mi,0.01,1.0,0.1,0.1,0.1,0.5942210382033155,262.77066342594424,75,,,2.449250984306038,2.3577059318790883,2.08059946771697,2.3755423208592275,2.3357956117115513,2.29542659674632
0,mi,0.0316227766016837,1.0,0.1,0.1,0.1,0.5525786225171816,274.4124546677878,75,,,1.7046342670669925,1.6491982951927806,1.4818249212206769,1.658423653735356,1.6187309660348546,1.5802527279771046
0,mi,0.1,1.0,0.1,0.1,0.1,0.5334743123002762,279.3604738416938,75,,,1.2897990172249767,1.2631578234622325,1.184964184318199,1.2671167587620868,1.2445195036643135,1.2238038845819983
0,mi,0.3162277660168379,1.0,0.1,0.1,0.1,0.5257281676227765,281.3494675920424,75,,,1.1032994259776197,1.0931249695122074,1.06369261214225,1.0945500353078266,1.0853888971501189,1.077231292393514
1,surprisal,0.01,1.0,0.1,0.1,0.2,0.07490653081713057,395.483539694554,75,,,44.46761473853708,8.039354874433872,80.0,6.889531722836405,80.0,80.0
1,surprisal,0.0273841963426436,1.0,0.1,0.1,0.2,0.15959744392266775,378.17447337913,75,,,22.468410362991147,3.5328055741235813,80.0,4.344225085072819,80.0,80.0
1,surprisal,0.0749894209332455,1.0,0.1,0.1,0.2,0.2254777820192677,363.53647012399466,75,,,9.657567548208416,2.7170328201626655,80.0,3.0032601380939914,80.0,80.0
1,surprisal,0.2053525026457146,1.0,0.1,0.1,0.2,0.23690127060998056,360.26615398574927,75,,,4.607981713476822,2.1118409977106145,80.0,2.2063186114470863,80.0,80.0
1,surprisal,0.5623413251903491,1.0,0.1,0.1,0.2,0.07625532258668434,399.74821889574145,75,,,2.6028917512576184,1.651885600840687,80.0,1.6829390117789522,16.8,80.0
1,surprisal,1.539926526059492,1.0,0.1,0.1,0.2,0.6127599902033277,251.36870845171606,75,,,1.729578402302982,1.3295779190633918,1.0,1.3405968337355083,1.0,1.0
1,surprisal,4.216965034285822,1.0,0.1,0.1,0.2,0.6098964713159364,252.36482654451248,75,,,1.3164533131543217,1.144523830093814,1.0,1.1485321400750066,1.0,1.0
1,surprisal,11.547819846894582,1.0,0.1,0.1,0.2,0.6112128821785884,251.9121975555466,75,,,1.127128044729261,1.0575909315498873,1.0,1.059031356396567,1.0,1.0
1,surprisal,31.622776601683793,1.0,0.1,0.1,0.2,0.6121554782436209,251.586498708709,75,,,1.0484215275671864,1.0218182123198485,1.0,1.0223368564559072,1.0,1.0
0,kl,3.162277660168379e-06,1.0,0.1,0.1,0.1,0.00778045392828401,418.0202374204006,75,,,6.383515438737165,6.325383696419669,7.296406217568021,6.417136929180904,7.290057034707438,8.272499021162286
0,kl,1e-05,1.0,0.1,0.1,0.1,0.004900311821534307,417.9141942640825,75,,,5.204997222532565,5.1542844930918035,5.835994541296641,5.224638760948351,5.869376606794721,6.5803967723713885
0,kl,3.1622776601683795e-05,1.0,0.1,0.1,0.1,0.0019013187722449892,417.3794540602642,75,,,4.27422452028388,4.229752712919992,4.687359015035161,4.28316179384771,4.749010594837323,5.249333685163377
0,kl,0.0001,1.0,0.1,0.1,0.1,1.0586655740644039e-05,415.73590174268264,75,,,3.5418381398002365,3.502776094307655,3.78828662327303,3.54278500842677,3.869109308492773,4.2071243504518545
0,kl,0.0003162277660168,1.0,0.1,0.1,0.1,0.003930578121016845,411.14217254423,75,,,2.969043917050242,2.9347468050782095,3.089899705569618,2.964321977284205,3.182912272159735,3.396903289592198
0,kl,0.001,1.0,0.1,0.1,0.1,0.030631419703576874,399.5053107375723,75,,,2.5249638356722324,2.496616557194778,2.5545032658145237,2.5176922893061824,2.6541201633331943,2.774293357356304
0,kl,0.0031622776601683,1.0,0.1,0.1,0.1,0.24817038193971472,349.4445980693223,75,,,2.223731149733175,2.2042560960694897,2.166827785195359,2.2160112914353656,2.273073962039393,2.313256080778023
0,kl,0.01,1.0,0.1,0.1,0.1,0.27388196714769647,351.2513531781112,75,,,2.067006024372623,2.049295290912551,1.8782030440708692,2.0542775876037944,2.0257197180291255,1.9776991145623095
0,kl,0.0316227766016837,1.0,0.1,0.1,0.1,0.21642372430146373,365.82091304133104,75,,,1.9799368930327887,1.9461214256716772,1.58319622075467,1.9484307837318016,1.8111140146934748,1.6735091595934573
1,mi,3.1622776601683795e-05,1.0,0.1,0.1,0.2,0.6502545281207318,242.2441992521391,75,,,27.831612285509912,26.89232694698817,24.598406324636784,27.15725259930078,27.804544632179237,28.690977217900013
1,mi,0.0001,1.0,0.1,0.1,0.2,0.6520595227659008,243.59938703543244,75,,,18.713675907596617,18.031404351803022,16.10440173482175,18.201718852963005,18.348105308665172,18.554805028424045
1,mi,0.0003162277660168,1.0,0.1,0.1,0.2,0.5951868701875132,263.03982127306733,75,,,12.514231439067933,12.011982885752204,10.3994909478183,12.118139332799196,11.959733562356323,11.779844669396814
1,mi,0.001,1.0,0.1,0.1,0.2,0.5049426788655634,288.93177834218466,75,,,8.308908541607174,7.936370360563042,6.619262783385295,7.99940307049107,7.682577704691279,7.332282961048139
1,mi,0.0031622776601683,1.0,0.1,0.1,0.2,0.4257657628355635,310.46632703228545,75,,,5.4716615100189525,5.197103657349056,4.174955795394283,5.231826682843929,4.869862809589582,4.504405622259951
1,mi,0.01,1.0,0.1,0.1,0.2,0.3786444098821882,323.44404215924317,75,,,3.581356123748267,3.3859795471542156,2.659274007025579,3.4030371557976338,3.081218890587768,2.7937126037853757
1,mi,0.0316227766016837,1.0,0.1,0.1,0.2,0.36146634448469733,328.25670672011427,75,,,2.3591092063157624,2.231908186977968,1.7813708804914572,2.2389645834983942,2.009653595529393,1.8304745459198657
1,mi,0.1,1.0,0.1,0.1,0.2,0.3611970862164803,328.3262008956343,75,,,1.6237344144991073,1.5543360709300234,1.3243177843809784,1.556623298882297,1.4296777680359571,1.340918479468233
1,mi,0.3162277660168379,1.0,0.1,0.1,0.2,0.3628154913323563,327.8612525489105,75,,,1.243727127343546,1.2139926816822595,1.1190853227512434,1.214568700447001,1.1602122979847804,1.1244517989435867
1,surprisal_b,0.01,1.0,0.1,0.1,0.2,0.3952794008589929,318.5234594827276,75,,,74.45920220894406,73.80495408524659,71.44425638882674,73.84314373592944,72.55240735611486,71.91977724707897
1,surprisal_b,0.0273841963426436,1.0,0.1,0.1,0.2,0.40316553713729997,316.2224027789432,75,,,66.02998573625935,64.5320439221817,59.38076097392634,64.6184936780033,61.75071534113124,60.39042741825555
1,surprisal_b,0.0749894209332455,1.0,0.1,0.1,0.2,0.4219872813456584,310.6538024225806,75,,,48.93018089334472,46.35329215784322,38.44276014265334,46.497672213051416,41.90745646666345,39.89319019985886
1,surprisal_b,0.2053525026457146,1.0,0.1,0.1,0.2,0.45351297727622925,301.0980681227933,75,,,26.118502863987935,23.72218304223272,17.635343354552333,23.847659986117584,20.082472139883546,18.62793587219536
1,surprisal_b,0.5623413251903491,1.0,0.1,0.1,0.2,0.4687657627445978,296.36840220542894,75,,,10.792884703258936,9.714514370016904,7.240693673595786,9.76513552281918,8.185777407809814,7.61107453639829
1,surprisal_b,1.539926526059492,1.0,0.1,0.1,0.2,0.4697287856131915,296.0306121277108,75,,,4.662974811648093,4.252877212958724,3.338324858078072,4.269106958520718,3.676815421289013,3.464070369616856
1,surprisal_b,4.216965034285822,1.0,0.1,0.1,0.2,0.47197319992467573,295.29085119851936,75,,,2.3873275757407044,2.2254055134651884,1.878845344735463,2.2304486610304894,2.0022295107633035,1.9213510687893731
1,surprisal_b,11.547819846894582,1.0,0.1,0.1,0.2,0.4762552021144009,293.925473734926,75,,,1.5268050324877525,1.46151766928975,1.3283482701374605,1.4631326092810997,1.3741111003743034,1.3430202755116296
1,surprisal_b,31.622776601683793,1.0,0.1,0.1,0.2,0.48008353124297026,292.71175133071233,75,,,1.1977419297085543,1.1720528014469025,1.1214912192684516,1.1725984093020585,1.1384779421809408,1.126689891608907
1,eig_code,3.162277660168379e-06,1.0,0.1,0.1,0.2,0.09727965824096155,401.30428208003303,75,,,8.67407529796105,8.907565823583806,10.804708310496064,9.02192870347686,10.70863249107774,12.096555785145508
1,eig_code,1e-05,1.0,0.1,0.1,0.2,0.09584990964238953,401.7707140349379,75,,,6.704161464782094,6.871812749733546,8.090770063764975,6.9558159241087765,8.136739700882242,9.035641611541868
1,eig_code,3.1622776601683795e-05,1.0,0.1,0.1,0.2,0.09186873671093457,402.8528161115701,75,,,5.149832751954465,5.266619910638778,5.984400811148527,5.327144881826248,6.123451394292227,6.665796587800552
1,eig_code,0.0001,1.0,0.1,0.1,0.2,0.08198839611178291,405.1904649932103,75,,,3.9280716916426384,4.006048158376345,4.36731422400685,4.048633892192147,4.558420317637308,4.851356395509514
1,eig_code,0.0003162277660168,1.0,0.1,0.1,0.2,0.05881810716881351,409.7402455174286,75,,,2.9740153273701577,3.023006598065007,3.147601234922983,3.0521065836436634,3.3553026801914427,3.485171837814999
1,eig_code,0.001,1.0,0.1,0.1,0.2,0.01633272253743259,415.2394622359035,75,,,2.238342111139827,2.2666370336883395,2.255890282439391,2.285802836221027,2.4483950806017845,2.4841954421964383
1,eig_code,0.0031622776601683,1.0,0.1,0.1,0.2,0.005593525247751033,410.1420587244321,75,,,1.6866531315569795,1.7019402102129768,1.643012038904877,1.7138989333371502,1.791657548049886,1.7872680231462617
1,eig_code,0.01,1.0,0.1,0.1,0.2,0.041129568875121,398.000790778974,75,,,1.3131268924850992,1.321248428154931,1.2755389454126536,1.327595242461446,1.3622625666480366,1.3529671005346258
1,eig_code,0.0316227766016837,1.0,0.1,0.1,0.2,0.057419013671431665,393.1809175543687,75,,,1.1178626028444132,1.1215164890225435,1.1007174866108147,1.1241065805050936,1.1379068009094424,1.1334202850612622
2,kl,3.162277660168379e-06,1.0,0.1,0.1,0.3,0.1510404692130334,371.7440063089708,75,,,13.0104820127299,12.737744127106277,12.807312051653934,12.90047766068609,13.755047843417008,14.436503541708571
2,kl,1e-05,1.0,0.1,0.1,0.3,0.45220966574471094,299.36446435459163,75,,,10.208471768898116,9.963511562145523,9.588115291045884,10.080217263338987,10.50736323266742,10.756162443601768
2,kl,3.1622776601683795e-05,1.0,0.1,0.1,0.3,0.5793767547796804,267.76383392699483,75,,,8.006035784548567,7.786439052425287,7.132017703874828,7.868436465356623,7.994320943551753,7.961036250028696
2,kl,0.0001,1.0,0.1,0.1,0.3,0.4727974136841027,300.86075752084105,75,,,6.282830436125851,6.0866788158207665,5.280663048159549,6.142981871181831,6.066248591115939,5.863554025624936
2,kl,0.0003162277660168,1.0,0.1,0.1,0.3,0.37952059181585907,324.6660040924467,75,,,4.943468747035718,4.769198993150303,3.905263322976293,4.806898691097638,4.602636695748414,4.310695256404987
2,kl,0.001,1.0,0.1,0.1,0.3,0.3219369040409669,339.33888418022735,75,,,3.9126417612115434,3.758945552972448,2.9003346733036186,3.783503633302875,3.5061449957772517,3.178179201750096
2,kl,0.0031622776601683,1.0,0.1,0.1,0.3,0.28453233886705975,349.10595357820876,75,,,3.131695045095436,2.997363856796761,2.178580071898236,3.0128410612618928,2.69727013854333,2.3653529017586044
2,kl,0.01,1.0,0.1,0.1,0.3,0.2589426432050626,355.8209443373645,75,,,2.5578663260882646,2.4411818217513126,1.6685130791470453,2.4503497814095234,2.106606938133331,1.7909355901862571
2,kl,0.0316227766016837,1.0,0.1,0.1,0.3,0.2688030207552831,353.1957939973237,75,,,2.163990164628522,2.0494734098474567,1.3282930145463123,2.0545527877590395,1.6621591754175438,1.4011552189374143
0,eig_code,3.162277660168379e-06,1.0,0.1,0.1,0.1,0.12166053766070904,394.2819769650216,75,,,5.28155205946613,5.4973346077091385,7.516262587479754,5.570962733193667,6.9816457113452035,8.310550497183387
0,eig_code,1e-05,1.0,0.1,0.1,0.1,0.1232529624232658,393.9220474116636,75,,,4.122954322841838,4.288498510231182,5.7835844274300445,4.344634192209811,5.409325403620419,6.387247225342042
0,eig_code,3.1622776601683795e-05,1.0,0.1,0.1,0.1,0.12522272878242524,393.4812650679259,75,,,3.2081270186215116,3.333941321099175,4.418869302622367,3.3762245507030557,4.1681921686883285,4.872511260659765
0,eig_code,0.0001,1.0,0.1,0.1,0.1,0.12759659083957675,392.95770384330086,75,,,2.4887358049838775,2.5831605826249664,3.3496379882021863,2.614505697104478,3.19252991966986,3.685781019058998
0,eig_code,0.0003162277660168,1.0,0.1,0.1,0.1,0.13075091854122237,392.26673082124427,75,,,1.926840638998634,1.9968960977514965,2.520065078188028,2.0197186301971866,2.431469720940972,2.7646861152932516
0,eig_code,0.001,1.0,0.1,0.1,0.1,0.13317103350553683,391.7235127678559,75,,,1.494427014825282,1.5446696739582098,1.8890443772766108,1.5607955522385428,1.8465651936092684,2.0626716801405505
0,eig_code,0.0031622776601683,1.0,0.1,0.1,0.1,0.11621699454247326,396.25875758469726,75,,,1.2110212153169295,1.2391471172256188,1.435944237985899,1.2482497561605763,1.4198716716085005,1.5516455804123672
0,eig_code,0.01,1.0,0.1,0.1,0.1,0.09283335078850814,402.70555657786946,75,,,1.0757747978998466,1.0873730437527482,1.1725882356204709,1.0911551671186623,1.1682500605736157,1.233911873092021
0,eig_code,0.0316227766016837,1.0,0.1,0.1,0.1,0.0802831512130783,406.2471617060643,75,,,1.0250661091163484,1.029109332696506,1.0595081453238155,1.0304312184977558,1.058478088657942,1.0841829574728323
2,surprisal_b,0.01,1.0,0.1,0.1,0.3,0.42468315519578675,309.72564550885266,75,,,73.51425907157426,72.78145172945139,70.6519230931236,72.81694747008503,71.50686318771595,70.9737060388157
2,surprisal_b,0.0273841963426436,1.0,0.1,0.1,0.3,0.43244135898776437,307.3956875121136,75,,,63.87733268633006,62.25134055993067,57.74008382145861,62.3288353056058,59.513226731553495,58.402256113226585
2,surprisal_b,0.0749894209332455,1.0,0.1,0.1,0.3,0.4503881131585534,301.94310173507296,75,,,45.2726470031148,42.67986520108555,36.2160311625329,42.79822281064187,38.631511774462,37.10068758086109
2,surprisal_b,0.2053525026457146,1.0,0.1,0.1,0.3,0.47690046886788684,293.7343278790401,75,,,22.800464685397895,20.69168866770747,16.218985658738895,20.778533767305568,17.76348340396974,16.76305437399565
2,surprisal_b,0.5623413251903491,1.0,0.1,0.1,0.3,0.4841779576083059,291.4328991388838,75,,,9.345332692389746,8.462809145567213,6.703831916403511,8.49305452593256,7.288336648018598,6.89767836626901
