setting,metric,world_EIGs,V_prior,alpha_prior,beta_prior,eps_fixed,sd_epsilon,infer_eps,sigma_true,window,r2_21,rmse21_full,rmse21_cv,b21,bg1,bg2,bg11,dev
0,mi,3.1622776601683795e-05,1.0,1.0,0.1,0.0001,,False,0.1,exemplar_mean,0.04901044775685566,355.0602720519208,360.49815688732684,36335.7453876703,1.0,1.0,1.0,1.0010416666666666
0,mi,0.0001,1.0,1.0,0.1,0.0001,,False,0.1,exemplar_mean,0.1460255151024896,364.09457553176964,360.26577905524965,-45501.66739550975,1.0,1.0,1.0,1.0
0,mi,0.0003162277660168,1.0,1.0,0.1,0.0001,,False,0.1,exemplar_mean,,,,,1.0,1.0,1.0,1.0
0,mi,0.001,1.0,1.0,0.1,0.0001,,False,0.1,exemplar_mean,,,,,1.0,1.0,1.0,1.0
0,mi,0.0031622776601683,1.0,1.0,0.1,0.0001,,False,0.1,exemplar_mean,,,,,1.0,1.0,1.0,1.0
0,mi,0.01,1.0,1.0,0.1,0.0001,,False,0.1,exemplar_mean,,,,,1.0,1.0,1.0,1.0
0,mi,0.0316227766016837,1.0,1.0,0.1,0.0001,,False,0.1,exemplar_mean,,,,,1.0,1.0,1.0,1.0
0,mi,0.0999999999999999,1.0,1.0,0.1,0.0001,,False,0.1,exemplar_mean,,,,,1.0,1.0,1.0,1.0
0,mi,0.3162277660168379,1.0,1.0,0.1,0.0001,,False,0.1,exemplar_mean,,,,,1.0,1.0,1.0,1.0
0,mi,1.0,1.0,1.0,0.1,0.0001,,False,0.1,exemplar_mean,,,,,1.0,1.0,1.0,1.0
0,mi,3.162277660168379,1.0,1.0,0.1,0.0001,,False,0.1,exemplar_mean,,,,,1.0,1.0,1.0,1.0
0,mi_concept,3.1622776601683795e-05,1.0,1.0,0.1,0.0001,,False,0.1,exemplar_mean,0.022884980195974285,359.90431469689463,359.65669045375626,24829.330482124788,1.0,1.0,1.0,1.0010416666666668
0,mi_concept,0.0001,1.0,1.0,0.1,0.0001,,False,0.1,exemplar_mean,0.038918297097482145,356.93929641908727,358.2297785401349,32379.24016981124,1.0,1.0,1.0,1.0010416666666668
0,mi_concept,0.0003162277660168,1.0,1.0,0.1,0.0001,,False,0.1,exemplar_mean,,,,,1.0,1.0,1.0,1.0
0,mi_concept,0.001,1.0,1.0,0.1,0.0001,,False,0.1,exemplar_mean,,,,,1.0,1.0,1.0,1.0
0,mi_concept,0.0031622776601683,1.0,1.0,0.1,0.0001,,False,0.1,exemplar_mean,0.07746781941187675,364.09457553176964,360.26577905524965,-33141.610112870905,1.0,1.0104166666666667,1.0,1.0
0,mi_concept,0.01,1.0,1.0,0.1,0.0001,,False,0.1,exemplar_mean,,,,,1.0,1.0,1.0,1.0
0,mi_concept,0.0316227766016837,1.0,1.0,0.1,0.0001,,False,0.1,exemplar_mean,,,,,1.0,1.0,1.0,1.0
0,mi_concept,0.0999999999999999,1.0,1.0,0.1,0.0001,,False,0.1,exemplar_mean,,,,,1.0,1.0,1.0,1.0
0,mi_concept,0.3162277660168379,1.0,1.0,0.1,0.0001,,False,0.1,exemplar_mean,,,,,1.0,1.0,1.0,1.0
0,mi_concept,1.0,1.0,1.0,0.1,0.0001,,False,0.1,exemplar_mean,,,,,1.0,1.0,1.0,1.0
0,mi_concept,3.162277660168379,1.0,1.0,0.1,0.0001,,False,0.1,exemplar_mean,,,,,1.0,1.0,1.0,1.0
