metric,setting,world_EIGs,V_prior,alpha_prior,beta_prior,sd_epsilon,sigma_true,eps_fixed,r2_21_reeval,rmse21_cv_reeval,b21_reeval,r2_21_grid,rmse21_cv_grid,r2_mc_sd,r2_mc_lo,r2_mc_hi,hab,dis,rollouts,pairs,seed,window,bg_1,bg_2,bg_3,bg_4,bg_5,bg_6,bg_7,bg_8,bg_9,bg_10,bg_11,dev_1,dev_2,dev_3,dev_4,dev_5,dev_6,dev_7,dev_8,dev_9,dev_10
mi,24,0.01,0.1,10.0,0.1,0.5,0.1,,0.2398048181221802,374.1121105485283,55.448213802662615,0.2676861117797314,350.273597361745,0.0030363429523825,0.2341229157624588,0.2456503365517997,0.2280625687889804,1.4480793604367748,4,1180,7000000,exemplar_mean,19.05699152542373,10.04936440677966,8.032838983050848,6.90656779661017,6.10656779661017,5.630720338983051,5.263135593220339,5.021822033898305,4.6875,4.508898305084746,4.3461864406779664,10.311016949152542,8.232203389830508,6.9614406779661016,6.413135593220339,5.889830508474576,5.5411016949152545,5.296398305084746,4.911228813559322,4.759110169491525,4.620762711864407
mi,26,0.1,0.1,10.0,0.1,1.0,0.1,,0.2437260823933662,372.97182427715586,140.44098671918482,0.2795784563689656,351.7076404978829,0.0029841073365919,0.237732558373086,0.2496306617267203,0.242393481302642,1.3572382569326542,4,1180,7000001,exemplar_mean,7.722245762711864,4.02478813559322,3.11843220338983,2.6934322033898304,2.4963983050847456,2.239194915254237,2.1722457627118645,2.0610169491525423,1.973093220338983,1.9004237288135593,1.8718220338983051,4.1366525423728815,3.2165254237288137,2.793008474576271,2.5076271186440677,2.3853813559322035,2.249364406779661,2.1372881355932205,2.0447033898305085,1.9758474576271183,1.958686440677966
mi,18,0.001,0.1,1.0,0.1,1.0,0.1,,0.229544659594576,376.2641373559253,20.59591239614073,0.26783318073843,352.41040998718216,0.0032375409513643,0.2227574480283103,0.2353718194665175,0.2272512745068859,1.4427900536980558,4,1180,7000002,exemplar_mean,49.8281779661017,27.21207627118644,21.11292372881356,18.26927966101695,16.111016949152543,14.873305084745764,13.75614406779661,13.008262711864408,12.113983050847455,11.830296610169492,11.323516949152545,26.997881355932204,21.277966101694915,18.219279661016948,16.539406779661018,14.81927966101695,14.308686440677969,13.480084745762712,12.83813559322034,12.701271186440678,12.192584745762712
mi,22,0.0316227766016837,0.1,1.0,1.0,1.0,0.1,,0.2230510723913769,374.75639698483616,84.54915259392568,0.2728736055449088,352.80863160704723,0.0029414578384013,0.2174650700704765,0.2286809380983751,0.216680860123483,1.3126504544338002,4,1180,7000003,exemplar_mean,11.941525423728814,5.6463983050847455,4.323305084745763,3.7709745762711866,3.4540254237288135,3.1582627118644067,2.9497881355932205,2.8347457627118646,2.745127118644068,2.6161016949152542,2.5875,5.732627118644068,4.393855932203389,3.7315677966101695,3.4116525423728814,3.1345338983050848,2.966949152542373,2.772033898305085,2.715677966101695,2.5908898305084747,2.515042372881356
mi,8,0.01,0.03,10.0,0.1,0.5,0.1,,0.2321572444141177,375.2380722337313,53.97981286395282,0.270650359634567,354.10992679180384,0.0031090034372246,0.2258031636715164,0.2377808505443884,0.2272229292314502,1.4403789022549067,4,1180,7000004,exemplar_mean,19.14512711864407,10.217584745762712,8.018008474576272,6.8866525423728815,6.252542372881356,5.614194915254237,5.343220338983051,4.9711864406779664,4.723940677966102,4.396186440677966,4.35021186440678,10.405296610169492,8.08114406779661,7.143220338983051,6.351906779661017,5.796822033898305,5.368008474576271,5.191525423728813,4.933262711864407,4.777118644067796,4.611228813559322
mi,8,0.1,0.03,10.0,0.1,0.5,0.1,,0.2367092226143316,374.8879787527595,142.98209271352877,0.2726747500180327,354.2939386771351,0.0030456253844395,0.2306473578422052,0.2426282585990997,0.2476627570967193,1.3690231068405398,4,1180,7000005,exemplar_mean,7.478389830508474,4.131567796610169,3.130508474576271,2.6883474576271187,2.4709745762711863,2.3101694915254236,2.133050847457627,2.065042372881356,1.9684322033898305,1.9173728813559323,1.8521186440677968,4.132415254237288,3.177330508474576,2.7569915254237287,2.5345338983050847,2.354872881355932,2.2309322033898304,2.1453389830508476,2.0684322033898304,1.9877118644067795,1.967372881355932
mi,42,0.1,0.3,10.0,0.1,1.0,0.1,,0.2319697403002238,375.43205213500016,142.42684601241223,0.2773179204144941,354.37918527307846,0.0031450654644446,0.2258014229262037,0.237826151403879,0.2502917318912765,1.3497384580395724,4,1180,7000006,exemplar_mean,7.44385593220339,4.0790254237288135,3.1161016949152542,2.719915254237288,2.470550847457627,2.272881355932203,2.144703389830509,2.0684322033898304,1.982415254237288,1.9184322033898304,1.863135593220339,4.112923728813559,3.169491525423729,2.723093220338983,2.5309322033898307,2.297669491525424,2.2476694915254236,2.108050847457627,2.0375,1.998728813559322,1.921398305084746
mi,27,0.01,0.1,10.0,0.1,1.0,0.2,,0.2169312886322798,378.11313093667985,50.47107006298803,0.2592597495940675,354.56178243350547,0.0031687087600005,0.2106298407561191,0.222955956059465,0.2366309729665868,1.4259395424836605,4,1180,7000007,exemplar_mean,19.726059322033898,10.964406779661015,8.698093220338983,7.492796610169491,6.763347457627119,6.065466101694915,5.651483050847458,5.261016949152542,5.019279661016949,4.805084745762712,4.667796610169492,11.187923728813558,8.66228813559322,7.553813559322034,6.6978813559322035,6.20614406779661,5.838135593220339,5.5067796610169495,5.182415254237288,4.948093220338983,4.776483050847458
mi,30,3.1622776601683795,0.1,10.0,1.0,1.0,0.1,,0.0873744113189516,385.9440612871892,717.6877248288883,0.1309826389139025,359.1907592586216,0.0064611330396134,0.0750699174710611,0.1004531279570362,0.7033214238454414,1.1427093132643462,4,1180,7000008,exemplar_mean,1.6010593220338982,1.5569915254237288,1.4766949152542372,1.3635593220338984,1.307415254237288,1.2561440677966105,1.2271186440677966,1.1830508474576271,1.164406779661017,1.1544491525423728,1.1260593220338984,1.5533898305084746,1.4832627118644068,1.3792372881355932,1.3093220338983051,1.2699152542372882,1.222033898305085,1.196186440677966,1.178177966101695,1.15,1.1260593220338984
mi,2,0.0031622776601683,0.03,1.0,0.1,1.0,0.1,,0.2420199138421565,373.1591676614498,34.01101920247006,0.2577871564858251,359.9395100751732,0.0032529611821581,0.2354140686316722,0.2480711884166099,0.2204694848499327,1.4111520480510231,4,1180,7000009,exemplar_mean,31.03834745762712,15.644279661016949,12.222669491525425,10.558898305084746,9.417161016949152,8.503601694915254,8.115466101694915,7.746398305084746,7.189830508474576,6.970762711864407,6.843008474576271,16.08707627118644,12.186440677966102,10.793008474576272,9.815466101694916,9.034533898305083,8.396398305084746,7.991737288135593,7.570974576271187,7.437076271186441,7.252542372881356
