setting,metric,world_EIGs,V_prior,alpha_prior,beta_prior,eps_fixed,r2_21,rmse21_full,rmse21_cv,bg1,bg2,bg11,dev
0,surprisal,0.01,1.0,0.1,0.1,0.1,0.24264381897263768,316.8577221029477,578.736958660648,25.805912900502413,76.86123758580854,80.0,79.72777760559521
0,surprisal,0.0273841963426436,1.0,0.1,0.1,0.1,0.24449834153381567,316.46954282001,470.03306944784487,11.263489341706128,72.07093400231409,80.0,79.30526026166442
0,surprisal,0.0749894209332455,1.0,0.1,0.1,0.1,0.23960294488973297,317.49319536509586,419.63528674869485,5.361216314976385,61.91014074958936,80.0,78.38302944519916
0,surprisal,0.2053525026457146,1.0,0.1,0.1,0.1,0.24910878571329856,315.5024384150308,368.9528559794579,3.06732736366457,45.30271075753164,80.0,75.22261889177643
0,surprisal,0.5623413251903491,1.0,0.1,0.1,0.1,0.10001154992250536,345.408226341867,384.36269844367905,2.08233488221587,1.3264299300624791,80.0,62.655795667656676
0,surprisal,1.539926526059492,1.0,0.1,0.1,0.1,0.08131635850349804,348.97731768195297,368.9769298288169,1.566875858624584,1.1549821856730826,80.0,24.717376340001305
0,surprisal,4.216965034285822,1.0,0.1,0.1,0.1,0.24556371130420335,316.2463295254497,420.6036644393083,1.265994531336442,1.0646125091882832,1.0,1.007303211833932
0,surprisal,11.547819846894582,1.0,0.1,0.1,0.1,0.24688218995996353,315.9698672341963,423.2047617051397,1.110441215756143,1.0251116437230177,1.0,1.0028416593032594
0,surprisal,31.622776601683793,1.0,0.1,0.1,0.1,0.24733398715708405,315.8750774718412,424.3872488656208,1.0425879804964542,1.0094175702498815,1.0,1.00106537976277
0,surprisal_b,0.01,1.0,0.1,0.1,0.1,0.2368427736948123,318.0689089033706,355.9518478171236,75.7619624128638,75.30929093855761,73.2958344119317,74.43239837154862
0,surprisal_b,0.0273841963426436,1.0,0.1,0.1,0.1,0.23802284361144602,317.82289880965607,356.00863904250895,69.10440679404677,68.02143793859902,63.386103278872824,65.97650264488526
0,surprisal_b,0.0749894209332455,1.0,0.1,0.1,0.1,0.24088715618526718,317.22497980553766,356.13302126330206,54.63205005034681,52.55420382047405,44.46052702816563,48.87088120625979
0,surprisal_b,0.2053525026457146,1.0,0.1,0.1,0.1,0.24617834929580476,316.11748059709373,356.32306015986626,32.25390967895165,29.859033831452745,22.075573297737552,26.109797723122437
0,surprisal_b,0.5623413251903491,1.0,0.1,0.1,0.1,0.2492122751609574,315.4806960523845,356.7656628315725,13.83698471199681,12.559031036827148,8.977861306280674,10.758930372819535
0,surprisal_b,1.539926526059492,1.0,0.1,0.1,0.1,0.24555117218866157,316.2489576020999,358.35631653514525,5.77365038690934,5.282952997434286,3.9554251863391663,4.603418530865144
0,surprisal_b,4.216965034285822,1.0,0.1,0.1,0.1,0.23964031150887996,317.4853943136685,360.89715265887725,2.793294084298613,2.5998652559063986,2.100867515196652,2.3377596886539647
0,surprisal_b,11.547819846894582,1.0,0.1,0.1,0.1,0.23443791324531954,318.56966396633436,363.43889431622677,1.6788741478214149,1.6001925481151549,1.409606350918169,1.4973323762118627
0,surprisal_b,31.622776601683793,1.0,0.1,0.1,0.1,0.23163654691335495,319.1519912753755,365.0847852441688,1.255282837658199,1.223764180117406,1.1513960719088003,1.18396325487342
1,kl,3.162277660168379e-06,1.0,0.1,0.1,0.2,0.14067982565661138,337.51393830222855,329.4219439174686,10.063268443399568,9.911644526464384,10.706921573258391,11.151596234612608
1,kl,1e-05,1.0,0.1,0.1,0.2,0.2123623602493968,323.1301183585981,304.97061944263214,8.01584508217513,7.88009750817595,8.250239441977579,8.690889792802702
1,kl,3.1622776601683795e-05,1.0,0.1,0.1,0.2,0.3494178074017692,293.6738620235316,261.17725305529507,6.399611322421407,6.277890310900707,6.341869940209902,6.768048404946542
1,kl,0.0001,1.0,0.1,0.1,0.2,0.5729546606318558,237.93109422226868,202.96403929477418,5.127980197564865,5.018907609264372,4.870853631987381,5.274890969332342
1,kl,0.0003162277660168,1.0,0.1,0.1,0.2,0.6840956424454026,204.64070199016123,216.12427851442678,4.132777985823798,4.035360460687783,3.748030087667653,4.12501538116046
1,kl,0.001,1.0,0.1,0.1,0.2,0.4931116454137449,259.2211097243359,281.05003724366736,3.3609638678453875,3.274564833654979,2.90113697585715,3.2493785180765107
1,kl,0.0031622776601683,1.0,0.1,0.1,0.2,0.28845405868148627,307.1253621012591,334.18040405318595,2.7724131505876466,2.697070003041663,2.270142245057883,2.59299045542251
1,kl,0.01,1.0,0.1,0.1,0.2,0.16440362531041736,332.82234956524024,364.6846230594264,2.3481879035522786,2.284937340530261,1.796008117183596,2.111719659147073
1,kl,0.0316227766016837,1.0,0.1,0.1,0.2,0.12040942817537044,341.47152289926066,378.0464317517143,2.080417867405642,2.012263612918254,1.4305296159352707,1.746909992894522
0,mi,3.1622776601683795e-05,1.0,0.1,0.1,0.1,0.6484215044188202,215.88643779010908,186.3740785298526,17.70716314826507,17.17288099203705,16.247606065206725,18.268612517834917
0,mi,0.0001,1.0,0.1,0.1,0.1,0.6930303561436564,201.72602172522912,179.93575805414608,11.963539140911834,11.587952299863032,10.847420485379594,12.230076791526042
0,mi,0.0003162277660168,1.0,0.1,0.1,0.1,0.7461852535779002,183.43095787798558,172.74712610356065,8.058742436569053,7.792487148071888,7.190316907850786,8.131874384035957
0,mi,0.001,1.0,0.1,0.1,0.1,0.7863571843659524,168.29001732109052,166.67455608371552,5.411489607939541,5.221719184931829,4.732738594151842,5.365629345568933
0,mi,0.0031622776601683,1.0,0.1,0.1,0.1,0.7648053700369267,176.5744692126619,181.9875660538491,3.628944345088204,3.494545834700868,3.1101245127284014,3.522712917535563
0,mi,0.01,1.0,0.1,0.1,0.1,0.6613101701588462,211.89235439998802,225.17890158343832,2.449250984306038,2.3577059318790883,2.08059946771697,2.332238235265374
0,mi,0.0316227766016837,1.0,0.1,0.1,0.1,0.5490121719594547,244.509996227308,261.7560238630293,1.7046342670669925,1.6491982951927806,1.4818249212206769,1.615952539876396
0,mi,0.1,1.0,0.1,0.1,0.1,0.4852972872320673,261.21158669654415,281.1429257780843,1.2897990172249767,1.2631578234622325,1.184964184318199,1.2432730450248557
0,mi,0.3162277660168379,1.0,0.1,0.1,0.1,0.4584596741177347,267.93509932057754,289.27453667084546,1.1032994259776197,1.0931249695122074,1.06369261214225,1.0849485410782753
1,surprisal,0.01,1.0,0.1,0.1,0.2,0.047396476172070615,355.361439532562,393.41870943201894,44.46761473853708,8.039354874433872,80.0,70.10958735607679
1,surprisal,0.0273841963426436,1.0,0.1,0.1,0.2,0.06696425026502806,351.69269750002974,398.1571272088387,22.468410362991147,3.5328055741235813,80.0,69.53643258697133
1,surprisal,0.0749894209332455,1.0,0.1,0.1,0.2,0.09033778410721693,347.2596207953781,396.72939401475844,9.657567548208416,2.7170328201626655,80.0,68.49243965347085
1,surprisal,0.2053525026457146,1.0,0.1,0.1,0.2,0.1183558809865941,341.8699009076164,380.58858707894177,4.607981713476822,2.1118409977106145,80.0,61.91058979688228
1,surprisal,0.5623413251903491,1.0,0.1,0.1,0.2,0.06517680253382425,352.02941103403515,374.22045665410195,2.6028917512576184,1.651885600840687,80.0,35.85050838417561
1,surprisal,1.539926526059492,1.0,0.1,0.1,0.2,0.22706289655794307,320.1004511927137,391.1875903695841,1.729578402302982,1.3295779190633918,1.0,1.0456641425439983
1,surprisal,4.216965034285822,1.0,0.1,0.1,0.2,0.22573502739495144,320.3752918740433,391.36005693473396,1.3164533131543217,1.144523830093814,1.0,1.0200890660083193
1,surprisal,11.547819846894582,1.0,0.1,0.1,0.2,0.22612878806056916,320.2938163872263,391.24903127476676,1.127128044729261,1.0575909315498873,1.0,1.0080333905614787
1,surprisal,31.622776601683793,1.0,0.1,0.1,0.2,0.2264718781728224,320.2228085618191,391.13700355455074,1.0484215275671864,1.0218182123198485,1.0,1.0030507534628958
0,kl,3.162277660168379e-06,1.0,0.1,0.1,0.1,0.05647086049531007,353.66482468557484,361.47394779673414,6.383515438737165,6.325383696419669,7.296406217568021,7.372122507372204
0,kl,1e-05,1.0,0.1,0.1,0.1,0.06665031298719742,351.7518593072543,357.29606727098496,5.204997222532565,5.1542844930918035,5.835994541296641,5.926479657963279
0,kl,3.1622776601683795e-05,1.0,0.1,0.1,0.1,0.08217718456947265,348.81377978748094,351.1234136880815,4.27422452028388,4.229752712919992,4.687359015035161,4.787042195742702
0,kl,0.0001,1.0,0.1,0.1,0.1,0.10745315515026324,343.9772484772067,341.4942880029358,3.5418381398002365,3.502776094307655,3.78828662327303,3.892747257381619
0,kl,0.0003162277660168,1.0,0.1,0.1,0.1,0.15211590881374445,335.2605491053016,325.4387163652824,2.969043917050242,2.9347468050782095,3.089899705569618,3.1957513508075315
0,kl,0.001,1.0,0.1,0.1,0.1,0.2369713194922626,318.0421200962966,296.9156028377251,2.5249638356722324,2.496616557194778,2.5545032658145237,2.6588872603593043
0,kl,0.0031622776601683,1.0,0.1,0.1,0.1,0.49140209209102853,259.6578718689033,217.0592405028385,2.223731149733175,2.2042560960694897,2.166827785195359,2.272647057323601
0,kl,0.01,1.0,0.1,0.1,0.1,0.3126548654912491,301.8572700480482,325.80125854014267,2.067006024372623,2.049295290912551,1.8782030440708692,2.0191806002682546
0,kl,0.0316227766016837,1.0,0.1,0.1,0.1,0.13530268838093396,338.56827671544187,371.91623594052356,1.9799368930327887,1.9461214256716772,1.58319622075467,1.802265917243553
1,mi,3.1622776601683795e-05,1.0,0.1,0.1,0.2,0.7659569130780528,176.14167319456547,170.10246341261902,27.831612285509912,26.89232694698817,24.598406324636784,27.89465283424093
1,mi,0.0001,1.0,0.1,0.1,0.2,0.7812239994068922,170.29976475331364,171.80105200354845,18.713675907596617,18.031404351803022,16.10440173482175,18.365758108957884
1,mi,0.0003162277660168,1.0,0.1,0.1,0.2,0.6871619473293695,203.64511443581264,216.16150073295964,12.514231439067933,12.011982885752204,10.3994909478183,11.939871286141186
1,mi,0.001,1.0,0.1,0.1,0.2,0.4887210415869167,260.34135958013877,281.3370784869867,8.308908541607174,7.936370360563042,6.619262783385295,7.650792313569544
1,mi,0.0031622776601683,1.0,0.1,0.1,0.2,0.30823415090930995,302.8264236988127,333.8665077282085,5.4716615100189525,5.197103657349056,4.174955795394283,4.843263461200226
1,mi,0.01,1.0,0.1,0.1,0.2,0.2043395589306822,324.7716350353222,363.92056839487395,3.581356123748267,3.3859795471542156,2.659274007025579,3.0670997681019
1,mi,0.0316227766016837,1.0,0.1,0.1,0.2,0.15720510828361056,334.2528784790062,378.63530813683747,2.3591092063157624,2.231908186977968,1.7813708804914572,2.0059817039453502
1,mi,0.1,1.0,0.1,0.1,0.2,0.1390132462392977,337.8410697581064,385.58573050668605,1.6237344144991073,1.5543360709300234,1.3243177843809784,1.430204001386065
1,mi,0.3162277660168379,1.0,0.1,0.1,0.2,0.13199583134552514,339.21505131373084,388.71588403589675,1.243727127343546,1.2139926816822595,1.1190853227512434,1.160984601843072
1,surprisal_b,0.01,1.0,0.1,0.1,0.2,0.21379673210648786,322.83575713683945,365.2112718905251,74.45920220894406,73.80495408524659,71.44425638882674,72.62395984292918
1,surprisal_b,0.0273841963426436,1.0,0.1,0.1,0.2,0.21533830503135362,322.51909662414903,365.3465147560183,66.02998573625935,64.5320439221817,59.38076097392634,61.91996538031263
1,surprisal_b,0.0749894209332455,1.0,0.1,0.1,0.2,0.21895948859313683,321.7740293988975,365.65379411661763,48.93018089334472,46.35329215784322,38.44276014265334,42.214879170621664
1,surprisal_b,0.2053525026457146,1.0,0.1,0.1,0.2,0.22454502287190337,320.6213973307059,366.2404326266761,26.118502863987935,23.72218304223272,17.635343354552333,20.377575531786736
1,surprisal_b,0.5623413251903491,1.0,0.1,0.1,0.2,0.22425264585956134,320.68183507018716,367.6951429016104,10.792884703258936,9.714514370016904,7.240693673595786,8.31683160057221
1,surprisal_b,1.539926526059492,1.0,0.1,0.1,0.2,0.21743666244402207,322.0875645391486,370.5991443158878,4.662974811648093,4.252877212958724,3.338324858078072,3.7264934553352527
1,surprisal_b,4.216965034285822,1.0,0.1,0.1,0.2,0.20962786169890316,323.6905494569947,374.11663844201775,2.3873275757407044,2.2254055134651884,1.878845344735463,2.0215444692790383
1,surprisal_b,11.547819846894582,1.0,0.1,0.1,0.2,0.20415712030961783,324.8088666797199,376.95412015614403,1.5268050324877525,1.46151766928975,1.3283482701374605,1.3817149709249996
1,surprisal_b,31.622776601683793,1.0,0.1,0.1,0.2,0.2015144415775547,325.34770048322804,378.57379345266844,1.1977419297085543,1.1720528014469025,1.1214912192684516,1.1414123377612901
1,eig_code,3.162277660168379e-06,1.0,0.1,0.1,0.2,0.0066361288496595335,362.8844753364574,394.2958238383925,8.67407529796105,8.907565823583806,10.804708310496064,10.747209551409046
1,eig_code,1e-05,1.0,0.1,0.1,0.2,0.011024222276992334,362.0820838562087,392.78075903110033,6.704161464782094,6.871812749733546,8.090770063764975,8.146378488974541
1,eig_code,3.1622776601683795e-05,1.0,0.1,0.1,0.2,0.020355986679967523,360.3697703868332,389.2468234306401,5.149832751954465,5.266619910638778,5.984400811148527,6.1147314156847505
1,eig_code,0.0001,1.0,0.1,0.1,0.2,0.0422474748759413,356.3205429697592,380.4593948190901,3.9280716916426384,4.006048158376345,4.36731422400685,4.539889327440674
1,eig_code,0.0003162277660168,1.0,0.1,0.1,0.2,0.09662876255752306,346.05676060128036,357.70434214128994,2.9740153273701577,3.023006598065007,3.147601234922983,3.333704108512123
1,eig_code,0.001,1.0,0.1,0.1,0.2,0.21480350998121844,322.62898617168673,306.65252054966925,2.238342111139827,2.2666370336883395,2.255890282439391,2.4287602787442637
