setting,metric,world_EIGs,V_prior,alpha_prior,beta_prior,sd_epsilon,sigma_true,r2_21,rmse21_cv,b21,bg1,bg11,dev
0,eig_code,3.162277660168379e-06,1.0,1.0,0.1,0.5,0.1,0.26365878280492155,330.71336201571296,88.8314908210012,80.0,75.20833333333333,77.18229166666666
0,eig_code,1e-05,1.0,1.0,0.1,0.5,0.1,0.08016668430028456,385.685469297734,22.092786304304315,79.55208333333333,60.90625,71.19895833333335
0,eig_code,3.1622776601683795e-05,1.0,1.0,0.1,0.5,0.1,0.046497049371642625,385.0939296007124,10.260284330796322,78.86458333333333,52.59375,60.567708333333336
0,eig_code,0.0001,1.0,1.0,0.1,0.5,0.1,0.07442650032264608,392.97308143736643,10.505881554232927,77.64583333333333,41.427083333333336,51.952083333333334
0,eig_code,0.0003162277660168,1.0,1.0,0.1,0.5,0.1,0.10554144813839829,390.2317945623463,11.351806579251795,69.45833333333333,28.760416666666668,38.21666666666666
0,eig_code,0.001,1.0,1.0,0.1,0.5,0.1,0.1385933328883869,385.11358015168963,17.731604349771963,52.864583333333336,24.291666666666668,26.407291666666662
0,eig_code,0.0031622776601683,1.0,1.0,0.1,0.5,0.1,0.1961553819695319,380.4294986677393,30.06033630400123,36.333333333333336,13.40625,16.489583333333332
0,eig_code,0.01,1.0,1.0,0.1,0.5,0.1,0.18439907711231437,378.6959826844686,48.679234438289086,22.80208333333333,8.427083333333334,9.446874999999999
0,eig_code,0.0316227766016837,1.0,1.0,0.1,0.5,0.1,0.2150518250984098,374.57316232684997,92.65845688037335,12.770833333333334,4.635416666666667,5.386458333333333
0,eig_code,0.0999999999999999,1.0,1.0,0.1,0.5,0.1,0.22676991501465646,376.4333281390751,128.4086991988417,8.614583333333334,2.489583333333333,3.209375
0,eig_code,0.3162277660168379,1.0,1.0,0.1,0.5,0.1,0.2133734485840275,376.67874186638636,223.24077953429187,5.21875,1.7291666666666667,2.1604166666666664
0,kl,3.162277660168379e-06,1.0,1.0,0.1,0.5,0.1,0.18245992060764601,365.1126703967383,21.971536267304725,79.41666666666667,52.71875,65.12916666666666
0,kl,1e-05,1.0,1.0,0.1,0.5,0.1,0.11123942549182625,386.84142462980265,11.723528714867943,76.71875,43.03125,51.753125
0,kl,3.1622776601683795e-05,1.0,1.0,0.1,0.5,0.1,0.1828372867303297,383.9651551049372,14.156503715440518,71.80208333333333,28.229166666666668,39.452083333333334
0,kl,0.0001,1.0,1.0,0.1,0.5,0.1,0.22834728336810023,376.9242139525109,18.266702942873028,64.80208333333333,21.65625,28.682291666666668
0,kl,0.0003162277660168,1.0,1.0,0.1,0.5,0.1,0.21070189000092707,375.9964200955269,27.06080225934377,42.270833333333336,15.135416666666666,19.398958333333333
0,kl,0.001,1.0,1.0,0.1,0.5,0.1,0.23848983372774746,368.5777539734327,42.41426137810585,28.65625,8.208333333333334,12.186458333333333
0,kl,0.0031622776601683,1.0,1.0,0.1,0.5,0.1,0.2547480948015772,359.58559475309494,63.16216225853372,19.447916666666668,5.71875,7.571875
0,kl,0.01,1.0,1.0,0.1,0.5,0.1,0.24172498043980126,373.08554643683976,100.26325500981885,11.697916666666666,3.53125,4.638541666666667
0,kl,0.0316227766016837,1.0,1.0,0.1,0.5,0.1,0.1740148131001058,387.4605315620524,125.55336506422505,7.239583333333333,2.145833333333333,3.091666666666667
0,kl,0.0999999999999999,1.0,1.0,0.1,0.5,0.1,0.1402482862841762,392.83025493598194,207.31854576158008,4.1875,1.7083333333333333,2.1374999999999997
0,kl,0.3162277660168379,1.0,1.0,0.1,0.5,0.1,0.17912821783892005,369.65753806717476,431.96886238886,2.364583333333333,1.3541666666666667,1.6270833333333332
0,mi,3.1622776601683795e-05,1.0,1.0,0.1,0.5,0.1,0.11755236411203705,383.21804868119114,10.365329386928009,78.40625,39.302083333333336,52.37083333333332
0,mi,0.0001,1.0,1.0,0.1,0.5,0.1,0.19790718339843447,372.4818744465077,13.462697007874256,75.17708333333333,24.64583333333333,40.93020833333333
0,mi,0.0003162277660168,1.0,1.0,0.1,0.5,0.1,0.22612594225075436,374.4599612187805,17.055815045156123,64.21875,24.59375,30.98645833333333
0,mi,0.001,1.0,1.0,0.1,0.5,0.1,0.16787885749490536,385.91340996504294,17.743658941243993,48.5625,15.947916666666666,18.661458333333336
0,mi,0.0031622776601683,1.0,1.0,0.1,0.5,0.1,0.188021246588929,381.55156240846605,28.943715618308783,32.864583333333336,8.385416666666666,11.13125
0,mi,0.01,1.0,1.0,0.1,0.5,0.1,0.1995943036908634,376.8445041058812,57.79369009157027,18.229166666666668,4.71875,6.515625
0,mi,0.0316227766016837,1.0,1.0,0.1,0.5,0.1,0.22609444669627912,372.56521210636,102.64673662406621,10.8125,3.1875,3.775
0,mi,0.0999999999999999,1.0,1.0,0.1,0.5,0.1,0.26687170392806253,367.19699298147617,161.7373328757587,7.239583333333333,1.9583333333333333,2.527083333333333
