metric,rule,setting,world_EIGs,V_prior,alpha_prior,beta_prior,sd_epsilon,sigma_true,eps_fixed,grid_r2,grid_rmse,r2,r,rmse,hab,dis,r2_group_sd,rollouts,seed,window,bg_1,bg_2,bg_3,bg_4,bg_5,bg_6,bg_7,bg_8,bg_9,bg_10,dev_1,dev_2,dev_3,dev_4,dev_5,dev_6,dev_7,dev_8,dev_9,dev_10,bg_se_stim_1,bg_se_stim_2,bg_se_stim_3,bg_se_stim_4,bg_se_stim_5,bg_se_stim_6,bg_se_stim_7,bg_se_stim_8,bg_se_stim_9,bg_se_stim_10,dev_se_stim_1,dev_se_stim_2,dev_se_stim_3,dev_se_stim_4,dev_se_stim_5,dev_se_stim_6,dev_se_stim_7,dev_se_stim_8,dev_se_stim_9,dev_se_stim_10
eig_code,r2,64,0.001,3.0,1.0,1.0,0.5,0.1,,0.4592090277029514,4.417955364857427,0.0763064971948504,0.2762363068006275,4.786697473956895,0.8922961437998752,0.9838945982999471,0.055753053670066874,32,777,exemplar_mean,43.75712256332551,42.50359605034816,40.619592005557415,39.44684531328838,39.629305482755974,39.413001279778264,38.59459692543758,37.71541512261779,38.5919954865839,39.044311727033865,43.87517690776147,42.08780817905676,40.5686910110272,39.44643934783738,39.490054839818704,38.69025933151615,38.45700863018004,37.92368837226851,37.09305259903028,38.4154874025679,0.400053174064769,0.3325471834121006,0.3386924332713073,0.48138027388894583,0.455279152810548,0.6379289963870101,0.6179087539943128,0.7055585410142401,0.747110931026599,0.6362066802843515,0.35283024800979657,0.37667693231678995,0.28365442982655753,0.3738349369968436,0.580769536583397,0.5111963080935414,0.5898099369821218,0.5073836459788154,0.5336425993112844,0.5801207333161736
kl,r2,52,4.641588833612773e-05,3.0,1.0,0.1,0.5,0.1,,0.3733568334655857,4.491790914653061,0.23107754355983995,0.4807052564304243,4.630332963749724,0.7329624211549913,1.0305755277959268,0.10644813090050852,32,778,exemplar_mean,264.2080830100405,254.07638850521917,247.05476716119983,232.20575793187558,219.8525489531551,219.44400493686692,212.35788426054674,202.99743573370964,201.2539058981521,193.65459621175822,273.2838357313573,262.20981215669065,252.06836738529273,242.24487544929775,226.12268337822601,221.08572418473764,204.335676571873,200.61367015230857,202.55752421973435,199.5756877010398,3.9849012694159183,4.072749783621887,4.181445736036356,3.072302248732466,4.568759578101493,4.726354221404115,3.994260777005775,4.295763488331402,5.567998037649625,4.855104959050384,3.7817591179637127,4.268590088860371,4.599014325711225,3.167321603677279,4.176440997820609,5.38732006896785,5.197124955424873,4.296072417686365,5.870494604663684,4.460832742231414
mi,r2,52,0.0004641588833612,3.0,1.0,0.1,0.5,0.1,,0.2891155404085334,4.570761486421422,0.2288375747573244,0.47836970509985727,4.63183469056437,0.6389206882810533,1.0310646888029207,0.06147003084557273,32,778,exemplar_mean,123.26130746878549,116.70843996072354,109.65320269776474,103.93635340764138,97.19031527598916,92.031908740903,89.81160705006995,84.28815871055222,83.03859241103228,78.75419940637896,125.60018783565863,117.00517591615433,109.18679411350513,105.44380112077282,95.84322005804881,95.0118528481183,86.91408159221317,86.2580422845133,84.32625974891694,81.20067410286129,1.5128447875960507,1.2641877261088177,1.4388426614911027,1.5841061514376014,1.3111490957095078,1.433834934690258,1.557365135255331,1.6411333651389668,1.7255629347968118,1.3247003139818019,1.4186437403149068,1.7957713726029902,1.9184738491966051,1.813574824156706,1.3761094641499378,1.7151504090349219,1.750025213428175,1.3567230525665284,1.6136276603674653,1.2650965488277242
surprisal_b,r2,37,0.0562341325190349,1.0,10.0,0.1,1.0,0.2,,0.719448899426346,4.110222169108809,0.5794545544157547,0.7612191237848368,4.260322281784655,0.9574430375371585,1.0574928135161334,0.08868639778859151,32,779,exemplar_mean,79.87124823327893,79.31581752380289,78.54609994323546,76.7223379419327,76.68651691125257,77.57513616272102,77.10266455455144,76.61117872387439,76.14311023099863,76.472170520355,80.16483177243839,78.8179011527349,79.79606406176525,79.72819559934483,79.55840406767173,79.50489991270474,80.00459782090559,81.18440656461878,79.66468381741477,80.86877075925572,0.38810901019654426,0.4460412541325294,0.4105530107725303,0.3140280888567077,0.36223491688287296,0.40840479779487643,0.3472387084440295,0.40288303794784985,0.30482792777110357,0.45175590451760983,0.40444829605577715,0.40747791335978883,0.6569224132418054,0.5773053334272054,0.4923715277084395,0.6613853399561003,0.6133047766095562,0.7524439753809533,0.6467491701902677,0.7510700943200367
mi_concept,r2,57,1e-05,3.0,1.0,0.1,1.0,0.2,,0.754902091896487,4.076386521580853,0.7473754425198478,0.864508786837848,4.080889052644567,0.8729929330026176,1.1178357257532687,0.024503532447171083,32,780,exemplar_mean,47.78643325646951,46.27549648641362,45.496489451220505,44.70826906765546,44.0368223437628,43.51002436152905,42.89437681146082,42.365949021615926,41.90109165731359,41.71721852629914,47.41671860134209,46.91752821230289,46.71484704431915,46.74928951695554,46.60066445199513,46.85274599589865,46.79831649459313,46.67659183472912,46.67584979586934,46.63299724775331,0.5875811407265076,0.3662897145577223,0.23666922893288111,0.13429686605045918,0.1616981882603407,0.1231652071108996,0.11401224166685958,0.12030517205664522,0.13079770653864137,0.1780557956884292,0.5275144984739838,0.6411515724280401,0.7235101517595046,0.827629339276908,0.8763210033210779,1.0105187518179086,1.0690000024655655,1.0936953228311876,1.0931516376621715,1.1577083004568127
