metric,rule,setting,world_EIGs,V_prior,alpha_prior,beta_prior,sd_epsilon,sigma_true,eps_fixed,bg_1,bg_2,bg_3,bg_4,bg_5,bg_6,bg_7,bg_8,bg_9,bg_10,bg_11,dev_1,dev_2,dev_3,dev_4,dev_5,dev_6,dev_7,dev_8,dev_9,dev_10,r2_21_reeval,rmse21_cv_reeval,b21_reeval,r2_21_grid,rmse21_cv_grid,hab,dis,r2_mc_sd,r2_mc_lo,r2_mc_hi,rollouts,pairs,seed,window,selected_from,bg_se_1,bg_se_2,bg_se_3,bg_se_4,bg_se_5,bg_se_6,bg_se_7,bg_se_8,bg_se_9,bg_se_10,bg_se_11,dev_se_1,dev_se_2,dev_se_3,dev_se_4,dev_se_5,dev_se_6,dev_se_7,dev_se_8,dev_se_9,dev_se_10
eig_code,r2,22,0.01,3.0,1.0,1.0,1.0,0.1,,14.703125,7.5224609375,6.401692708333333,5.812825520833333,5.5654296875,5.38671875,5.239908854166667,5.268880208333333,5.026041666666667,4.926432291666667,4.843424479166667,7.395182291666667,6.349609375,5.83203125,5.544921875,5.505859375,5.3798828125,5.2265625,5.0947265625,5.019856770833333,4.952473958333333,0.24422243867687812,368.77721427795666,87.04298982486644,0.2784919591185078,347.0115377607619,0.32941462982642583,1.1624235499697562,0.007843450369145325,0.22838866439343064,0.2586842963378171,512,6,5000000,exemplar_mean,shortlist of 12,0.1158482484077759,0.10390969248356656,0.09319235845332789,0.08914789942764446,0.08634740607902519,0.08687404106655293,0.08397056296919263,0.0875693726176341,0.08524778542601774,0.0858879303062553,0.08281513425534817,0.10201283527073847,0.09317885313013141,0.08830628142725239,0.0882210738405378,0.09113410217989454,0.08987470395255133,0.08660072814280641,0.08857365393391749,0.08901134437490459,0.08867724027068384
mi,r2,8,0.01,1.0,10.0,0.1,0.5,0.1,,18.852864583333332,10.1650390625,8.023111979166666,7.00390625,6.580403645833333,6.177083333333333,5.8876953125,5.596028645833333,5.3828125,5.194010416666667,5.053059895833333,10.1474609375,8.300455729166666,7.374348958333333,6.674479166666667,6.4521484375,6.095703125,6.0927734375,5.667317708333333,5.5673828125,5.370768229166667,0.2562998906073904,370.4068218902119,62.18405031909037,0.2693199776516936,348.4476688150844,0.2680261067753298,1.340630032854474,0.006038534872813901,0.24435114682049835,0.2678441690546709,512,6,5000001,exemplar_mean,shortlist of 13,0.16206769937413293,0.13847167931837742,0.11656590821721123,0.10366509625028486,0.09985946161803473,0.09412529827314219,0.08935693453842854,0.08786764065324276,0.08688646434832403,0.08277670085611184,0.08052038462974534,0.1376593466458336,0.12114105286435561,0.10729052271765914,0.10066413052698638,0.0947089036019359,0.09049630172903118,0.09500216286214784,0.08691726547035618,0.08796249355879034,0.08305097672380835
kl,r2,8,0.0316227766016837,1.0,10.0,0.1,0.5,0.1,,7.515625,4.733723958333333,3.6220703125,3.2392578125,3.0022786458333335,2.8264973958333335,2.7018229166666665,2.6100260416666665,2.4469401041666665,2.3795572916666665,2.2766927083333335,4.71484375,3.7509765625,3.4986979166666665,3.2021484375,3.0185546875,2.9602864583333335,2.8421223958333335,2.7268880208333335,2.70703125,2.6223958333333335,0.28119586932039875,350.8821218661616,168.71660291481513,0.3268963300453196,315.11832146772485,0.30292792792792794,1.407477838146983,0.006348272253236465,0.2676711067138722,0.2931107979701098,512,6,5000002,exemplar_mean,shortlist of 12,0.06547145015358503,0.05599808996143323,0.043624899469011484,0.0393887789408991,0.03602661150695812,0.0352309417088068,0.03335410688235857,0.031867996648103546,0.02928100518863469,0.028096494223470856,0.02700636481063931,0.05504261955205949,0.044974309117358696,0.040231399623093765,0.03612781924010449,0.03473658985044557,0.0333129492018494,0.032667661006711306,0.031078210664703176,0.03116903913727992,0.029723416379649006
kl,rmse,10,0.01,1.0,10.0,0.1,1.0,0.1,,12.102864583333334,6.939127604166667,5.799479166666667,5.20703125,4.748046875,4.509114583333333,4.2431640625,3.9817708333333335,3.8538411458333335,3.724609375,3.6803385416666665,7.19921875,5.952799479166667,5.498697916666667,5.080403645833333,4.876627604166667,4.637369791666667,4.464192708333333,4.361002604166667,4.2548828125,4.163411458333333,0.2978191239951508,337.3915903501314,109.8442590289979,0.2958908306276765,339.21024720197425,0.3040882194728348,1.3718468070051302,0.006055621153844079,0.28531415397951326,0.30936965283306356,512,6,5000003,exemplar_mean,shortlist of 12,0.09745396276145528,0.0785208398389023,0.06873613928255169,0.06379057355608674,0.05772698444976343,0.05675309871020249,0.053560314558724405,0.049274067297817185,0.04760399391980541,0.046575289426486276,0.046768943303925815,0.0805867888596934,0.06814754318339206,0.06340652438633723,0.05944295543982354,0.05634858048368982,0.057141747435900885,0.05329558630523682,0.051414026308666975,0.05095818433245752,0.04909340986664459
surprisal_b,r2,10,1.0,1.0,10.0,0.1,1.0,0.1,,6.572265625,6.0087890625,5.702799479166667,5.7626953125,5.760091145833333,5.702473958333333,5.572591145833333,5.5244140625,5.553385416666667,5.46484375,5.4560546875,6.037434895833333,6.114583333333333,5.834309895833333,5.8671875,6.042317708333333,6.030924479166667,5.8125,5.944010416666667,5.9931640625,6.176432291666667,0.7718146471498036,182.20132055326403,1199.6928666874471,0.5557649676660723,259.6473294957328,0.8301634472511145,1.0969989857407076,0.06285455736730892,0.561276914119647,0.8089458988737853,512,6,5000004,exemplar_mean,shortlist of 11,0.10188504833617985,0.09579804587991046,0.09147028640331538,0.09658845306163932,0.09319868541006525,0.09114866578469237,0.0903450133305771,0.08832152145509357,0.09051688785060553,0.09059320924436587,0.09075347312629191,0.09853846424217061,0.10027712896132758,0.09260441771697532,0.09008144366021731,0.09775002844314597,0.09865915625340356,0.09479354815295062,0.09703156014586199,0.09684096748655678,0.10160346360513393
mi_concept,r2,16,0.0001,3.0,1.0,0.1,0.5,0.1,,13.535807291666666,12.228515625,11.807291666666666,11.692057291666666,11.57421875,11.281575520833334,11.2373046875,11.306315104166666,11.2275390625,11.196940104166666,11.11328125,12.373046875,12.037760416666666,11.903645833333334,12.173502604166666,12.310872395833334,12.319010416666666,12.248046875,12.768229166666666,12.594075520833334,12.678059895833334,0.8512698052774885,130.93772396272175,538.690194141831,0.6368042597985369,221.31231452854385,0.8210283295656775,1.110439367311072,0.020837827654527064,0.7944756886170975,0.8775737481683307,512,6,5000005,exemplar_mean,shortlist of 11,0.0872832111557069,0.08854704376131613,0.08637194739299921,0.08554491124697809,0.08447469649173694,0.0843293118552721,0.08344220504193972,0.08562630502176971,0.08605299574998108,0.0815022845493853,0.08371361933011122,0.08752902892580362,0.08846151955423387,0.08905177448189507,0.0891916307281103,0.09051826811029177,0.09223317980918068,0.09150456309257819,0.09524414275963612,0.09453608377997631,0.094404847277547
