metric,rule,setting,world_EIGs,V_prior,alpha_prior,beta_prior,sd_epsilon,sigma_true,eps_fixed,bg_1,bg_2,bg_3,bg_4,bg_5,bg_6,bg_7,bg_8,bg_9,bg_10,bg_11,dev_1,dev_2,dev_3,dev_4,dev_5,dev_6,dev_7,dev_8,dev_9,dev_10,r2_21_reeval,rmse21_cv_reeval,b21_reeval,r2_21_grid,rmse21_cv_grid,hab,dis,r2_mc_sd,r2_mc_lo,r2_mc_hi,rollouts,pairs,seed,window,selected_from,bg_se_1,bg_se_2,bg_se_3,bg_se_4,bg_se_5,bg_se_6,bg_se_7,bg_se_8,bg_se_9,bg_se_10,bg_se_11,dev_se_1,dev_se_2,dev_se_3,dev_se_4,dev_se_5,dev_se_6,dev_se_7,dev_se_8,dev_se_9,dev_se_10,bg_se_stim_1,bg_se_stim_2,bg_se_stim_3,bg_se_stim_4,bg_se_stim_5,bg_se_stim_6,bg_se_stim_7,bg_se_stim_8,bg_se_stim_9,bg_se_stim_10,bg_se_stim_11,dev_se_stim_1,dev_se_stim_2,dev_se_stim_3,dev_se_stim_4,dev_se_stim_5,dev_se_stim_6,dev_se_stim_7,dev_se_stim_8,dev_se_stim_9,dev_se_stim_10
mi,r2,26,0.1,0.1,10.0,0.1,1.0,0.1,,7.539194915254237,4.115677966101695,3.1489406779661016,2.658050847457627,2.454237288135593,2.2980932203389832,2.176694915254237,2.03771186440678,1.9614406779661016,1.8993644067796611,1.8777542372881355,4.16207627118644,3.190677966101695,2.8139830508474577,2.5252118644067796,2.379449152542373,2.227966101694915,2.155720338983051,2.0415254237288134,1.9995762711864409,1.91271186440678,0.2375956369902297,374.6447195789891,141.6317766053325,0.2795784563689656,351.7076404978829,0.2490656175354784,1.3531535597427509,0.0031675608235103,0.2313018089186229,0.2434545857413806,4,1180,5000000,exemplar_mean,shortlist of 12,0.0530114212894742,0.0407128940206717,0.0321152246141251,0.0269542821042879,0.0247986963837734,0.0226252273908611,0.0210653318164923,0.0196009883825075,0.0180901272842772,0.0172904375613768,0.0173681439041561,0.0404960400389182,0.032094019599207,0.0285888755536117,0.0244061298367667,0.0233784797030125,0.0216696312764915,0.0205581267322453,0.0195275704544152,0.0185982680909785,0.0179431350379988,0.0540603796135359,0.0422110251668907,0.0318892026553016,0.0279991276399031,0.0237714600227016,0.0225761922525688,0.0208368864899374,0.0193043064009499,0.0182673676274186,0.0181239989257431,0.0173761846434644,0.0418871375300499,0.0333729059277848,0.0291054987633975,0.0245510346161719,0.0236066273627304,0.0219726465999339,0.0202182370066001,0.0193998276191457,0.0188365157895784,0.0174397887839053
kl,r2,10,0.1,0.03,10.0,0.1,1.0,0.1,,5.525,3.3758474576271187,2.6461864406779663,2.3317796610169492,2.1453389830508476,1.984957627118644,1.9042372881355931,1.821186440677966,1.75635593220339,1.7125,1.6597457627118644,3.4877118644067795,2.8417372881355933,2.5658898305084747,2.3828389830508474,2.226483050847458,2.114194915254237,2.0915254237288137,2.0042372881355934,1.9707627118644069,1.9269067796610169,0.3125408714525625,329.652353920821,239.14635765019287,0.375574179063245,298.33930488411244,0.3004064728890252,1.4226448812866992,0.0042870854594763,0.3044869973521636,0.3206594070645279,4,1180,5000000,exemplar_mean,shortlist of 12,0.0400018103822815,0.0308576223396889,0.025590905159623,0.0226790597052487,0.020731701735773,0.0186581065532196,0.0178167763064649,0.0172267173671516,0.0158459847045043,0.0160556321506672,0.0149130070212604,0.0309336544818675,0.0254880894389162,0.0232533452374568,0.0210216045281434,0.0201419808344954,0.0187947334169269,0.0189331403497872,0.0176268130677555,0.0170398350955152,0.0168903464306437,0.0403950523404831,0.0303183377160085,0.0262023151562808,0.0217330439317485,0.0200307293362788,0.0187345581076006,0.0179083909192792,0.0168957248658097,0.0163867319997069,0.0152348512364976,0.0150087050288141,0.0306353796941585,0.0261315687514056,0.02346768285253,0.0219184046267992,0.0203746995041187,0.0196613070592257,0.0190285380192984,0.0182153192736442,0.0178165925368263,0.0180797477911025
surprisal_b,r2,26,1.0,0.1,10.0,0.1,1.0,0.1,,6.810593220338983,6.075211864406779,5.817796610169491,5.685169491525424,5.6875,5.53135593220339,5.509745762711864,5.496610169491525,5.561864406779661,5.484957627118644,5.497245762711865,6.123093220338983,6.158050847457627,6.051059322033899,6.053813559322034,6.020550847457627,5.941949152542373,6.2286016949152545,6.072457627118644,6.089194915254238,6.118008474576271,0.8482006789914683,142.9203482056746,1022.7898978675096,0.5616428320755354,233.33982977880623,0.8071610775835252,1.1070412764481443,0.0330295698336886,0.7469074213595149,0.877618611740036,4,1180,5000000,exemplar_mean,shortlist of 12,0.0816403118854492,0.0811816746946861,0.0742142600302761,0.075702920705808,0.0746034514862857,0.0735890616546516,0.072699237047701,0.0731504115893735,0.0738083213096693,0.0728305277035984,0.0720979484270174,0.0761198868130937,0.0811721824404455,0.0778661504678473,0.0782147992480419,0.0774594544469147,0.0783401888932172,0.0860845000680599,0.0827299085393258,0.0818419342247258,0.0825079721874227,0.0826699457991372,0.0797348624190378,0.0746648384915918,0.0736590978991189,0.0754417901254364,0.0706839375244213,0.0721448780492278,0.0717313336304706,0.0674506662008928,0.071030519277044,0.069799222812624,0.0781266110099512,0.0834971586594247,0.0813406739577164,0.0826103229701812,0.0790526869324768,0.0805482925143045,0.08308074970917,0.0860233649426393,0.0813641480764499,0.082627383813965
surprisal_b,rmse,40,1.0,0.3,10.0,0.1,0.5,0.1,,6.555296610169491,6.078601694915254,5.686652542372881,5.7004237288135595,5.52542372881356,5.509110169491525,5.597669491525424,5.654661016949152,5.5129237288135595,5.467372881355932,5.546822033898305,6.151694915254238,6.004237288135593,5.943220338983051,5.992372881355932,6.080720338983051,6.073940677966101,5.990254237288136,5.939618644067797,6.052542372881356,6.05021186440678,0.8277920902495569,145.8399440268448,1190.2186148192943,0.4428004785505979,273.38836459378,0.8461588183963027,1.0867270157747986,0.039438837991251,0.7103564637503375,0.8653816945923388,4,1180,5000001,exemplar_mean,shortlist of 12,0.0800470908097435,0.0785142736470989,0.0733878039868431,0.0763972200993991,0.0746528721902062,0.0709260733164416,0.0746487633993145,0.0735290576003548,0.07305247369957,0.0692331043138408,0.0711962135139942,0.077362329959196,0.0783617677666545,0.0797876967862854,0.0781279026081495,0.0811623203793092,0.0791153061193443,0.0782603144448488,0.0795562366854846,0.0777329709675867,0.0811066279368038,0.0809779672057397,0.0756158006528687,0.0769435441945345,0.0748014089342634,0.0760770447879979,0.0699716869799698,0.0748558324136496,0.073550987903828,0.0748243027310688,0.071133276094903,0.0698207013457677,0.0786511726882161,0.0805832227816576,0.0798651699206199,0.0757951734752504,0.0827284246349016,0.0796101295618971,0.0794028796689948,0.0792952967505983,0.0800698693472588,0.0837815712552667
mi_concept,r2,34,3.1622776601683795e-05,0.3,1.0,0.1,1.0,0.1,,26.12245762711865,21.946822033898304,21.00805084745763,19.750635593220338,19.370974576271188,18.945974576271187,18.49131355932203,18.296822033898305,18.25868644067797,18.023516949152544,17.90042372881356,22.58453389830509,21.22987288135593,20.88813559322034,20.473305084745764,20.44533898305085,20.28728813559322,20.54936440677966,20.604237288135593,20.548516949152543,20.547457627118643,0.6154834700607367,241.98021098351072,157.28319728470484,0.5357502331517753,278.190537076265,0.6852503690246395,1.1628666114333053,0.011609923730132,0.590918618199562,0.6370371457552968,4,1180,5000000,exemplar_mean,shortlist of 12,0.1367658729459994,0.1233497914371634,0.1189403081274101,0.1118490910376497,0.1091156545162928,0.1076516526376537,0.1031270538782001,0.1059028914248428,0.1007647105093699,0.1025882519814233,0.1010583596822552,0.1232575699121527,0.1195601863278274,0.1169294485161381,0.1166343866506887,0.1156409679869992,0.1163866662287406,0.1165220210083555,0.1178868846867829,0.1156922576590019,0.118519153370242,0.1381035772885368,0.1202319837746586,0.1167771243209626,0.1128956276356799,0.1055767636664977,0.1064668504734487,0.1084132092842686,0.1043201653613186,0.1084227396759927,0.0996745213694006,0.1041053096153075,0.1256436548437856,0.1238243385363742,0.1215959386748899,0.1187149126322479,0.1209676866399795,0.1213425972475555,0.1215625443178901,0.1229942624720954,0.1240051044442203,0.1302209087110844
mi_concept,rmse,32,3.1622776601683795e-05,0.3,1.0,0.1,0.5,0.1,,25.926906779661017,22.480508474576272,20.720974576271185,20.05550847457627,19.32542372881356,19.013983050847457,18.86122881355932,18.26080508474576,18.20550847457627,18.08834745762712,17.80677966101695,22.495127118644067,21.486016949152543,20.670338983050847,20.595550847457627,20.366525423728813,20.373516949152545,20.36165254237288,20.32457627118644,20.565254237288137,20.579661016949153,0.5792645445379248,243.50958957133057,154.46253497099826,0.7907443141742754,164.92513530156202,0.6868069458631256,1.1670735770036171,0.0121328563954973,0.5541446697754763,0.601951537357916,4,1180,5000001,exemplar_mean,shortlist of 12,0.1358815239190539,0.1235216127464116,0.1171418594690795,0.1120907549941836,0.1105872674112723,0.1055990524003601,0.1072377878535948,0.1052059141735608,0.103485299073779,0.1025902938173069,0.1020390540113045,0.1260127863590041,0.1215568841311367,0.1180937093922761,0.116455359007553,0.1141164709658742,0.1156781601165566,0.1131012691536712,0.1160276992126577,0.1175647028268318,0.1162862208411717,0.135370930211715,0.1250538668452144,0.1134680124532304,0.1129685914001899,0.1094284638372816,0.1021492568048856,0.1041140742490469,0.1027872712878684,0.1062334061194982,0.1022629523189519,0.0991132850931101,0.1290459401724234,0.1177386819776689,0.1143579418556537,0.1169700573776544,0.1213477608967382,0.1238253556275776,0.1238628419702741,0.1249327741141375,0.1285833278060635,0.1278978635641241
