r2,rmse,r2_boot_sd,r2_boot_lo,r2_boot_hi,hab,dis,first_drop,task,cell,metric,rule,experiment,family,control,seed,setting,world_EIGs,sd_epsilon,sigma_true,V_prior,alpha_prior,beta_prior,seconds,host,procs,job,smoke,order,fam1,fam6,dev_pose,dev_number,dev_identity,dev_animacy,r2_paper
0.22591451921761127,373.599171386773,0.003870396280435102,0.21821541253326435,0.23318363330942718,0.2985673107109221,1.184782296993739,0.4882274037501071,eig_code_exp1_f01,eig_code,eig_code,r2,exp1,1,False,9101004,20,0.01,0.5,0.1,3.0,1.0,1.0,1458.5456063747406,sh04-17n29.int,24,45063045,False,,,,,,,,0.6410599174219827
0.22314070254321924,374.7286815611952,0.0041964236831511315,0.2149726328624138,0.23135452670232046,0.2997363617927398,1.2086120239706164,0.4677405336500855,eig_code_exp1_f02,eig_code,eig_code,r2,exp1,2,False,9102004,20,0.01,0.5,0.1,3.0,1.0,1.0,1466.7469835281372,sh04-17n29.int,24,45063045,False,,,,,,,,0.6324205461135375
0.22192927270541954,374.91019114722593,0.00420492384094622,0.21342221013250637,0.2297364719006021,0.299858229899025,1.1933954071786954,0.48253913144113647,eig_code_exp1_f03,eig_code,eig_code,r2,exp1,3,False,9103004,20,0.01,0.5,0.1,3.0,1.0,1.0,4870.624229669571,sh03-15n19.int,24,45063047,False,,,,,,,,0.636810794685026
0.22294625404804494,373.53091571055364,0.003921928888676263,0.21528432313640514,0.23107534185077624,0.29716506176166096,1.1802662976042761,0.49775218753988626,eig_code_exp1_f04,eig_code,eig_code,r2,exp1,4,False,9104004,20,0.01,0.5,0.1,3.0,1.0,1.0,1464.1479830741882,sh04-17n29.int,24,45063045,False,,,,,,,,0.6410559414286073
0.21598212381756374,375.2328812665643,0.0041484795959365875,0.20770377981287613,0.22375948316967936,0.29795361527967257,1.1961972238288028,0.4732821138795146,eig_code_exp1_f05,eig_code,eig_code,r2,exp1,5,False,9105004,20,0.01,0.5,0.1,3.0,1.0,1.0,3733.3653819561005,sh03-15n19.int,24,45063047,False,,,,,,,,0.6298882249379435
0.23340189133288136,372.56546957616996,0.004087105358292667,0.22532543585891776,0.24104515101646215,0.2924910778015703,1.2221435892430088,0.486309778729479,eig_code_exp1_f06,eig_code,eig_code,r2,exp1,6,False,9106004,20,0.01,0.5,0.1,3.0,1.0,1.0,3666.7482397556305,sh03-15n19.int,24,45063047,False,,,,,,,,0.6434654273776301
0.21585485931297693,375.32515176588066,0.004137221780341868,0.20791381056343694,0.2242419809238949,0.2942297769879035,1.2044278825076722,0.4783867453993006,eig_code_exp1_f07,eig_code,eig_code,r2,exp1,7,False,9107004,20,0.01,0.5,0.1,3.0,1.0,1.0,3282.874485015869,sh03-15n19.int,24,45063048,False,,,,,,,,0.6321972682133657
0.21969528601232968,374.832387475444,0.004029802488848699,0.21255015661740853,0.2273895430964976,0.29685133634305,1.2087945192167533,0.47120335780531075,eig_code_exp1_f08,eig_code,eig_code,r2,exp1,8,False,9108004,20,0.01,0.5,0.1,3.0,1.0,1.0,3936.4439628124237,sh03-15n19.int,24,45063047,False,,,,,,,,0.6325276777520651
0.28279971553052163,0.2529030426331611,0.00758459345059437,0.26709078016006094,0.2967274314816251,,,,eig_code_exp2_f01,eig_code,eig_code,r2,exp2,1,False,9201004,20,0.01,0.5,0.1,3.0,1.0,1.0,1264.4053599834442,sh04-17n29.int,24,45063045,False,iden>pose>numb>anim,14.711857617088949,4.981481440454965,6.15306712962963,6.123626373626373,6.189178025609252,6.022677595628416,
0.2798688275173774,0.25341926856284785,0.00743411020306651,0.264754744477232,0.2940343987834392,,,,eig_code_exp2_f02,eig_code,eig_code,r2,exp2,2,False,9202004,20,0.01,0.5,0.1,3.0,1.0,1.0,1251.2892305850983,sh04-17n29.int,24,45063045,False,numb>iden>anim>pose,14.756273756562166,5.0243595472730025,6.028935185185186,6.142551892551893,6.063610078479967,6.0493624772313295,
0.27425533386143536,0.25440506531754026,0.00786391239266085,0.2592584105500296,0.2901495051532936,,,,eig_code_exp2_f03,eig_code,eig_code,r2,exp2,3,False,9203004,20,0.01,0.5,0.1,3.0,1.0,1.0,1268.8850240707397,sh04-17n29.int,24,45063045,False,pose>numb>iden>anim,14.752107293198824,5.004448182244571,6.301793981481482,6.237789987789988,6.157476249483683,6.044353369763205,
0.2568960802279812,0.2574296722726206,0.007311674618398353,0.24406919501992624,0.2730806918325137,,,,eig_code_exp2_f04,eig_code,eig_code,r2,exp2,4,False,9204004,20,0.01,0.5,0.1,3.0,1.0,1.0,3605.951938867569,sh03-15n19.int,24,45063047,False,pose>numb>iden>anim,14.619124304583105,5.101309243375106,6.248842592592593,6.0628815628815635,6.055555555555556,5.943169398907103,
0.27517978480065425,0.2542429835588023,0.007017680101466001,0.2581783733490022,0.28522781516015333,,,,eig_code_exp2_f05,eig_code,eig_code,r2,exp2,5,False,9205004,20,0.01,0.5,0.1,3.0,1.0,1.0,1255.670117855072,sh04-17n29.int,24,45063045,False,pose>numb>anim>iden,14.700758713501946,4.951489368308035,6.076388888888889,6.0256410256410255,5.991738950846757,6.015391621129326,
0.2648454347877589,0.25604904299916337,0.007079136490943405,0.25158606100238,0.27943165458167013,,,,eig_code_exp2_f06,eig_code,eig_code,r2,exp2,6,False,9206004,20,0.01,0.5,0.1,3.0,1.0,1.0,3112.3273594379425,sh03-15n19.int,24,45063048,False,numb>iden>pose>anim,14.737086806883317,5.007454714957342,6.0040509259259265,6.226495726495727,6.14116067740603,5.932695810564663,
0.2621120847204577,0.25652460444369163,0.007268838171584187,0.24914825355942954,0.27744112414146244,,,,eig_code_exp2_f07,eig_code,eig_code,r2,exp2,7,False,9207004,20,0.01,0.5,0.1,3.0,1.0,1.0,1259.6078255176544,sh04-17n29.int,24,45063045,False,pose>numb>iden>anim,14.689968961328029,5.009995564183262,6.186342592592593,6.143772893772894,6.047191243287898,5.977322404371584,
0.2587762955069747,0.2571037893447724,0.007476635537178341,0.24559093206134808,0.27530819240950943,,,,eig_code_exp2_f08,eig_code,eig_code,r2,exp2,8,False,9208004,20,0.01,0.5,0.1,3.0,1.0,1.0,1258.5572366714478,sh04-17n29.int,24,45063045,False,pose>numb>iden>anim,14.805258571461684,5.083295893292352,6.289351851851852,6.076923076923077,6.024163568773235,5.987613843351549,
0.816096318032739,146.8309893031027,0.01577601454255492,0.7770574882780276,0.8381927684774377,0.8441125627472491,1.1064971890476236,0.05730776902363621,kl_concept_exp1_f01,kl_concept,kl_concept,r2,exp1,1,False,9101002,2,1e-06,1.0,0.1,1.0,1.0,0.1,5206.293989181519,sh03-15n19.int,24,45063048,False,,,,,,,,0.7108858130200337
0.8078839026256494,158.66844874656599,0.016502050103489083,0.768880136488165,0.8333854067495908,0.8333590366668473,1.1248968425053893,0.04987141386396132,kl_concept_exp1_f02,kl_concept,kl_concept,r2,exp1,2,False,9102002,2,1e-06,1.0,0.1,1.0,1.0,0.1,2075.027576684952,sh04-17n29.int,24,45063045,False,,,,,,,,0.6815390775706596
0.8587028758675903,127.85219654169808,0.01455117026274675,0.8240063860299816,0.879454630860934,0.8418360529788051,1.1126112899465808,0.06664105690377964,kl_concept_exp1_f03,kl_concept,kl_concept,r2,exp1,3,False,9103002,2,1e-06,1.0,0.1,1.0,1.0,0.1,2064.627931833267,sh04-17n29.int,24,45063045,False,,,,,,,,0.7668370084671408
0.7913685842496168,166.79996954908893,0.01644298592970119,0.7526133136817584,0.8154874786449516,0.8362146156184795,1.1205487434382875,0.05005976352800545,kl_concept_exp1_f04,kl_concept,kl_concept,r2,exp1,4,False,9104002,2,1e-06,1.0,0.1,1.0,1.0,0.1,2068.1110734939575,sh04-17n29.int,24,45063045,False,,,,,,,,0.6712594358015437
0.7816529138524934,168.4526452336658,0.016807073039368136,0.7408583835892317,0.8073037044101056,0.840043864568146,1.10837301528435,0.06042593492591619,kl_concept_exp1_f05,kl_concept,kl_concept,r2,exp1,5,False,9105002,2,1e-06,1.0,0.1,1.0,1.0,0.1,2068.901135444641,sh04-17n29.int,24,45063045,False,,,,,,,,0.6849977230186874
0.7746592842592634,164.23146506255085,0.01818404787207434,0.7313323215293119,0.8049337542123853,0.8446738070424363,1.1102114839553643,0.05117966876357649,kl_concept_exp1_f06,kl_concept,kl_concept,r2,exp1,6,False,9106002,2,1e-06,1.0,0.1,1.0,1.0,0.1,2064.413815021515,sh04-17n29.int,24,45063045,False,,,,,,,,0.6496051798634694
0.7959477023031982,158.85635218716268,0.017046656779772733,0.7569699644072059,0.8208274019339579,0.8382391683428329,1.118953974477935,0.04833212760886019,kl_concept_exp1_f07,kl_concept,kl_concept,r2,exp1,7,False,9107002,2,1e-06,1.0,0.1,1.0,1.0,0.1,2070.46235537529,sh04-17n29.int,24,45063045,False,,,,,,,,0.6729450942078103
0.8037795967844538,149.2150207653886,0.016176839880954787,0.7648307049025123,0.8284416488897228,0.8328867356335189,1.1189193900216143,0.06501522303614538,kl_concept_exp1_f08,kl_concept,kl_concept,r2,exp1,8,False,9108002,2,1e-06,1.0,0.1,1.0,1.0,0.1,2074.3414199352264,sh04-17n29.int,24,45063045,False,,,,,,,,0.7148390985728423
0.7696858903093902,0.14331580920018663,0.028130245436454926,0.7047581493212365,0.8111826414437568,,,,kl_concept_exp2_f01,kl_concept,kl_concept,r2,exp2,1,False,9201002,2,1e-06,1.0,0.1,1.0,1.0,0.1,1596.2382535934448,sh04-17n29.int,24,45063045,False,anim>iden>numb>pose,51.61618574005778,43.657047197475165,45.70659722222223,46.6971916971917,47.94661296984717,51.21183970856102,
0.7223141757092161,0.1573659191121909,0.029132828521274273,0.6543989214992929,0.7678637244346219,,,,kl_concept_exp2_f02,kl_concept,kl_concept,r2,exp2,2,False,9202002,2,1e-06,1.0,0.1,1.0,1.0,0.1,4469.881651639938,sh03-15n19.int,24,45063047,False,anim>iden>numb>pose,51.19621196793081,43.72608019933223,45.49884259259259,46.674297924297925,48.010119785212716,51.18551912568305,
0.733299124727045,0.15422189961810875,0.028866600201109746,0.6662868952830733,0.7789809053955816,,,,kl_concept_exp2_f03,kl_concept,kl_concept,r2,exp2,3,False,9203002,2,1e-06,1.0,0.1,1.0,1.0,0.1,1616.350415468216,sh04-17n29.int,24,45063045,False,anim>iden>numb>pose,51.39090624484011,43.57458628080137,45.46209490740741,46.51251526251526,48.004337050805454,50.938615664845166,
0.7795475757149667,0.14021396393609065,0.028129091981979947,0.7069232274206073,0.8171929832480117,,,,kl_concept_exp2_f04,kl_concept,kl_concept,r2,exp2,4,False,9204002,2,1e-06,1.0,0.1,1.0,1.0,0.1,1598.3899393081665,sh04-17n29.int,24,45063045,False,anim>iden>numb>pose,51.554868279837976,43.40321835759412,45.50636574074073,46.748778998778995,48.226559273027675,51.459107468123854,
0.7661149412321773,0.14442256936798836,0.025375770823353124,0.7070274942287499,0.8041630867339707,,,,kl_concept_exp2_f05,kl_concept,kl_concept,r2,exp2,5,False,9205002,2,1e-06,1.0,0.1,1.0,1.0,0.1,1598.5035059452057,sh04-17n29.int,24,45063045,False,anim>iden>numb>pose,51.44014626298863,43.59466465108267,45.83101851851851,46.24664224664224,48.01972325485337,51.5367941712204,
0.6829987206282875,0.16813740302307334,0.032231219677346205,0.607090583203829,0.7311391937857772,,,,kl_concept_exp2_f06,kl_concept,kl_concept,r2,exp2,6,False,9206002,2,1e-06,1.0,0.1,1.0,1.0,0.1,1607.491851091385,sh04-17n29.int,24,45063045,False,anim>iden>numb>pose,51.11481576012219,43.760779139010154,45.90393518518518,47.04304029304029,47.90066088393226,51.010837887067396,
0.7501571898321645,0.14926818625178645,0.026309186093939427,0.682121664461093,0.7838070809372991,,,,kl_concept_exp2_f07,kl_concept,kl_concept,r2,exp2,7,False,9207002,2,1e-06,1.0,0.1,1.0,1.0,0.1,1601.3338649272919,sh04-17n29.int,24,45063045,False,anim>iden>numb>pose,51.49728258224253,43.48838016018395,45.79861111111111,46.36965811965812,47.99029326724494,51.31520947176685,
0.7403642003618044,0.15216547113187137,0.02770364756965067,0.6747068660181208,0.7846804859242243,,,,kl_concept_exp2_f08,kl_concept,kl_concept,r2,exp2,8,False,9208002,2,1e-06,1.0,0.1,1.0,1.0,0.1,1617.4511394500732,sh04-17n29.int,24,45063045,False,anim>iden>numb>pose,51.49464770563535,43.342648765923926,45.87528935185185,46.508547008547005,48.116480793060724,51.41593806921676,
0.294637909964316,341.4206210599261,0.005167855575016525,0.2845830373954822,0.30445110499833894,0.3327531439014838,1.3796652281940631,0.3525956224707367,kl_exp1_f01,kl,kl,rmse,exp1,1,False,9101006,10,0.0999999999999999,1.0,0.1,1.0,10.0,0.1,315.10024070739746,sh03-09n02.int,24,45063047,False,,,,,,,,0.6171553629452161
0.2968945242520446,340.1094938283591,0.005038129325122861,0.2872621159674636,0.30588936265949995,0.3327545040156284,1.3764905414220483,0.352680703277621,kl_exp1_f02,kl,kl,rmse,exp1,2,False,9102006,10,0.0999999999999999,1.0,0.1,1.0,10.0,0.1,543.48970246315,sh03-15n19.int,24,45063047,False,,,,,,,,0.6163050653601448
0.29681105131392405,341.1909550486111,0.005124830089284459,0.28701394174178163,0.3071103182774687,0.3380448100822685,1.3666148867313916,0.3396201645370208,kl_exp1_f03,kl,kl,rmse,exp1,3,False,9103006,10,0.0999999999999999,1.0,0.1,1.0,10.0,0.1,239.07191276550293,sh04-17n29.int,24,45063045,False,,,,,,,,0.6070560708410317
0.29882760742988435,339.2219434474141,0.004902208442085806,0.2887223727298855,0.30831591494050614,0.3413829506466086,1.3598118799123826,0.33861177091580885,kl_exp1_f04,kl,kl,rmse,exp1,4,False,9104006,10,0.0999999999999999,1.0,0.1,1.0,10.0,0.1,461.76907682418823,sh03-15n19.int,24,45063048,False,,,,,,,,0.6111351090432184
