cell,experiment,families,r2_mean,r2_sd_between,r2_boot_sd_mean,ratio,r2_mean_lo,r2_mean_hi,r2_min,r2_max,rmse_mean,rmse_sd,minutes,hab,dis,first_drop,r2_paper_mean,r2_paper_sd,orders
eig_code,exp1,8,0.22235811362375585,0.005679430548326842,0.004074535239578568,1.3938842627151435,0.2176099908624117,0.2271062363851,0.21585485931297693,0.23340189133288136,374.3406062362258,0.9884184619081137,49.74895181705554,0.29710659632206804,1.1998274050679454,0.48068015652435253,0.6361782247412697,0.005126754262836586,
eig_code,exp2,8,0.26934169461914514,0.009922345555148555,0.007379572620736501,1.344569132264773,0.26104640614340135,0.27763698309488893,0.2568960802279812,0.28279971553052163,0.2552596836415749,0.0017336017575763332,29.743112693727017,,,,,,pose>numb>iden>anim x4 | iden>pose>numb>anim x1 | numb>iden>anim>pose x1 | pose>numb>anim>iden x1 | numb>iden>pose>anim x1
kl_concept,exp1,8,0.8037613972468756,0.02601665781392062,0.016435854801332743,1.582920884152067,0.7820109270035568,0.8255118674901943,0.7746592842592634,0.8587028758675903,155.11338592365297,13.474107248036066,41.02537353535493,0.8389207304497893,1.115126491084643,0.05610411970673511,0.6941135538152734,0.03623767437535951,
kl_concept,exp2,8,0.7430602273143814,0.031081621031676117,0.02823482378813854,1.1008257485472077,0.7170753418537341,0.7690451127750286,0.6829987206282875,0.7795475757149667,0.15113890270516206,0.009003548917207994,32.72008462796609,,,,,,anim>iden>numb>pose x8
kl,exp1,8,0.2958792010815767,0.0066688105612267646,0.004951828311203072,1.3467370316816463,0.290303935930006,0.3014544662331475,0.28664242947047525,0.30931331314104077,341.24374382144765,4.305707220019082,6.838907138506571,0.33610043396871786,1.364092098742333,0.34578114532172743,0.6126176652068267,0.009003613630928334,
kl,exp2,8,0.48947608334047554,0.008018925273475691,0.010987498975381628,0.7298226185451973,0.4827720940428646,0.4961800726380865,0.47842448948190824,0.5051447260709186,0.21336839421197568,0.0016804382123844154,4.188268292446931,,,,,,anim>iden>numb>pose x8
mi_concept,exp1,8,0.8922847813439374,0.01626731359261633,0.0136306410538828,1.1934371632493728,0.8786849668417988,0.9058845958460761,0.860605725095371,0.9173347240703117,119.98449293171703,8.56670571366219,21.809777029355367,0.8466259024796244,1.116460629704839,0.07802901144368837,0.8299787888566765,0.02568736660481414,
mi_concept,exp2,8,0.7766156639587132,0.014214104247202965,0.024734103054248904,0.574676357417425,0.7647323754258257,0.7884989524916006,0.7555875673915973,0.7984636832680556,0.14108033332507605,0.004505645325586837,14.847503844896952,,,,,,anim>iden>numb>pose x8
mi,exp1,8,0.2364796921226675,0.004362929150091099,0.003096278149859121,1.4090882468972015,0.2328321920736032,0.2401271921717318,0.23084233171627147,0.2427959774198961,373.10845169613765,0.7600066651719569,6.584428562720617,0.226667875234507,1.3592723125722088,0.505006708871744,0.6342756108155284,0.004508661696888325,
mi,exp2,8,0.311666964231892,0.00885244545817564,0.006402584278403095,1.3826363032871438,0.3042661346212712,0.31906779384251277,0.2961189058258759,0.32456505913909944,0.24775663244765056,0.001592016173121075,6.017529659469923,,,,,,anim>numb>iden>pose x3 | anim>iden>numb>pose x2 | anim>iden>pose>numb x2 | anim>pose>numb>iden x1
surprisal_b,exp1,8,0.8637735971541971,0.03502334225390899,0.037496016829129765,0.9340550067894194,0.8344933502845313,0.8930538440238629,0.8029194892701321,0.8947205616375833,139.5089217099849,20.91096560910597,26.765528491139413,0.8468660487672441,1.1143017560265545,0.0838418096533908,0.8098493912377935,0.04865658703877399,
surprisal_b,exp2,8,0.6039865117985843,0.027642159844616366,0.029094898966695898,0.9500689408221544,0.5808770878494524,0.6270959357477163,0.5722912147010228,0.6403529532655087,0.18782632241237085,0.006570125365137401,19.151392277081808,,,,,,anim>iden>numb>pose x7 | anim>iden>pose>numb x1
v31_mi_concept,exp1,8,0.8538166724261803,0.010785199774952237,0.015431062710164273,0.6989278689048514,0.8448000197703642,0.8628333250819964,0.8418923648294043,0.8698753465405886,131.54515205874293,6.725249654578931,23.90026467790206,0.8148846429413655,1.1189263961944358,0.0928959875328567,0.8100538496639469,0.01772872965248732,
v31_mi_concept,exp2,8,0.8126199778620374,0.033660064948499095,0.0235832880190104,1.4272846484072046,0.7844794593416773,0.8407604963823976,0.7382111453808282,0.8407047615178359,0.12885636802717257,0.011037287716873585,15.579195615649223,,,,,,anim>iden>numb>pose x8
