setting,metric,world_EIGs,V_prior,alpha_prior,beta_prior,eps_fixed,sd_epsilon,infer_eps,sigma_true,window,r2_21,rmse21_full,rmse21_cv,b21,bg1,bg2,bg11,dev,scale
0,mi_concept,1e-07,3.0,1.0,0.1,,1.0,True,0.1,exemplar_mean,,,,,80.0,80.0,80.0,80.0,0.5
0,mi_concept,3.162277660168379e-07,3.0,1.0,0.1,,1.0,True,0.1,exemplar_mean,0.13975484617436804,337.695540870447,331.5584723730408,83.32683567963977,66.09375,67.84375,68.14583333333333,68.43541666666667,0.5
0,mi_concept,1e-06,3.0,1.0,0.1,,1.0,True,0.1,exemplar_mean,0.003229544104225963,363.50617033255384,379.96036451341536,11.175564131233736,51.5,53.739583333333336,52.395833333333336,53.51145833333334,0.5
0,mi_concept,3.162277660168379e-06,3.0,1.0,0.1,,1.0,True,0.1,exemplar_mean,0.46103955210184266,267.296120967596,281.27911943563066,157.93171957154178,39.395833333333336,38.927083333333336,37.46875,38.64895833333333,0.5
0,mi_concept,1e-05,3.0,1.0,0.1,,1.0,True,0.1,exemplar_mean,0.09150222483493183,347.0372895136509,337.21248460493325,82.30814693482552,25.791666666666668,24.729166666666668,24.854166666666668,25.445833333333333,0.5
0,mi_concept,3.1622776601683795e-05,3.0,1.0,0.1,,1.0,True,0.1,exemplar_mean,0.5417795984911422,246.4628234518353,234.68391345154492,405.3208894238406,19.270833333333332,16.697916666666668,16.885416666666668,17.579166666666666,0.5
0,mi_concept,0.0001,3.0,1.0,0.1,,1.0,True,0.1,exemplar_mean,0.2975019161367493,305.1664465330207,322.7079560239062,327.4670921628917,12.989583333333334,11.75,10.854166666666666,11.785416666666666,0.5
0,mi_concept,0.00031622776601683794,3.0,1.0,0.1,,1.0,True,0.1,exemplar_mean,0.2852085312742692,307.82500049861386,324.92700860853296,359.859596368218,9.96875,7.833333333333333,7.822916666666667,7.84375,0.5
0,mi_concept,0.001,3.0,1.0,0.1,,1.0,True,0.1,exemplar_mean,0.26644762089721996,311.8385293518036,356.4680962407224,387.2105351473734,6.958333333333333,5.864583333333333,5.0,5.317708333333333,0.5
0,mi_concept,0.0031622776601683794,3.0,1.0,0.1,,1.0,True,0.1,exemplar_mean,0.14282154364523736,337.09307617200506,391.55094096648276,300.2971661854266,5.072916666666667,4.072916666666667,3.1458333333333335,3.6197916666666665,0.5
0,mi_concept,0.01,3.0,1.0,0.1,,1.0,True,0.1,exemplar_mean,0.2392271543649904,317.57163872332023,364.55196547574695,454.5114452288562,3.8645833333333335,3.0520833333333335,2.3333333333333335,2.4958333333333336,0.5
0,mi_concept,0.03162277660168379,3.0,1.0,0.1,,1.0,True,0.1,exemplar_mean,0.10567144824508645,344.3204019460276,386.28032045196954,391.2960942652637,2.3958333333333335,2.4479166666666665,1.53125,1.853125,0.5
0,mi_concept,0.1,3.0,1.0,0.1,,1.0,True,0.1,exemplar_mean,0.0387065419458276,356.9786164746734,373.64212716671506,384.5369617191857,1.59375,1.6875,1.3229166666666667,1.4510416666666666,0.5
0,mi_concept,0.31622776601683794,3.0,1.0,0.1,,1.0,True,0.1,exemplar_mean,8.209085716551588e-05,364.09457553176964,362.6350244098094,-28.48433426052276,1.1770833333333333,1.2604166666666667,1.09375,1.2375,0.5
0,mi_concept,1.0,3.0,1.0,0.1,,1.0,True,0.1,exemplar_mean,0.00948914370131913,364.09457553176964,363.9572585060093,-885.2404942800936,1.0520833333333333,1.1041666666666667,1.0520833333333333,1.1041666666666665,0.5
0,mi_concept,3.1622776601683795,3.0,1.0,0.1,,1.0,True,0.1,exemplar_mean,0.05994756041458319,364.09457553176964,360.26577905524965,-7911.624061734439,1.0104166666666667,1.0208333333333333,1.03125,1.0208333333333333,0.5
