scale,inf_w,inf_r2,inf_rmse,inf_hab,inf_dis,inf_exp2_r2,inf_exp2_order,adu_w,adu_r2,adu_rmse_ms,adu_hab,adu_dis,adu_first_drop,adu_exp2_r2,adu_exp2_order
1.0,1e-05,0.7416755877129506,4.079664814581461,0.8728596667520045,1.1245102348108553,0.5096167446938157,anim>iden>numb>pose>back,0.0001,0.865964776927812,123.86324744458723,0.8205415470066588,1.1126689871348627,0.09802127055259269,0.7766222658074398,anim>iden>numb>pose
0.5,4.641588833612773e-06,0.6534094292296888,4.193349748594272,0.9387266098863777,1.0467406620188384,0.5259636548647304,anim>iden>numb>pose>back,3.1622776601683795e-05,0.6985960290841198,228.91100608050834,0.8959671907040329,1.0410105787814057,0.05430622009569386,0.5293682442331132,anim>iden>numb>pose
2.0,2.1544346900318822e-07,0.7580055273935918,4.068890845854215,0.8788129008184918,1.108345725391701,0.4843340724813828,anim>iden>numb>pose>back,0.0001,0.8985727818374873,110.98551863236862,0.7280470284692292,1.2387290336870507,0.13517752953939077,0.7789535843001586,anim>iden>numb>pose
10.0,1e-07,0.6387107655034012,4.228103180405958,0.6522030722678965,1.2652650262576357,0.4820235491503081,iden>anim>numb>pose>back,3.1622776601683795e-05,0.7992991230895907,166.26464535838832,0.5125759072093464,1.4164835615315239,0.24607593872791067,0.3747232369290924,numb>anim>iden>pose
