setting,metric,world_EIGs,V_prior,alpha_prior,beta_prior,eps_fixed,sd_epsilon,infer_eps,sigma_true,window,r2_21,rmse21_full,rmse21_cv,b21,bg1,bg2,bg11,dev,scale
0,mi_concept,1e-07,3.0,1.0,0.1,,1.0,True,0.1,exemplar_mean,0.4730923523972705,264.29044345449967,292.5277998922813,75.7386536565865,75.38541666666667,76.9375,64.03125,70.40416666666667,10.0
0,mi_concept,3.162277660168379e-07,3.0,1.0,0.1,,1.0,True,0.1,exemplar_mean,0.7934785412172599,165.4614403914579,178.2636867810377,57.982142064071276,67.40625,59.385416666666664,48.291666666666664,61.03125,10.0
0,mi_concept,1e-06,3.0,1.0,0.1,,1.0,True,0.1,exemplar_mean,0.7624233573134485,177.46637529621378,178.6449298493924,53.59779158938234,56.197916666666664,43.385416666666664,34.8125,45.80833333333334,10.0
0,mi_concept,3.162277660168379e-06,3.0,1.0,0.1,,1.0,True,0.1,exemplar_mean,0.8051070893915552,160.73565689193504,150.0322704669499,72.0634090216043,41.427083333333336,33.59375,25.760416666666668,32.608333333333334,10.0
0,mi_concept,1e-05,3.0,1.0,0.1,,1.0,True,0.1,exemplar_mean,0.7159082826426584,194.06333687541448,195.01910691012304,96.12894813342625,27.145833333333332,23.15625,14.520833333333334,21.54479166666666,10.0
0,mi_concept,3.1622776601683795e-05,3.0,1.0,0.1,,1.0,True,0.1,exemplar_mean,0.8612280892535855,135.63288285127308,126.45136331679704,137.23203904587896,20.489583333333332,14.979166666666666,10.75,15.192708333333334,10.0
0,mi_concept,0.0001,3.0,1.0,0.1,,1.0,True,0.1,exemplar_mean,0.7559077201064981,179.8834592020109,187.30853189509486,174.93757004543173,14.885416666666666,10.677083333333334,6.78125,10.284375,10.0
0,mi_concept,0.00031622776601683794,3.0,1.0,0.1,,1.0,True,0.1,exemplar_mean,0.7496445231512437,182.17666898255445,197.3005576936145,226.93848398203139,11.09375,7.260416666666667,4.666666666666667,7.0635416666666675,10.0
0,mi_concept,0.001,3.0,1.0,0.1,,1.0,True,0.1,exemplar_mean,0.588440433050628,233.57725990810383,300.7180823618438,237.00738114556637,8.947916666666666,5.083333333333333,3.2708333333333335,4.613541666666666,10.0
0,mi_concept,0.0031622776601683794,3.0,1.0,0.1,,1.0,True,0.1,exemplar_mean,0.5251292322423499,250.90073099421704,332.21295681987164,243.39893771799467,7.552083333333333,4.041666666666667,2.2708333333333335,3.3666666666666663,10.0
0,mi_concept,0.01,3.0,1.0,0.1,,1.0,True,0.1,exemplar_mean,0.48709780200297836,260.7543058822145,317.44743650927114,272.19757483596766,6.0625,3.2291666666666665,1.4895833333333333,2.502083333333333,10.0
0,mi_concept,0.03162277660168379,3.0,1.0,0.1,,1.0,True,0.1,exemplar_mean,0.46031636331749,267.4753927078631,277.2591786688828,332.88302331975814,4.260416666666667,3.1770833333333335,1.1666666666666667,2.091666666666667,10.0
0,mi_concept,0.1,3.0,1.0,0.1,,1.0,True,0.1,exemplar_mean,0.42039175974883575,277.1925056420741,298.9891227137106,457.2206044126721,2.9166666666666665,2.6458333333333335,1.1354166666666667,1.8447916666666664,10.0
0,mi_concept,0.31622776601683794,3.0,1.0,0.1,,1.0,True,0.1,exemplar_mean,0.3112889051824128,302.1570615058886,322.7137016516627,781.0326203685371,1.7395833333333333,1.8020833333333333,1.0625,1.5822916666666669,10.0
0,mi_concept,1.0,3.0,1.0,0.1,,1.0,True,0.1,exemplar_mean,0.10801899417179213,343.86819727813895,341.0636192633568,1066.653816098278,1.1770833333333333,1.1875,1.03125,1.30625,10.0
0,mi_concept,3.1622776601683795,3.0,1.0,0.1,,1.0,True,0.1,exemplar_mean,0.011064480321680243,364.09457553176964,360.71090441563774,-1349.781897317742,1.0416666666666667,1.0208333333333333,1.0625,1.0677083333333333,10.0
