setting,metric,world_EIGs,V_prior,alpha_prior,beta_prior,eps_fixed,sd_epsilon,infer_eps,sigma_true,window,r2_21,rmse21_full,rmse21_cv,b21,bg1,bg2,bg11,dev,scale
0,mi_concept,1e-07,3.0,1.0,0.1,,1.0,True,0.1,exemplar_mean,,,,,80.0,80.0,80.0,80.0,2.0
0,mi_concept,3.162277660168379e-07,3.0,1.0,0.1,,1.0,True,0.1,exemplar_mean,0.561638448554514,241.06293300048392,229.60339910770017,100.08305073859678,69.70833333333333,69.79166666666667,64.27083333333333,70.634375,2.0
0,mi_concept,1e-06,3.0,1.0,0.1,,1.0,True,0.1,exemplar_mean,0.569783180027541,238.81296547694606,219.49688003967955,53.41134712297708,57.552083333333336,55.083333333333336,47.177083333333336,59.030208333333334,2.0
0,mi_concept,3.162277660168379e-06,3.0,1.0,0.1,,1.0,True,0.1,exemplar_mean,0.7845917839946069,168.98390450833944,173.2308327581085,73.17019555818425,43.854166666666664,40.677083333333336,34.479166666666664,43.074999999999996,2.0
0,mi_concept,1e-05,3.0,1.0,0.1,,1.0,True,0.1,exemplar_mean,0.6768713457338773,206.96740031390013,203.58865249024626,102.53526992533993,29.25,27.21875,21.34375,28.8625,2.0
0,mi_concept,3.1622776601683795e-05,3.0,1.0,0.1,,1.0,True,0.1,exemplar_mean,0.7760003653147025,172.3208640786116,181.25647795020646,161.82989262173595,20.572916666666668,17.9375,15.979166666666666,20.083333333333336,2.0
0,mi_concept,0.0001,3.0,1.0,0.1,,1.0,True,0.1,exemplar_mean,0.8577038521916566,137.34434427026025,143.41690593878025,258.14123641050156,14.833333333333334,12.59375,10.322916666666666,13.140625,2.0
0,mi_concept,0.00031622776601683794,3.0,1.0,0.1,,1.0,True,0.1,exemplar_mean,0.8211191751864051,153.99127081063352,167.08323304098255,327.6546436275853,11.083333333333334,8.541666666666666,7.145833333333333,8.865625,2.0
0,mi_concept,0.001,3.0,1.0,0.1,,1.0,True,0.1,exemplar_mean,0.7051249142510904,197.7120998817228,207.80719094318437,453.06264450109217,7.583333333333333,5.90625,4.5625,5.786458333333334,2.0
0,mi_concept,0.0031622776601683794,3.0,1.0,0.1,,1.0,True,0.1,exemplar_mean,0.5542187401365182,243.0944883660697,243.12266967552367,484.07072263897675,5.604166666666667,4.354166666666667,3.0625,4.00625,2.0
0,mi_concept,0.01,3.0,1.0,0.1,,1.0,True,0.1,exemplar_mean,0.37952185823458745,286.79888067038945,295.8621886938481,537.3767875045373,4.125,2.9791666666666665,2.3854166666666665,2.6489583333333337,2.0
0,mi_concept,0.03162277660168379,3.0,1.0,0.1,,1.0,True,0.1,exemplar_mean,0.18305561908097873,329.08679315415617,360.46799494006916,532.9161520696382,2.3854166666666665,2.4479166666666665,1.5729166666666667,1.925,2.0
0,mi_concept,0.1,3.0,1.0,0.1,,1.0,True,0.1,exemplar_mean,0.0780088353995464,349.6049621980311,377.0512628765435,667.9398452029668,1.6145833333333333,1.65625,1.3229166666666667,1.4718750000000003,2.0
0,mi_concept,0.31622776601683794,3.0,1.0,0.1,,1.0,True,0.1,exemplar_mean,0.03250064169481374,364.09457553176964,360.26577905524965,-719.0659967621634,1.1875,1.25,1.1041666666666667,1.196875,2.0
0,mi_concept,1.0,3.0,1.0,0.1,,1.0,True,0.1,exemplar_mean,0.028544284066557433,364.09457553176964,360.26577905524965,-1956.8947211481366,1.0520833333333333,1.0520833333333333,1.03125,1.0864583333333333,2.0
0,mi_concept,3.1622776601683795,3.0,1.0,0.1,,1.0,True,0.1,exemplar_mean,0.1261579753172974,364.09457553176964,360.26577905524965,-11036.846239239601,1.0104166666666667,1.0208333333333333,1.0416666666666667,1.015625,2.0
