setting,metric,world_EIGs,V_prior,alpha_prior,beta_prior,eps_fixed,r2_21,rmse21_full,rmse21_cv,b21,bg1,bg2,bg11,dev
0,eig_code,3.162277660168379e-06,1.0,1.0,0.1,,0.26365878280492155,312.430744836953,330.71336201571296,88.8314908210012,80.0,79.38541666666667,75.20833333333333,77.18229166666666
0,eig_code,1e-05,1.0,1.0,0.1,,0.08016668430028456,349.19561087763793,385.685469297734,22.092786304304315,79.55208333333333,78.51041666666667,60.90625,71.19895833333335
0,eig_code,3.1622776601683795e-05,1.0,1.0,0.1,,0.046497049371642625,355.52916208726424,385.0939296007124,10.260284330796322,78.86458333333333,74.5625,52.59375,60.567708333333336
0,eig_code,0.0001,1.0,1.0,0.1,,0.07442650032264608,350.2834871089192,392.97308143736643,10.505881554232927,77.64583333333333,71.15625,41.427083333333336,51.952083333333334
0,eig_code,0.0003162277660168,1.0,1.0,0.1,,0.10554144813839829,344.345426341353,390.2317945623463,11.351806579251795,69.45833333333333,59.79166666666666,28.760416666666668,38.21666666666666
0,eig_code,0.001,1.0,1.0,0.1,,0.1385933328883869,337.9234442441788,385.11358015168963,17.731604349771963,52.864583333333336,37.770833333333336,24.291666666666668,26.407291666666662
0,eig_code,0.0031622776601683,1.0,1.0,0.1,,0.1961553819695319,326.43766510013415,380.4294986677393,30.06033630400123,36.333333333333336,20.39583333333333,13.40625,16.489583333333332
0,eig_code,0.01,1.0,1.0,0.1,,0.18439907711231437,328.8160916116155,378.6959826844686,48.679234438289086,22.80208333333333,13.385416666666666,8.427083333333334,9.446874999999999
0,eig_code,0.0316227766016837,1.0,1.0,0.1,,0.2150518250984098,322.57796710166224,374.57316232684997,92.65845688037335,12.770833333333334,7.34375,4.635416666666667,5.386458333333333
0,kl,3.162277660168379e-06,1.0,1.0,0.1,,0.18245992060764601,329.2067528365195,365.1126703967383,21.971536267304725,79.41666666666667,74.125,52.71875,65.12916666666666
0,kl,1e-05,1.0,1.0,0.1,,0.11123942549182625,343.2468806449045,386.84142462980265,11.723528714867943,76.71875,69.86458333333333,43.03125,51.753125
0,kl,3.1622776601683795e-05,1.0,1.0,0.1,,0.1828372867303297,329.1307652377223,383.9651551049372,14.156503715440518,71.80208333333333,59.71875,28.229166666666668,39.452083333333334
0,kl,0.0001,1.0,1.0,0.1,,0.22834728336810023,319.8343857314162,376.9242139525109,18.266702942873028,64.80208333333333,39.625,21.65625,28.682291666666668
0,kl,0.0003162277660168,1.0,1.0,0.1,,0.21070189000092707,323.470544866686,375.9964200955269,27.06080225934377,42.270833333333336,27.65625,15.135416666666666,19.398958333333333
0,kl,0.001,1.0,1.0,0.1,,0.23848983372774746,317.7254924119497,368.5777539734327,42.41426137810585,28.65625,16.552083333333332,8.208333333333334,12.186458333333333
0,kl,0.0031622776601683,1.0,1.0,0.1,,0.2547480948015772,314.31546959453215,359.58559475309494,63.16216225853372,19.447916666666668,10.791666666666666,5.71875,7.571875
0,kl,0.01,1.0,1.0,0.1,,0.24172498043980126,317.0498726662324,373.08554643683976,100.26325500981885,11.697916666666666,6.96875,3.53125,4.638541666666667
0,kl,0.0316227766016837,1.0,1.0,0.1,,0.1740148131001058,330.90272076096636,387.4605315620524,125.55336506422505,7.239583333333333,5.447916666666667,2.145833333333333,3.091666666666667
0,mi,3.1622776601683795e-05,1.0,1.0,0.1,,0.11755236411203705,342.02565291000013,383.21804868119114,10.365329386928009,78.40625,68.05208333333333,39.302083333333336,52.37083333333332
0,mi,0.0001,1.0,1.0,0.1,,0.19790718339843447,326.08177177661554,372.4818744465077,13.462697007874256,75.17708333333333,55.9375,24.64583333333333,40.93020833333333
0,mi,0.0003162277660168,1.0,1.0,0.1,,0.22612594225075436,320.2944053059212,374.4599612187805,17.055815045156123,64.21875,44.583333333333336,24.59375,30.98645833333333
0,mi,0.001,1.0,1.0,0.1,,0.16787885749490536,332.1295269956592,385.91340996504294,17.743658941243993,48.5625,33.895833333333336,15.947916666666666,18.661458333333336
0,mi,0.0031622776601683,1.0,1.0,0.1,,0.188021246588929,328.08512571194393,381.55156240846605,28.943715618308783,32.864583333333336,18.09375,8.385416666666666,11.13125
0,mi,0.01,1.0,1.0,0.1,,0.1995943036908634,325.7386514058826,376.8445041058812,57.79369009157027,18.229166666666668,10.21875,4.71875,6.515625
0,mi,0.0316227766016837,1.0,1.0,0.1,,0.22609444669627912,320.3009229990465,372.56521210636,102.64673662406621,10.8125,5.489583333333333,3.1875,3.775
0,mi,0.0999999999999999,1.0,1.0,0.1,,0.26687170392806253,311.74837590709683,367.19699298147617,161.7373328757587,7.239583333333333,3.5416666666666665,1.9583333333333333,2.527083333333333
0,mi,0.3162277660168379,1.0,1.0,0.1,,0.15652382921401856,334.38794899926665,386.04597340891644,219.54929018006823,4.166666666666667,2.71875,1.3645833333333333,1.7145833333333331
0,surprisal_b,0.01,1.0,1.0,0.1,,,,,,80.0,80.0,80.0,80.0
0,surprisal_b,0.0273841963426436,1.0,1.0,0.1,,0.04243519839014505,356.2856210975932,378.5504499667398,32.367620078528795,67.82291666666667,68.77083333333333,65.1875,66.25729166666667
0,surprisal_b,0.0749894209332455,1.0,1.0,0.1,,0.12184564446497763,341.1926276165371,357.1505727947701,48.643909837640784,50.958333333333336,55.44791666666666,50.29166666666666,49.313541666666666
0,surprisal_b,0.2053525026457146,1.0,1.0,0.1,,0.13377784377525134,338.8666681891772,358.2081193489762,61.06388516805637,28.34375,26.52083333333333,26.15625,26.79583333333333
0,surprisal_b,0.5623413251903491,1.0,1.0,0.1,,0.005620010319709298,363.0700263734432,370.6471337874572,28.066106466295246,10.666666666666666,10.833333333333334,10.958333333333334,10.430208333333335
0,surprisal_b,1.539926526059492,1.0,1.0,0.1,,0.214710315054823,322.64813201153726,359.4885868990128,319.2506055489224,5.4375,5.84375,3.6875,4.777083333333333
0,surprisal_b,4.216965034285822,1.0,1.0,0.1,,0.002909552197328832,363.56451360406004,376.88778536131093,99.83840424790026,2.71875,2.21875,2.09375,2.2468749999999997
0,surprisal_b,11.547819846894582,1.0,1.0,0.1,,0.1148355571396016,342.5517484764515,393.8987046438727,1128.555994764981,1.78125,1.59375,1.46875,1.5052083333333335
0,surprisal_b,31.6227766016838,1.0,1.0,0.1,,0.07638273565914422,349.9131224715759,353.52205069858945,2405.8444266687034,1.1666666666666667,1.28125,1.1875,1.2010416666666666
