metric,rule,world_EIGs,V_prior,alpha_prior,beta_prior,sigma_true,sd_epsilon,bg_1,bg_2,bg_3,bg_4,bg_5,bg_6,bg_7,bg_8,bg_9,bg_10,bg_11,dev_1,dev_2,dev_3,dev_4,dev_5,dev_6,dev_7,dev_8,dev_9,dev_10,r2_21_R64,rmse21_cv_R64,b21_R64,r2_21_grid,rmse21_cv_grid
eig_code,r2,0.0031622776601683,3.0,1.0,0.1,0.2,0.5,32.739583333333336,18.8515625,16.447916666666668,13.276041666666666,12.643229166666666,11.432291666666666,10.619791666666666,10.21875,9.481770833333334,9.5859375,8.958333333333334,18.6953125,15.5234375,13.28125,12.989583333333334,11.942708333333334,11.388020833333334,10.2578125,10.361979166666666,9.979166666666666,9.322916666666666,0.22242428612666915,377.68398039410835,32.937702041996815,0.2967363715972201,336.8709817934204
mi,r2,0.0031622776601683,3.0,10.0,0.1,0.1,0.5,30.765625,18.510416666666668,14.40625,13.989583333333334,11.5859375,11.260416666666666,10.84375,9.028645833333334,8.5625,8.494791666666666,8.4921875,17.682291666666668,15.348958333333334,13.861979166666666,12.145833333333334,11.958333333333334,10.9296875,9.9296875,9.2734375,9.744791666666666,8.8671875,0.23008964345564065,377.10994987779657,35.1844377847524,0.3187814330417506,309.9493559376174
kl,r2,0.3162277660168379,3.0,10.0,0.1,0.1,0.5,2.6640625,2.0104166666666665,1.7265625,1.5494791666666667,1.4401041666666667,1.40625,1.3776041666666667,1.3489583333333333,1.2994791666666667,1.3229166666666667,1.2942708333333333,1.8515625,1.7916666666666667,1.515625,1.578125,1.5,1.4739583333333333,1.3984375,1.3776041666666667,1.3697916666666667,1.4010416666666667,0.2630075730299529,358.90065336371396,600.1499155723282,0.3865736751260375,300.5292424881527
kl,rmse,0.0316227766016837,3.0,10.0,0.1,0.1,1.0,7.59375,4.302083333333333,3.5625,3.0390625,2.9817708333333335,2.6770833333333335,2.5260416666666665,2.3776041666666665,2.3333333333333335,2.3567708333333335,2.3098958333333335,4.1015625,3.546875,3.2916666666666665,3.0078125,2.8177083333333335,2.5911458333333335,2.609375,2.6848958333333335,2.5651041666666665,2.4453125,0.265081487711616,360.5041465505134,164.228094748851,0.3552683253574461,297.1005272649155
surprisal_b,r2,15.848931924611142,3.0,10.0,1.0,0.2,1.0,1.3645833333333333,1.3359375,1.390625,1.2994791666666667,1.3984375,1.3359375,1.3567708333333333,1.3463541666666667,1.3697916666666667,1.3385416666666667,1.2734375,1.4010416666666667,1.3489583333333333,1.3333333333333333,1.3385416666666667,1.328125,1.2838541666666667,1.3619791666666667,1.3333333333333333,1.3255208333333333,1.2916666666666667,0.0037912443722348337,366.0045056114663,-661.6866108438494,0.5587858731612717,233.35174425472414
