setting,metric,world_EIGs,V_prior,alpha_prior,beta_prior,eps_fixed,cond_r2,cond_rmse,n_cond,within_r2,within_b,bg1,bg2,bg11,dev1,dev5,dev10
0,eig_code,3.162277660168379e-06,1.0,1.0,0.1,,0.2719826073648397,357.17525774424547,75,,,80.0,79.38541666666667,75.20833333333333,80.0,75.80208333333333,76.51041666666667
0,eig_code,1e-05,1.0,1.0,0.1,,0.20555164261545505,368.4624693700554,75,,,79.55208333333333,78.51041666666667,60.90625,77.11458333333333,70.67708333333333,64.92708333333333
0,eig_code,3.1622776601683795e-05,1.0,1.0,0.1,,0.23891773506643676,361.33663492066796,75,,,78.86458333333333,74.5625,52.59375,72.125,58.302083333333336,54.03125
0,eig_code,0.0001,1.0,1.0,0.1,,0.3338357425445419,338.19572851143585,75,,,77.64583333333333,71.15625,41.427083333333336,67.4375,53.97916666666666,43.052083333333336
0,eig_code,0.0003162277660168,1.0,1.0,0.1,,0.3683024148308523,325.15591875485154,75,,,69.45833333333333,59.79166666666666,28.760416666666668,52.0,35.583333333333336,31.20833333333333
0,eig_code,0.001,1.0,1.0,0.1,,0.5086196440750677,283.696160912342,75,,,52.864583333333336,37.770833333333336,24.291666666666668,41.270833333333336,22.447916666666668,21.83333333333333
0,eig_code,0.0031622776601683,1.0,1.0,0.1,,0.6328281250617406,243.77287624532724,75,,,36.333333333333336,20.39583333333333,13.40625,27.05208333333333,13.75,14.010416666666666
0,eig_code,0.01,1.0,1.0,0.1,,0.6062173364111312,253.74033239659994,75,,,22.80208333333333,13.385416666666666,8.427083333333334,12.4375,8.572916666666666,7.770833333333333
0,eig_code,0.0316227766016837,1.0,1.0,0.1,,0.6177887882316311,249.51634365986337,75,,,12.770833333333334,7.34375,4.635416666666667,7.895833333333333,5.145833333333333,4.84375
0,kl,3.162277660168379e-06,1.0,1.0,0.1,,0.3314079255531398,337.02498855620354,75,,,79.41666666666667,74.125,52.71875,75.5625,65.19791666666667,59.21875
0,kl,1e-05,1.0,1.0,0.1,,0.32338535275382857,338.79898390084736,75,,,76.71875,69.86458333333333,43.03125,65.88541666666667,52.364583333333336,40.71875
0,kl,3.1622776601683795e-05,1.0,1.0,0.1,,0.45085729149257187,303.04757994427814,75,,,71.80208333333333,59.71875,28.229166666666668,57.85416666666666,40.44791666666666,31.46875
0,kl,0.0001,1.0,1.0,0.1,,0.6226507885737629,244.70636453036104,75,,,64.80208333333333,39.625,21.65625,38.72916666666666,26.916666666666668,18.947916666666668
0,kl,0.0003162277660168,1.0,1.0,0.1,,0.6030687919695152,251.3891596539267,75,,,42.270833333333336,27.65625,15.135416666666666,28.83333333333333,18.125,16.645833333333332
0,kl,0.001,1.0,1.0,0.1,,0.6465449088791053,235.94591222208683,75,,,28.65625,16.552083333333332,8.208333333333334,17.458333333333332,11.229166666666666,9.458333333333334
0,kl,0.0031622776601683,1.0,1.0,0.1,,0.6567439541582644,232.33770926638243,75,,,19.447916666666668,10.791666666666666,5.71875,9.75,7.666666666666667,5.802083333333333
0,kl,0.01,1.0,1.0,0.1,,0.6286232286181827,244.59375623717875,75,,,11.697916666666666,6.96875,3.53125,7.072916666666667,3.8958333333333335,4.125
0,kl,0.0316227766016837,1.0,1.0,0.1,,0.49522667238945073,289.89056928134926,75,,,7.239583333333333,5.447916666666667,2.145833333333333,4.979166666666667,3.125,2.53125
0,mi,3.1622776601683795e-05,1.0,1.0,0.1,,0.31868424011807933,340.21083557037247,75,,,78.40625,68.05208333333333,39.302083333333336,75.55208333333333,53.625,42.75
0,mi,0.0001,1.0,1.0,0.1,,0.48965550685533976,288.3995388753193,75,,,75.17708333333333,55.9375,24.64583333333333,60.72916666666666,41.19791666666666,30.979166666666668
0,mi,0.0003162277660168,1.0,1.0,0.1,,0.551476590701312,270.64294353088883,75,,,64.21875,44.583333333333336,24.59375,49.22916666666666,25.73958333333333,24.98958333333333
