setting,metric,world_EIGs,V_prior,alpha_prior,beta_prior,sd_epsilon,sigma_true,pooled_rmse,pooled_r2,pooled_r,within_r2,within_b,pred_bg1,pred_bg10,pred_dev10
1,eig_code,1e-07,1.0,1.0,0.1,0.5,0.2,4.8216579830741395,0.08646253890576903,0.2940451307295685,0.005406575643895055,15.058764487652532,499.75220665300986,499.59012422525933,499.5619759685367
1,eig_code,2.1544346900318822e-07,1.0,1.0,0.1,0.5,0.2,4.821607326443781,0.08648511281152595,0.2940835133283162,0.00540796642065525,6.998877353815587,499.46636044334696,499.1175782279515,499.0570224057761
1,eig_code,4.641588833612782e-07,1.0,1.0,0.1,0.5,0.2,4.821498292956276,0.08653370768555799,0.2941661226000676,0.005410960348191911,3.2578233455915395,498.85130553131785,498.1017931736821,497.971735803597
1,eig_code,1e-06,1.0,1.0,0.1,0.5,0.2,4.8212638560951255,0.08663822602634708,0.294343720888262,0.005417399697943727,1.5214106329936818,497.5298313412471,495.9239051622255,495.64557904213467
1,eig_code,2.1544346900318822e-06,1.0,1.0,0.1,0.5,0.2,4.820760952272847,0.08686258612365452,0.29472459368646947,0.005431222431315747,0.7155056873973319,494.6995248402331,491.28029350218725,490.68924368327345
1,eig_code,4.641588833612773e-06,1.0,1.0,0.1,0.5,0.2,4.819687527742774,0.08734218518173567,0.2955371130361391,0.0054607701413588354,0.34158194723743535,488.6785858348972,481.49633500566785,480.2617094059749
1,eig_code,9.999999999999999e-06,1.0,1.0,0.1,0.5,0.2,4.817421073677681,0.08835820494600669,0.297251080647332,0.005523365181759373,0.1683375058711995,476.05486541033264,461.3949797403877,458.90452919263225
1,eig_code,2.154434690031882e-05,1.0,1.0,0.1,0.5,0.2,4.812747422545977,0.0904696108405621,0.3007816663970098,0.005653436861008758,0.08862734570671815,450.39328181255627,422.20997556354246,417.53825568700086
1,eig_code,4.641588833612773e-05,1.0,1.0,0.1,0.5,0.2,4.803595325331848,0.09468259358718653,0.30770536814814675,0.0059129008978240525,0.05324964233478165,401.50563823853594,353.47774355097795,345.8994683256151
1,eig_code,9.999999999999999e-05,1.0,1.0,0.1,0.5,0.2,4.787560718372173,0.10241622927444548,0.32002535723665004,0.006388419416093862,0.04080519582405112,319.8840874987938,254.51902533105167,245.12178613027422
1,eig_code,0.00021544346900318823,1.0,1.0,0.1,0.5,0.2,4.764996890039912,0.11454568208636508,0.33844598104625956,0.0071273429105065695,0.04555897270324794,213.718544148473,151.29224860828245,143.63275772935074
1,eig_code,0.00046415888336127773,1.0,1.0,0.1,0.5,0.2,4.741293113637244,0.13009457391677798,0.3606862541278472,0.008038622297994508,0.07452025993914886,120.93069140155357,79.5072851980402,75.49110480505875
1,eig_code,0.001,1.0,1.0,0.1,0.5,0.2,4.716116206135416,0.14987747675766305,0.38714012548128235,0.009123669541142,0.1350153432050992,67.5037933174528,42.27349411040535,40.583578237228316
1,eig_code,0.002154434690031882,1.0,1.0,0.1,0.5,0.2,4.688917660281456,0.17313455955263285,0.41609441182576923,0.010323377560215643,0.21390834264422645,41.34540832699506,23.75271793982074,23.1049391090724
1,eig_code,0.004641588833612772,1.0,1.0,0.1,0.5,0.2,4.669018812516573,0.19220927303411797,0.4384167800553692,0.011218762190113755,0.29107737968692426,27.731878376726332,13.831549636298917,13.61344533693304
1,eig_code,0.01,1.0,1.0,0.1,0.5,0.2,4.6621448466177,0.20236843334529986,0.44985379107583373,0.011581544875234188,0.371040349785037,19.560636596046034,8.188998221284889,8.140358296975927
1,eig_code,0.021544346900318822,1.0,1.0,0.1,0.5,0.2,4.668271601445539,0.20294588514976933,0.4504951555230859,0.011407142504085524,0.47430280488212495,14.02546525348991,4.968970615298479,4.977285251053732
