population,variable,rule,r2_table1,rmse_table1,r2_conditions,rmse_splithalf
infants,eig_code,r2,0.06830387459018386,4.388259298563596,0.0763064971948504,4.786697473956895
infants,kl,r2,0.15740836988955453,4.294544242886453,0.2310775435598399,4.630332963749724
infants,mi,r2,0.1577131611574418,4.287605672882219,0.2288375747573244,4.63183469056437
infants,surprisal_b,r2,0.365397041388637,3.7732761480238683,0.5794545544157547,4.260322281784655
infants,mi_concept,r2,0.46170823575924547,3.5461604060727985,0.7473754425198478,4.080889052644567
adults,eig_code,r2,0.6383548061457311,248.9688325655331,0.2224538907099069,374.2353461122246
adults,mi,r2,0.6165816709378673,256.3551633455854,0.2346212902986345,374.6869697943644
adults,mi,rmse,0.6324746005247303,250.98343160750292,0.2343074737385575,373.68411151970366
adults,kl,r2,0.5090324275102741,290.1178069259149,0.2716954273138764,353.5815277996712
adults,kl,rmse,0.6180467255857628,255.86095586131498,0.299099339588423,337.7058240684241
adults,surprisal_b,r2,0.7953044169353383,187.3097463712966,0.8263479130848553,147.77733119780774
adults,mi_concept,r2,0.8344511274079421,168.45120949227723,0.8898168748088441,120.54754712061543
infants,no learning (constant),,,4.362096640546226,,
adults,no learning (constant),,,,,
