world,metric,test_type,t,y,lo,hi
noiseless world (published generation),implemented EIG,background,1,-2.1094995176016708e-14,-2.1094995176016708e-14,-2.1094995176016708e-14
noiseless world (published generation),implemented EIG,background,2,1.1624713822280646e-14,1.1624713822280646e-14,1.1624713822280646e-14
noiseless world (published generation),implemented EIG,background,3,5.324501557288392e-15,5.324501557288392e-15,5.324501557288392e-15
noiseless world (published generation),implemented EIG,background,4,-4.0732502332437577e-14,-4.0732502332437577e-14,-4.0732502332437577e-14
noiseless world (published generation),implemented EIG,background,5,7.327574907754059e-14,7.327574907754059e-14,7.327574907754059e-14
noiseless world (published generation),implemented EIG,background,6,-6.097241031875649e-14,-6.097241031875649e-14,-6.097241031875649e-14
noiseless world (published generation),implemented EIG,background,7,-4.134394343776457e-14,-4.134394343776457e-14,-4.134394343776457e-14
noiseless world (published generation),implemented EIG,background,8,4.368406487201224e-14,4.368406487201224e-14,4.368406487201224e-14
noiseless world (published generation),implemented EIG,background,9,3.7902459905218e-14,3.7902459905218e-14,3.7902459905218e-14
noiseless world (published generation),implemented EIG,background,10,-2.6685059900066004e-15,-2.6685059900066004e-15,-2.6685059900066004e-15
noiseless world (published generation),implemented EIG,background,11,-4.336274733383997e-14,-4.336274733383997e-14,-4.336274733383997e-14
noiseless world (published generation),implemented EIG,background,12,1.2732696441244679e-14,1.2732696441244679e-14,1.2732696441244679e-14
noiseless world (published generation),implemented EIG,background,13,-4.96159956865676e-16,-4.96159956865676e-16,-4.96159956865676e-16
noiseless world (published generation),implemented EIG,background,14,3.909180861594851e-14,3.909180861594851e-14,3.909180861594851e-14
noiseless world (published generation),implemented EIG,background,15,1.0300493069666846e-14,1.0300493069666846e-14,1.0300493069666846e-14
noiseless world (published generation),true EIG,background,1,4.4143857121783225e-12,4.4143857121783225e-12,4.4143857121783225e-12
noiseless world (published generation),true EIG,background,2,1.450713069372911e-12,1.450713069372911e-12,1.450713069372911e-12
noiseless world (published generation),true EIG,background,3,7.882691727602203e-13,7.882691727602203e-13,7.882691727602203e-13
noiseless world (published generation),true EIG,background,4,5.434697644099426e-13,5.434697644099426e-13,5.434697644099426e-13
noiseless world (published generation),true EIG,background,5,1.922160874239189e-13,1.922160874239189e-13,1.922160874239189e-13
noiseless world (published generation),true EIG,background,6,4.881077462653616e-13,4.881077462653616e-13,4.881077462653616e-13
noiseless world (published generation),true EIG,background,7,1.3560882239560002e-13,1.3560882239560002e-13,1.3560882239560002e-13
noiseless world (published generation),true EIG,background,8,-1.20435354406697e-13,-1.20435354406697e-13,-1.20435354406697e-13
noiseless world (published generation),true EIG,background,9,8.359011141906765e-14,8.359011141906765e-14,8.359011141906765e-14
noiseless world (published generation),true EIG,background,10,2.663218959026867e-13,2.663218959026867e-13,2.663218959026867e-13
noiseless world (published generation),true EIG,background,11,2.3852111882561954e-13,2.3852111882561954e-13,2.3852111882561954e-13
noiseless world (published generation),true EIG,background,12,4.54812355361128e-15,4.54812355361128e-15,4.54812355361128e-15
noiseless world (published generation),true EIG,background,13,6.5558669837333e-14,6.5558669837333e-14,6.5558669837333e-14
noiseless world (published generation),true EIG,background,14,5.952208944782117e-14,5.952208944782117e-14,5.952208944782117e-14
noiseless world (published generation),true EIG,background,15,2.4941062348109137e-13,2.4941062348109137e-13,2.4941062348109137e-13
noiseless world (published generation),concept EIG,background,1,4.416393177090565e-12,4.416393177090565e-12,4.416393177090565e-12
noiseless world (published generation),concept EIG,background,2,1.4512835377900046e-12,1.4512835377900046e-12,1.4512835377900046e-12
noiseless world (published generation),concept EIG,background,3,7.926992395823618e-13,7.926992395823618e-13,7.926992395823618e-13
noiseless world (published generation),concept EIG,background,4,5.45785638905727e-13,5.45785638905727e-13,5.45785638905727e-13
noiseless world (published generation),concept EIG,background,5,1.9732363891004448e-13,1.9732363891004448e-13,1.9732363891004448e-13
noiseless world (published generation),concept EIG,background,6,4.950114392462032e-13,4.950114392462032e-13,4.950114392462032e-13
noiseless world (published generation),concept EIG,background,7,1.4114635386401156e-13,1.4114635386401156e-13,1.4114635386401156e-13
noiseless world (published generation),concept EIG,background,8,-1.170175067954915e-13,-1.170175067954915e-13,-1.170175067954915e-13
noiseless world (published generation),concept EIG,background,9,9.288865972697143e-14,9.288865972697143e-14,9.288865972697143e-14
noiseless world (published generation),concept EIG,background,10,2.7437311681903037e-13,2.7437311681903037e-13,2.7437311681903037e-13
noiseless world (published generation),concept EIG,background,11,2.4106642608027567e-13,2.4106642608027567e-13,2.4106642608027567e-13
noiseless world (published generation),concept EIG,background,12,7.031412489292658e-15,7.031412489292658e-15,7.031412489292658e-15
noiseless world (published generation),concept EIG,background,13,7.320070475695199e-14,7.320070475695199e-14,7.320070475695199e-14
noiseless world (published generation),concept EIG,background,14,6.417089082333405e-14,6.417089082333405e-14,6.417089082333405e-14
noiseless world (published generation),concept EIG,background,15,2.5438910237577755e-13,2.5438910237577755e-13,2.5438910237577755e-13
noisy world (sigma_true = 0.1),implemented EIG,background,1,0.19427385785738013,0.1903323390722923,0.19821537664246797
noisy world (sigma_true = 0.1),implemented EIG,background,2,0.15797364459523117,0.15380950682788405,0.16213778236257828
noisy world (sigma_true = 0.1),implemented EIG,background,3,0.1439262522677424,0.13953995790438406,0.14831254663110072
