world,metric,test_type,t,y,lo,hi
noisy world (sigma_true = 0.1),implemented EIG,background,4,0.13542028790099497,0.1305851287971843,0.14025544700480563
noisy world (sigma_true = 0.1),implemented EIG,background,5,0.1313630986806109,0.12605765242705413,0.1366685449341677
noisy world (sigma_true = 0.1),implemented EIG,background,6,0.12651665570625786,0.12142983591719865,0.1316034754953171
noisy world (sigma_true = 0.1),implemented EIG,background,7,0.12481129592960824,0.11950450228972623,0.13011808956949025
noisy world (sigma_true = 0.1),implemented EIG,background,8,0.12277162981283415,0.11839219073088907,0.12715106889477923
noisy world (sigma_true = 0.1),implemented EIG,background,9,0.11756250809102187,0.11356081852500696,0.12156419765703677
noisy world (sigma_true = 0.1),implemented EIG,background,10,0.11677791594953285,0.11331027712139301,0.1202455547776727
noisy world (sigma_true = 0.1),implemented EIG,background,11,0.11427139499120612,0.11007157287722452,0.11847121710518771
noisy world (sigma_true = 0.1),implemented EIG,background,12,0.11455493485591123,0.11039269056361198,0.11871717914821048
noisy world (sigma_true = 0.1),implemented EIG,background,13,0.1131301038557872,0.10932273464993847,0.11693747306163593
noisy world (sigma_true = 0.1),implemented EIG,background,14,0.11300855236962681,0.10964571546718449,0.11637138927206914
noisy world (sigma_true = 0.1),implemented EIG,background,15,0.11016632189355291,0.10567396853182269,0.11465867525528313
noisy world (sigma_true = 0.1),true EIG,background,1,0.07416859338045755,0.07242945367541401,0.07590773308550108
noisy world (sigma_true = 0.1),true EIG,background,2,0.06197874195145982,0.059998616201294756,0.06395886770162489
noisy world (sigma_true = 0.1),true EIG,background,3,0.05837881557797736,0.05631625429905467,0.06044137685690005
noisy world (sigma_true = 0.1),true EIG,background,4,0.056280491027043134,0.053976194555974015,0.05858478749811225
noisy world (sigma_true = 0.1),true EIG,background,5,0.055388042141052064,0.05279417433814943,0.0579819099439547
noisy world (sigma_true = 0.1),true EIG,background,6,0.05390782183177495,0.0514646433563817,0.0563510003071682
noisy world (sigma_true = 0.1),true EIG,background,7,0.05343404476030922,0.05095737540767211,0.055910714112946326
noisy world (sigma_true = 0.1),true EIG,background,8,0.052890953182358,0.050863287894670775,0.05491861847004523
noisy world (sigma_true = 0.1),true EIG,background,9,0.05088165408431467,0.049071076683204526,0.05269223148542482
noisy world (sigma_true = 0.1),true EIG,background,10,0.051064438904114405,0.04945248592367589,0.05267639188455292
noisy world (sigma_true = 0.1),true EIG,background,11,0.05022721033975322,0.0483859323668767,0.05206848831262974
noisy world (sigma_true = 0.1),true EIG,background,12,0.05059267016461036,0.048711980518892486,0.05247335981032823
noisy world (sigma_true = 0.1),true EIG,background,13,0.05022031691358842,0.04845710027852433,0.05198353354865251
noisy world (sigma_true = 0.1),true EIG,background,14,0.05021431003024267,0.048518160206778835,0.0519104598537065
noisy world (sigma_true = 0.1),true EIG,background,15,0.04896183352034718,0.046691520833871784,0.05123214620682257
noisy world (sigma_true = 0.1),concept EIG,background,1,0.02889093952497023,0.028540472619406117,0.029241406430534345
noisy world (sigma_true = 0.1),concept EIG,background,2,0.011661848967848415,0.011528119567549212,0.011795578368147618
noisy world (sigma_true = 0.1),concept EIG,background,3,0.006397002428457656,0.006332518788197776,0.006461486068717537
noisy world (sigma_true = 0.1),concept EIG,background,4,0.00406555227125753,0.0040258560247759725,0.004105248517739088
noisy world (sigma_true = 0.1),concept EIG,background,5,0.002825830057397483,0.002793920414612317,0.0028577397001826495
noisy world (sigma_true = 0.1),concept EIG,background,6,0.0020811371035976836,0.002058574642959378,0.002103699564235989
noisy world (sigma_true = 0.1),concept EIG,background,7,0.0016121035732505973,0.0015932746281957563,0.0016309325183054384
noisy world (sigma_true = 0.1),concept EIG,background,8,0.0012875273861643124,0.0012726778733666028,0.001302376898962022
noisy world (sigma_true = 0.1),concept EIG,background,9,0.0010509431510623765,0.0010393804039013602,0.0010625058982233928
noisy world (sigma_true = 0.1),concept EIG,background,10,0.0008769956755378348,0.0008670935588593357,0.0008868977922163338
noisy world (sigma_true = 0.1),concept EIG,background,11,0.0007432146775840063,0.0007354172430119422,0.0007510121121560705
noisy world (sigma_true = 0.1),concept EIG,background,12,0.000642426632106075,0.0006355681489584042,0.0006492851152537459
noisy world (sigma_true = 0.1),concept EIG,background,13,0.0005621776412906079,0.0005564421471364833,0.0005679131354447325
noisy world (sigma_true = 0.1),concept EIG,background,14,0.0004981719123333742,0.0004929697817308142,0.0005033740429359341
noisy world (sigma_true = 0.1),concept EIG,background,15,0.00044318657619676677,0.000438431159022508,0.00044794199337102556
noiseless world (published generation),implemented EIG,deviant,1,8.226926273218487e-15,8.226926273218487e-15,8.226926273218487e-15
noiseless world (published generation),implemented EIG,deviant,2,-3.3636877223681487e-15,-3.3636877223681487e-15,-3.3636877223681487e-15
noiseless world (published generation),implemented EIG,deviant,3,8.436332099519555e-15,8.436332099519555e-15,8.436332099519555e-15
noiseless world (published generation),implemented EIG,deviant,4,-2.170367984541377e-15,-2.170367984541377e-15,-2.170367984541377e-15
noiseless world (published generation),implemented EIG,deviant,5,4.734157152787779e-15,4.734157152787779e-15,4.734157152787779e-15
noiseless world (published generation),implemented EIG,deviant,6,5.119350746004974e-14,5.119350746004974e-14,5.119350746004974e-14
noiseless world (published generation),implemented EIG,deviant,7,-5.240140271755591e-14,-5.240140271755591e-14,-5.240140271755591e-14
noiseless world (published generation),implemented EIG,deviant,8,-6.727016586430633e-15,-6.727016586430633e-15,-6.727016586430633e-15
noiseless world (published generation),implemented EIG,deviant,9,4.650710212769332e-16,4.650710212769332e-16,4.650710212769332e-16
noiseless world (published generation),implemented EIG,deviant,10,1.207779915505018e-14,1.207779915505018e-14,1.207779915505018e-14
noiseless world (published generation),implemented EIG,deviant,11,-4.378402428292676e-14,-4.378402428292676e-14,-4.378402428292676e-14
noiseless world (published generation),implemented EIG,deviant,12,4.6812895276440635e-14,4.6812895276440635e-14,4.6812895276440635e-14
noiseless world (published generation),implemented EIG,deviant,13,-1.080459457033396e-14,-1.080459457033396e-14,-1.080459457033396e-14
noiseless world (published generation),implemented EIG,deviant,14,1.3727540585983896e-14,1.3727540585983896e-14,1.3727540585983896e-14
noiseless world (published generation),implemented EIG,deviant,15,2.077686556781698e-14,2.077686556781698e-14,2.077686556781698e-14
noiseless world (published generation),true EIG,deviant,1,7.230139083669126e-12,7.230139083669126e-12,7.230139083669126e-12
noiseless world (published generation),true EIG,deviant,2,2.416337625083022e-12,2.416337625083022e-12,2.416337625083022e-12
noiseless world (published generation),true EIG,deviant,3,1.1853722331126333e-12,1.1853722331126333e-12,1.1853722331126333e-12
noiseless world (published generation),true EIG,deviant,4,7.565648481965024e-13,7.565648481965024e-13,7.565648481965024e-13
noiseless world (published generation),true EIG,deviant,5,4.856508037836705e-13,4.856508037836705e-13,4.856508037836705e-13
noiseless world (published generation),true EIG,deviant,6,3.1970882750031676e-13,3.1970882750031676e-13,3.1970882750031676e-13
noiseless world (published generation),true EIG,deviant,7,5.789917620827393e-13,5.789917620827393e-13,5.789917620827393e-13
noiseless world (published generation),true EIG,deviant,8,2.3818386574433975e-13,2.3818386574433975e-13,2.3818386574433975e-13
noiseless world (published generation),true EIG,deviant,9,1.4986852097334057e-13,1.4986852097334057e-13,1.4986852097334057e-13
noiseless world (published generation),true EIG,deviant,10,1.1158475497594203e-13,1.1158475497594203e-13,1.1158475497594203e-13
noiseless world (published generation),true EIG,deviant,11,9.293795256780732e-14,9.293795256780732e-14,9.293795256780732e-14
noiseless world (published generation),true EIG,deviant,12,-1.0036230625906806e-13,-1.0036230625906806e-13,-1.0036230625906806e-13
noiseless world (published generation),true EIG,deviant,13,1.8257512315466754e-13,1.8257512315466754e-13,1.8257512315466754e-13
noiseless world (published generation),true EIG,deviant,14,7.50143897993876e-14,7.50143897993876e-14,7.50143897993876e-14
noiseless world (published generation),true EIG,deviant,15,7.218790691977066e-14,7.218790691977066e-14,7.218790691977066e-14
noiseless world (published generation),concept EIG,deviant,1,7.225775533470369e-12,7.225775533470369e-12,7.225775533470369e-12
noiseless world (published generation),concept EIG,deviant,2,2.413994929876632e-12,2.413994929876632e-12,2.413994929876632e-12
noiseless world (published generation),concept EIG,deviant,3,1.184163878065192e-12,1.184163878065192e-12,1.184163878065192e-12
noiseless world (published generation),concept EIG,deviant,4,7.528052255641645e-13,7.528052255641645e-13,7.528052255641645e-13
noiseless world (published generation),concept EIG,deviant,5,4.844273130781099e-13,4.844273130781099e-13,4.844273130781099e-13
noiseless world (published generation),concept EIG,deviant,6,3.211505135899036e-13,3.211505135899036e-13,3.211505135899036e-13
noiseless world (published generation),concept EIG,deviant,7,5.796844485909484e-13,5.796844485909484e-13,5.796844485909484e-13
noiseless world (published generation),concept EIG,deviant,8,2.3699560832331673e-13,2.3699560832331673e-13,2.3699560832331673e-13
noiseless world (published generation),concept EIG,deviant,9,1.532107773982716e-13,1.532107773982716e-13,1.532107773982716e-13
noiseless world (published generation),concept EIG,deviant,10,1.1442698640469948e-13,1.1442698640469948e-13,1.1442698640469948e-13
noiseless world (published generation),concept EIG,deviant,11,9.044616907279608e-14,9.044616907279608e-14,9.044616907279608e-14
noiseless world (published generation),concept EIG,deviant,12,-1.0288066694859784e-13,-1.0288066694859784e-13,-1.0288066694859784e-13
noiseless world (published generation),concept EIG,deviant,13,1.8355687340469254e-13,1.8355687340469254e-13,1.8355687340469254e-13
noiseless world (published generation),concept EIG,deviant,14,7.482903185973555e-14,7.482903185973555e-14,7.482903185973555e-14
noiseless world (published generation),concept EIG,deviant,15,7.194245199571014e-14,7.194245199571014e-14,7.194245199571014e-14
noisy world (sigma_true = 0.1),implemented EIG,deviant,1,0.19664711579117947,0.1928973245770089,0.20039690700535004
noisy world (sigma_true = 0.1),implemented EIG,deviant,2,0.15231592381738102,0.148830808013221,0.15580103962154104
noisy world (sigma_true = 0.1),implemented EIG,deviant,3,0.1350512874971858,0.1311449182606754,0.13895765673369623
noisy world (sigma_true = 0.1),implemented EIG,deviant,4,0.12440959562803912,0.12047063382993455,0.12834855742614368
noisy world (sigma_true = 0.1),implemented EIG,deviant,5,0.11940026687378756,0.11519844893517556,0.12360208481239957
noisy world (sigma_true = 0.1),implemented EIG,deviant,6,0.11385482582767717,0.11007553333631902,0.11763411831903532
noisy world (sigma_true = 0.1),implemented EIG,deviant,7,0.11144242310537744,0.10742683832979276,0.11545800788096212
noisy world (sigma_true = 0.1),implemented EIG,deviant,8,0.10911099517665199,0.10574802599967253,0.11247396435363144
noisy world (sigma_true = 0.1),implemented EIG,deviant,9,0.10443914043761798,0.10136303103825718,0.10751524983697879
noisy world (sigma_true = 0.1),implemented EIG,deviant,10,0.10310653339736035,0.10048038052419668,0.10573268627052403
noisy world (sigma_true = 0.1),implemented EIG,deviant,11,0.10055103341360058,0.09731007460543621,0.10379199222176495
noisy world (sigma_true = 0.1),implemented EIG,deviant,12,0.10077904948763175,0.0976344680262492,0.1039236309490143
noisy world (sigma_true = 0.1),implemented EIG,deviant,13,0.09952908721172812,0.09654502924976253,0.10251314517369371
noisy world (sigma_true = 0.1),implemented EIG,deviant,14,0.0992096819482738,0.0966677562781245,0.1017516076184231
noisy world (sigma_true = 0.1),implemented EIG,deviant,15,0.09643562624197183,0.09311933681805618,0.09975191566588748
noisy world (sigma_true = 0.1),true EIG,deviant,1,0.08340258254974008,0.08106334350076087,0.08574182159871928
noisy world (sigma_true = 0.1),true EIG,deviant,2,0.0675024618759283,0.06517778190640708,0.06982714184544953
noisy world (sigma_true = 0.1),true EIG,deviant,3,0.06196674756529981,0.05975816301449486,0.06417533211610477
noisy world (sigma_true = 0.1),true EIG,deviant,4,0.05876465670073491,0.05633643383404551,0.061192879567424315
noisy world (sigma_true = 0.1),true EIG,deviant,5,0.057188142034589204,0.054496686161373,0.05987959790780541
noisy world (sigma_true = 0.1),true EIG,deviant,6,0.05525267669945191,0.05272816307558426,0.05777719032331955
noisy world (sigma_true = 0.1),true EIG,deviant,7,0.054446347610307935,0.05191706180767922,0.05697563341293665
noisy world (sigma_true = 0.1),true EIG,deviant,8,0.053705051551007014,0.05164886652893079,0.05576123657308324
noisy world (sigma_true = 0.1),true EIG,deviant,9,0.05152954028293659,0.04969456842299039,0.05336451214288279
noisy world (sigma_true = 0.1),true EIG,deviant,10,0.05163492584059378,0.05000016222433995,0.05326968945684761
noisy world (sigma_true = 0.1),true EIG,deviant,11,0.05073394409630563,0.048882094378526586,0.05258579381408468
noisy world (sigma_true = 0.1),true EIG,deviant,12,0.051041157644557564,0.04914388662575728,0.05293842866335785
noisy world (sigma_true = 0.1),true EIG,deviant,13,0.050621184822696196,0.04884468261278467,0.05239768703260772
noisy world (sigma_true = 0.1),true EIG,deviant,14,0.05058023308152836,0.04887055320270676,0.05228991296034997
noisy world (sigma_true = 0.1),true EIG,deviant,15,0.04929769459975769,0.04701584956953175,0.051579539629983635
noisy world (sigma_true = 0.1),concept EIG,deviant,1,0.03489495035092191,0.034229593237405244,0.03556030746443858
noisy world (sigma_true = 0.1),concept EIG,deviant,2,0.01509450140975999,0.014820653034765353,0.015368349784754626
noisy world (sigma_true = 0.1),concept EIG,deviant,3,0.008510224052411584,0.008384542088595709,0.008635906016227459
noisy world (sigma_true = 0.1),concept EIG,deviant,4,0.005554148891274812,0.005456588866415917,0.005651708916133706
noisy world (sigma_true = 0.1),concept EIG,deviant,5,0.003913483600070409,0.0038438851955548874,0.00398308200458593
noisy world (sigma_true = 0.1),concept EIG,deviant,6,0.002898798656874556,0.0028484533162652973,0.0029491439974838143
noisy world (sigma_true = 0.1),concept EIG,deviant,7,0.0022304316917858445,0.0021968375780423,0.002264025805529389
noisy world (sigma_true = 0.1),concept EIG,deviant,8,0.0017753044757524913,0.001748820909450721,0.0018017880420542617
noisy world (sigma_true = 0.1),concept EIG,deviant,9,0.0014431773034716915,0.0014242089324174125,0.0014621456745259704
noisy world (sigma_true = 0.1),concept EIG,deviant,10,0.0012038931182157056,0.0011871414595313898,0.0012206447769000214
noisy world (sigma_true = 0.1),concept EIG,deviant,11,0.0010177136552244083,0.001003053548997497,0.0010323737614513196
noisy world (sigma_true = 0.1),concept EIG,deviant,12,0.0008774479070604326,0.0008643291414555044,0.0008905666726653608
noisy world (sigma_true = 0.1),concept EIG,deviant,13,0.0007649584545845651,0.0007541535507000818,0.0007757633584690485
noisy world (sigma_true = 0.1),concept EIG,deviant,14,0.0006747451989613217,0.0006656818118396352,0.0006838085860830082
noisy world (sigma_true = 0.1),concept EIG,deviant,15,0.0005994437276114368,0.0005913057729086324,0.0006075816823142412
