trial_type,trial_number,mean_sample
familiar,1,15.703811153618773
familiar,2,13.12037927556861
familiar,3,11.75779554988698
familiar,4,10.96294875837026
familiar,5,10.471705763306671
familiar,6,10.156098509907409
familiar,7,9.94748544432468
familiar,8,9.806674466962756
familiar,9,9.7102323645837
familiar,10,9.64356031852948
familiar,11,9.59726820359019
novel,2,14.039844840431249
novel,3,13.769833384008612
novel,4,13.68738873752284
novel,5,13.67418159891126
novel,6,13.698104581470128
novel,7,13.745892086663114
novel,8,13.810382928791762
novel,9,13.887071466579323
novel,10,13.972832150631644
novel,11,14.065409815609524
