metric,trial_type,trial_number,mean_sample
implemented EIG,fam,1,16.466974919467727
implemented EIG,fam,2,13.57544280313048
implemented EIG,fam,3,12.030561943406028
implemented EIG,fam,4,11.119422504482763
implemented EIG,fam,5,10.550853494628871
implemented EIG,fam,6,10.182548759818888
implemented EIG,pose,2,14.217986251631281
implemented EIG,pose,4,12.35711117997865
implemented EIG,pose,6,11.64154366169412
implemented EIG,number,2,14.759185697764524
implemented EIG,number,4,13.152810551559549
implemented EIG,number,6,12.676886024186304
implemented EIG,identity,2,14.752359817846163
implemented EIG,identity,4,14.050747454522124
implemented EIG,identity,6,13.90590636387583
implemented EIG,animacy,2,16.65672680953229
implemented EIG,animacy,4,16.125585696942746
implemented EIG,animacy,6,15.91793832350915
KL,fam,1,15.071753711466258
KL,fam,2,12.217600759431654
KL,fam,3,10.773833622401938
KL,fam,4,9.934084198895327
KL,fam,5,9.407621790485173
KL,fam,6,9.06057665935384
KL,pose,2,12.835756617643176
KL,pose,4,11.070637952539704
KL,pose,6,10.379157214683694
KL,number,2,13.379545235124363
KL,number,4,11.887974291321212
KL,number,6,11.44516534025091
KL,identity,2,13.418029352021486
KL,identity,4,12.897697580019914
KL,identity,6,12.866458923787944
KL,animacy,2,16.730789655339752
KL,animacy,4,18.120139996386726
KL,animacy,6,19.07720428985385
true EIG,fam,1,8.052719928550005
true EIG,fam,2,7.908751880632704
true EIG,fam,3,7.83819985295909
true EIG,fam,4,7.800410046413942
true EIG,fam,5,7.777164846431705
true EIG,fam,6,7.760580311138767
true EIG,pose,2,7.924334674328009
true EIG,pose,4,7.835160672297391
true EIG,pose,6,7.809385159377231
true EIG,number,2,7.937776534597776
true EIG,number,4,7.842623050776241
true EIG,number,6,7.820875933827872
true EIG,identity,2,7.924749581748409
true EIG,identity,4,7.869137305942071
true EIG,identity,6,7.885066837064925
true EIG,animacy,2,8.027489206099473
true EIG,animacy,4,8.180235829368756
true EIG,animacy,6,8.395271110471752
surprisal,fam,1,2.196128738630679
surprisal,fam,2,2.0623692627425343
surprisal,fam,3,2.005973749047173
surprisal,fam,4,1.9742719337400636
surprisal,fam,5,1.9533555523595179
surprisal,fam,6,1.9381014531705052
surprisal,pose,2,2.0846850634842187
surprisal,pose,4,2.0045523218947525
surprisal,pose,6,1.97043618781923
surprisal,number,2,2.1137851867915205
surprisal,number,4,2.0370874898371927
surprisal,number,6,2.009787315748994
surprisal,identity,2,2.112184268720775
surprisal,identity,4,2.0875846218067196
surprisal,identity,6,2.0858261962720017
surprisal,animacy,2,2.36355067985915
surprisal,animacy,4,2.569972020575269
surprisal,animacy,6,2.6924272494061756
