metric,sel,test_type,fam_duration,mean_sample
true EIG,closest to human amplitude,Familiar,3,43.505616590653894
true EIG,closest to human amplitude,Familiar,4,41.31715019525401
true EIG,closest to human amplitude,Familiar,5,39.62150226757428
true EIG,closest to human amplitude,Familiar,6,38.25672762173112
true EIG,closest to human amplitude,Familiar,7,37.127074671886064
true EIG,closest to human amplitude,Familiar,8,36.171745193789
true EIG,closest to human amplitude,Familiar,9,35.34997607998521
true EIG,closest to human amplitude,Novel,0,58.442171025236156
true EIG,closest to human amplitude,Novel,1,51.56576616912094
true EIG,closest to human amplitude,Novel,2,47.95129266327972
true EIG,closest to human amplitude,Novel,3,45.72462030970437
true EIG,closest to human amplitude,Novel,4,44.22175676851639
true EIG,closest to human amplitude,Novel,5,43.146935737539394
true EIG,closest to human amplitude,Novel,6,42.34740764426014
true EIG,closest to human amplitude,Novel,7,41.735802858485805
true EIG,closest to human amplitude,Novel,8,41.258291236488105
true EIG,closest to human amplitude,Novel,9,40.87978290592293
surprisal,best CV fit,Familiar,0,391.02891902926314
surprisal,best CV fit,Familiar,1,390.1521545834859
surprisal,best CV fit,Familiar,2,389.4927694045639
surprisal,best CV fit,Familiar,3,388.9773573192961
surprisal,best CV fit,Familiar,4,388.5620086672506
surprisal,best CV fit,Familiar,5,388.21888809774106
surprisal,best CV fit,Familiar,6,387.9295443389858
surprisal,best CV fit,Familiar,7,387.68129821484035
surprisal,best CV fit,Familiar,8,387.46516885060987
surprisal,best CV fit,Familiar,9,387.2746293789011
surprisal,best CV fit,Novel,0,390.81791023168824
surprisal,best CV fit,Novel,1,390.46852671712924
surprisal,best CV fit,Novel,2,390.27290462755633
surprisal,best CV fit,Novel,3,390.164243109521
surprisal,best CV fit,Novel,4,390.10634728357064
surprisal,best CV fit,Novel,5,390.0786049554385
surprisal,best CV fit,Novel,6,390.06886687480545
surprisal,best CV fit,Novel,7,390.0697904860918
surprisal,best CV fit,Novel,8,390.07686023862357
surprisal,best CV fit,Novel,9,390.08726750614454
surprisal,closest to human amplitude,Familiar,0,72.71219825262052
surprisal,closest to human amplitude,Familiar,1,65.71613437129587
surprisal,closest to human amplitude,Familiar,2,60.91940546066126
surprisal,closest to human amplitude,Familiar,3,57.431783854290956
surprisal,closest to human amplitude,Familiar,4,54.76534980809422
surprisal,closest to human amplitude,Familiar,5,52.6443505946418
surprisal,closest to human amplitude,Familiar,6,50.90595442184366
surprisal,closest to human amplitude,Familiar,7,49.44828244595439
surprisal,closest to human amplitude,Familiar,8,48.204009198963114
surprisal,closest to human amplitude,Familiar,9,47.126566118923826
surprisal,closest to human amplitude,Novel,0,72.6568433012789
surprisal,closest to human amplitude,Novel,1,66.4502072291148
surprisal,closest to human amplitude,Novel,2,62.340996763911356
surprisal,closest to human amplitude,Novel,3,59.467631585765396
surprisal,closest to human amplitude,Novel,4,57.36177709771957
surprisal,closest to human amplitude,Novel,5,55.75875536054159
surprisal,closest to human amplitude,Novel,6,54.50261940137395
surprisal,closest to human amplitude,Novel,7,53.49626321341001
surprisal,closest to human amplitude,Novel,8,52.675942799616166
surprisal,closest to human amplitude,Novel,9,51.99792539587971
