test_type,fam_duration,mean_sample
Familiar,0,41.87581327340385
Familiar,1,39.039479842282
Familiar,2,36.74448006009864
Familiar,3,34.860936601537475
Familiar,4,33.300223678377
Familiar,5,31.99758122117691
Familiar,6,30.90344244977779
Familiar,7,29.978939375000113
Familiar,8,29.19323800836372
Familiar,9,28.521809010241967
Novel,0,41.294669146485624
Novel,1,39.859618612360805
Novel,2,39.01416643469204
Novel,3,38.52192530521956
Novel,4,38.24354513645038
Novel,5,38.10091194282424
Novel,6,38.04868381058956
Novel,7,38.05883794122315
Novel,8,38.11309211109916
Novel,9,38.19915196955507
