subject,experiment,trial_type,trial_number,fam_duration,block_num,LT,corrected_pred,grid_pred
23,A,background,1,0,1,18.638,1.651856206598375,73.078
23,A,background,1,0,3,25.668,1.651856206598375,73.078
24,A,background,1,0,5,12.022,1.651856206598375,73.078
24,A,background,1,0,6,10.761,1.651856206598375,73.078
25,A,background,1,0,6,9.27099999999999,1.651856206598375,73.078
26,A,background,1,0,3,15.511,1.651856206598375,73.078
28,A,background,1,0,2,12.747,1.651856206598375,73.078
28,A,background,1,0,4,11.189,1.651856206598375,73.078
29,A,background,1,0,5,28.013,1.651856206598375,73.078
29,A,background,1,0,6,5.773,1.651856206598375,73.078
30,A,background,1,0,1,48.657,1.651856206598375,73.078
30,A,background,1,0,3,48.377,1.651856206598375,73.078
32,A,background,1,0,3,12.281,1.651856206598375,73.078
32,A,background,1,0,5,9.87099999999999,1.651856206598375,73.078
1,B,deviant,2,1,1,3.915,1.5732969249308335,72.9425
1,B,deviant,2,1,1,27.744,1.5732969249308335,72.9425
1,B,background,4,3,3,10.201,1.5754353613369843,62.938
1,B,background,4,3,3,7.81599999999999,1.5754353613369843,62.938
1,B,deviant,4,3,5,6.324,1.5871202624707215,69.06666666666666
2,B,background,2,1,2,6.604,1.5655472441967093,67.945
2,B,background,4,3,1,14.92,1.5754353613369843,62.938
2,B,background,4,3,1,3.87,1.5754353613369843,62.938
2,B,deviant,4,3,3,6.86,1.5871202624707215,69.06666666666666
2,B,deviant,4,3,3,3.601,1.5871202624707215,69.06666666666666
3,B,background,2,1,2,4.999,1.5655472441967093,67.945
3,B,background,2,1,2,53.927,1.5655472441967093,67.945
3,B,background,4,3,1,14.2,1.5754353613369843,62.938
3,B,background,4,3,1,50.484,1.5754353613369843,62.938
3,B,deviant,4,3,3,14.999,1.5871202624707215,69.06666666666666
3,B,deviant,4,3,3,43.855,1.5871202624707215,69.06666666666666
4,B,deviant,2,1,2,4.999,1.5732969249308335,72.9425
4,B,deviant,2,1,2,22.221,1.5732969249308335,72.9425
4,B,background,2,1,4,4.999,1.5655472441967093,67.945
4,B,background,2,1,4,25.22,1.5655472441967093,67.945
4,B,deviant,4,3,1,14.452,1.5871202624707215,69.06666666666666
4,B,deviant,4,3,1,11.591,1.5871202624707215,69.06666666666666
5,B,deviant,2,1,4,4.682,1.5732969249308335,72.9425
5,B,deviant,2,1,4,5.31,1.5732969249308335,72.9425
5,B,background,2,1,5,4.0,1.5655472441967093,67.945
5,B,background,2,1,5,2.869,1.5655472441967093,67.945
5,B,background,4,3,2,14.999,1.5754353613369843,62.938
5,B,background,4,3,2,3.321,1.5754353613369843,62.938
6,B,background,2,1,3,4.999,1.5655472441967093,67.945
6,B,background,2,1,3,27.319,1.5655472441967093,67.945
6,B,deviant,2,1,5,4.999,1.5732969249308335,72.9425
6,B,deviant,2,1,5,11.683,1.5732969249308335,72.9425
6,B,deviant,4,3,2,14.482,1.5871202624707215,69.06666666666666
6,B,deviant,4,3,2,42.102,1.5871202624707215,69.06666666666666
6,B,background,4,3,4,14.999,1.5754353613369843,62.938
6,B,background,4,3,4,7.882,1.5754353613369843,62.938
7,B,background,2,1,2,4.161,1.5655472441967093,67.945
7,B,background,2,1,2,2.14,1.5655472441967093,67.945
7,B,deviant,2,1,4,4.613,1.5732969249308335,72.9425
7,B,deviant,2,1,4,7.916,1.5732969249308335,72.9425
7,B,deviant,4,3,5,14.999,1.5871202624707215,69.06666666666666
7,B,deviant,4,3,5,41.859,1.5871202624707215,69.06666666666666
7,B,background,4,3,6,12.804,1.5754353613369843,62.938
7,B,background,4,3,6,8.257,1.5754353613369843,62.938
8,B,background,2,1,1,4.999,1.5655472441967093,67.945
8,B,background,2,1,1,18.225,1.5655472441967093,67.945
8,B,deviant,2,1,2,4.61,1.5732969249308335,72.9425
8,B,deviant,2,1,2,27.446,1.5732969249308335,72.9425
8,B,background,4,3,4,14.921,1.5754353613369843,62.938
8,B,deviant,4,3,6,2.891,1.5871202624707215,69.06666666666666
8,B,deviant,4,3,6,4.494,1.5871202624707215,69.06666666666666
9,B,deviant,2,1,1,4.999,1.5732969249308335,72.9425
9,B,deviant,2,1,1,14.037,1.5732969249308335,72.9425
9,B,background,2,1,3,3.241,1.5655472441967093,67.945
9,B,background,2,1,3,8.165,1.5655472441967093,67.945
9,B,deviant,4,3,4,3.435,1.5871202624707215,69.06666666666666
9,B,deviant,4,3,4,6.075,1.5871202624707215,69.06666666666666
10,B,deviant,2,1,3,4.442,1.5732969249308335,72.9425
10,B,deviant,2,1,3,21.231,1.5732969249308335,72.9425
10,B,background,2,1,5,2.044,1.5655472441967093,67.945
10,B,background,4,3,1,14.56,1.5754353613369843,62.938
10,B,background,4,3,1,17.711,1.5754353613369843,62.938
10,B,deviant,4,3,2,14.999,1.5871202624707215,69.06666666666666
10,B,deviant,4,3,2,11.123,1.5871202624707215,69.06666666666666
11,B,deviant,2,1,5,4.999,1.5732969249308335,72.9425
11,B,deviant,2,1,5,14.3,1.5732969249308335,72.9425
11,B,background,2,1,6,4.999,1.5655472441967093,67.945
11,B,background,2,1,6,9.46,1.5655472441967093,67.945
11,B,deviant,4,3,1,14.561,1.5871202624707215,69.06666666666666
11,B,deviant,4,3,1,18.586,1.5871202624707215,69.06666666666666
11,B,background,4,3,3,14.999,1.5754353613369843,62.938
11,B,background,4,3,3,16.041,1.5754353613369843,62.938
12,B,deviant,2,1,5,4.999,1.5732969249308335,72.9425
12,B,deviant,2,1,5,11.758,1.5732969249308335,72.9425
12,B,background,2,1,6,3.158,1.5655472441967093,67.945
12,B,background,2,1,6,11.48,1.5655472441967093,67.945
12,B,deviant,4,3,1,14.76,1.5871202624707215,69.06666666666666
12,B,deviant,4,3,1,2.95,1.5871202624707215,69.06666666666666
12,B,background,4,3,3,13.841,1.5754353613369843,62.938
12,B,background,4,3,3,13.718,1.5754353613369843,62.938
13,B,background,4,3,1,4.085,1.5754353613369843,62.938
13,B,background,4,3,1,2.242,1.5754353613369843,62.938
13,B,deviant,4,3,2,6.493,1.5871202624707215,69.06666666666666
15,B,background,2,1,1,4.999,1.5655472441967093,67.945
15,B,background,2,1,1,55.936,1.5655472441967093,67.945
15,B,deviant,2,1,2,4.999,1.5732969249308335,72.9425
15,B,deviant,2,1,2,9.103,1.5732969249308335,72.9425
15,B,background,4,3,4,9.676,1.5754353613369843,62.938
15,B,background,4,3,4,29.703,1.5754353613369843,62.938
15,B,deviant,4,3,6,14.125,1.5871202624707215,69.06666666666666
15,B,deviant,4,3,6,8.972,1.5871202624707215,69.06666666666666
16,B,background,2,1,1,4.131,1.5655472441967093,67.945
16,B,background,2,1,1,10.783,1.5655472441967093,67.945
16,B,deviant,2,1,2,4.999,1.5732969249308335,72.9425
16,B,deviant,2,1,2,3.323,1.5732969249308335,72.9425
16,B,background,4,3,4,2.834,1.5754353613369843,62.938
16,B,deviant,4,3,6,2.243,1.5871202624707215,69.06666666666666
16,B,deviant,4,3,6,8.52,1.5871202624707215,69.06666666666666
17,B,background,2,1,4,4.322,1.5655472441967093,67.945
17,B,deviant,2,1,6,5.71,1.5732969249308335,72.9425
17,B,deviant,4,3,3,7.379,1.5871202624707215,69.06666666666666
17,B,deviant,4,3,3,18.105,1.5871202624707215,69.06666666666666
17,B,background,4,3,5,6.102,1.5754353613369843,62.938
17,B,background,4,3,5,4.014,1.5754353613369843,62.938
18,B,background,2,1,4,3.383,1.5655472441967093,67.945
18,B,background,2,1,4,6.087,1.5655472441967093,67.945
18,B,deviant,2,1,6,4.442,1.5732969249308335,72.9425
19,B,deviant,2,1,1,4.999,1.5732969249308335,72.9425
19,B,deviant,2,1,1,33.832,1.5732969249308335,72.9425
19,B,background,2,1,3,4.999,1.5655472441967093,67.945
19,B,background,2,1,3,5.225,1.5655472441967093,67.945
19,B,background,4,3,2,14.999,1.5754353613369843,62.938
19,B,background,4,3,2,7.353,1.5754353613369843,62.938
19,B,deviant,4,3,4,14.999,1.5871202624707215,69.06666666666666
19,B,deviant,4,3,4,2.805,1.5871202624707215,69.06666666666666
20,B,deviant,2,1,3,4.999,1.5732969249308335,72.9425
20,B,deviant,2,1,3,55.363,1.5732969249308335,72.9425
20,B,background,2,1,5,4.999,1.5655472441967093,67.945
20,B,background,2,1,5,15.781,1.5655472441967093,67.945
20,B,background,4,3,1,14.999,1.5754353613369843,62.938
20,B,background,4,3,1,58.923,1.5754353613369843,62.938
20,B,deviant,4,3,2,14.999,1.5871202624707215,69.06666666666666
20,B,deviant,4,3,2,45.799,1.5871202624707215,69.06666666666666
21,B,deviant,2,1,5,4.999,1.5732969249308335,72.9425
21,B,deviant,2,1,5,10.319,1.5732969249308335,72.9425
21,B,background,2,1,6,4.999,1.5655472441967093,67.945
21,B,background,2,1,6,14.522,1.5655472441967093,67.945
21,B,deviant,4,3,1,14.999,1.5871202624707215,69.06666666666666
21,B,deviant,4,3,1,30.463,1.5871202624707215,69.06666666666666
21,B,background,4,3,3,14.999,1.5754353613369843,62.938
21,B,background,4,3,3,8.245,1.5754353613369843,62.938
22,B,deviant,2,1,1,4.999,1.5732969249308335,72.9425
22,B,deviant,2,1,1,16.737,1.5732969249308335,72.9425
22,B,background,2,1,3,4.999,1.5655472441967093,67.945
22,B,background,2,1,3,21.806,1.5655472441967093,67.945
22,B,background,4,3,2,14.999,1.5754353613369843,62.938
22,B,background,4,3,2,44.855,1.5754353613369843,62.938
22,B,deviant,4,3,4,14.999,1.5871202624707215,69.06666666666666
22,B,deviant,4,3,4,18.164,1.5871202624707215,69.06666666666666
24,B,background,2,1,4,4.999,1.5655472441967093,67.945
24,B,background,2,1,4,5.938,1.5655472441967093,67.945
24,B,deviant,2,1,6,4.999,1.5732969249308335,72.9425
24,B,deviant,2,1,6,6.185,1.5732969249308335,72.9425
24,B,deviant,4,3,3,14.999,1.5871202624707215,69.06666666666666
24,B,deviant,4,3,3,6.132,1.5871202624707215,69.06666666666666
24,B,background,4,3,5,14.999,1.5754353613369843,62.938
24,B,background,4,3,5,22.828,1.5754353613369843,62.938
26,B,background,2,1,1,4.999,1.5655472441967093,67.945
26,B,background,2,1,1,13.561,1.5655472441967093,67.945
26,B,deviant,2,1,2,3.724,1.5732969249308335,72.9425
26,B,deviant,2,1,2,3.602,1.5732969249308335,72.9425
26,B,background,4,3,4,13.762,1.5754353613369843,62.938
26,B,background,4,3,4,2.463,1.5754353613369843,62.938
26,B,deviant,4,3,6,8.137,1.5871202624707215,69.06666666666666
26,B,deviant,4,3,6,9.943,1.5871202624707215,69.06666666666666
27,B,background,2,1,4,4.999,1.5655472441967093,67.945
27,B,background,2,1,4,33.958,1.5655472441967093,67.945
27,B,deviant,2,1,6,4.999,1.5732969249308335,72.9425
27,B,deviant,2,1,6,6.17,1.5732969249308335,72.9425
27,B,deviant,4,3,3,13.96,1.5871202624707215,69.06666666666666
27,B,deviant,4,3,3,17.425,1.5871202624707215,69.06666666666666
27,B,background,4,3,5,14.48,1.5754353613369843,62.938
27,B,background,4,3,5,4.287,1.5754353613369843,62.938
28,B,deviant,2,1,1,4.999,1.5732969249308335,72.9425
28,B,deviant,2,1,1,46.784,1.5732969249308335,72.9425
28,B,background,2,1,3,4.999,1.5655472441967093,67.945
28,B,background,2,1,3,11.758,1.5655472441967093,67.945
28,B,background,4,3,2,13.073,1.5754353613369843,62.938
28,B,background,4,3,2,8.598,1.5754353613369843,62.938
28,B,deviant,4,3,4,14.999,1.5871202624707215,69.06666666666666
28,B,deviant,4,3,4,18.787,1.5871202624707215,69.06666666666666
29,B,deviant,2,1,5,4.999,1.5732969249308335,72.9425
29,B,deviant,2,1,5,2.988,1.5732969249308335,72.9425
29,B,background,2,1,6,4.76,1.5655472441967093,67.945
29,B,background,2,1,6,4.871,1.5655472441967093,67.945
29,B,deviant,4,3,1,14.999,1.5871202624707215,69.06666666666666
29,B,deviant,4,3,1,22.635,1.5871202624707215,69.06666666666666
29,B,background,4,3,3,14.999,1.5754353613369843,62.938
29,B,background,4,3,3,8.753,1.5754353613369843,62.938
30,B,background,2,1,4,4.999,1.5655472441967093,67.945
30,B,background,2,1,4,9.809,1.5655472441967093,67.945
30,B,deviant,2,1,6,4.999,1.5732969249308335,72.9425
30,B,deviant,2,1,6,21.589,1.5732969249308335,72.9425
30,B,deviant,4,3,3,14.72,1.5871202624707215,69.06666666666666
30,B,deviant,4,3,3,8.739,1.5871202624707215,69.06666666666666
30,B,background,4,3,5,14.122,1.5754353613369843,62.938
30,B,background,4,3,5,5.079,1.5754353613369843,62.938
31,B,background,2,1,2,4.999,1.5655472441967093,67.945
31,B,background,2,1,2,25.477,1.5655472441967093,67.945
31,B,deviant,2,1,4,4.999,1.5732969249308335,72.9425
31,B,deviant,2,1,4,8.964,1.5732969249308335,72.9425
31,B,deviant,4,3,5,13.401,1.5871202624707215,69.06666666666666
31,B,deviant,4,3,5,3.871,1.5871202624707215,69.06666666666666
31,B,background,4,3,6,6.299,1.5754353613369843,62.938
32,B,deviant,2,1,3,4.999,1.5732969249308335,72.9425
32,B,deviant,2,1,3,20.885,1.5732969249308335,72.9425
32,B,background,2,1,5,4.999,1.5655472441967093,67.945
32,B,background,2,1,5,34.215,1.5655472441967093,67.945
32,B,background,4,3,1,14.999,1.5754353613369843,62.938
32,B,background,4,3,1,60.0,1.5754353613369843,62.938
32,B,deviant,4,3,2,14.999,1.5871202624707215,69.06666666666666
32,B,deviant,4,3,2,31.751,1.5871202624707215,69.06666666666666
33,B,background,2,1,2,4.999,1.5655472441967093,67.945
33,B,background,2,1,2,56.012,1.5655472441967093,67.945
33,B,deviant,2,1,4,4.999,1.5732969249308335,72.9425
33,B,deviant,2,1,4,35.624,1.5732969249308335,72.9425
33,B,deviant,4,3,5,14.999,1.5871202624707215,69.06666666666666
33,B,deviant,4,3,5,26.233,1.5871202624707215,69.06666666666666
33,B,background,4,3,6,14.999,1.5754353613369843,62.938
33,B,background,4,3,6,25.346,1.5754353613369843,62.938
34,B,deviant,2,1,1,4.999,1.5732969249308335,72.9425
34,B,deviant,2,1,1,50.8,1.5732969249308335,72.9425
34,B,background,2,1,3,4.999,1.5655472441967093,67.945
34,B,background,2,1,3,23.474,1.5655472441967093,67.945
34,B,background,4,3,2,14.76,1.5754353613369843,62.938
34,B,background,4,3,2,31.821,1.5754353613369843,62.938
34,B,deviant,4,3,4,14.602,1.5871202624707215,69.06666666666666
34,B,deviant,4,3,4,27.437,1.5871202624707215,69.06666666666666
35,B,background,2,1,2,3.122,1.5655472441967093,67.945
35,B,background,2,1,2,12.499,1.5655472441967093,67.945
35,B,deviant,2,1,4,3.48,1.5732969249308335,72.9425
35,B,deviant,2,1,4,19.619,1.5732969249308335,72.9425
35,B,deviant,4,3,5,14.999,1.5871202624707215,69.06666666666666
35,B,deviant,4,3,5,5.214,1.5871202624707215,69.06666666666666
35,B,background,4,3,6,2.533,1.5754353613369843,62.938
1,C,background,3,2,1,9.999,1.5595380259487914,66.4485
1,C,background,3,2,1,15.704,1.5595380259487914,66.4485
1,C,deviant,3,2,2,9.999,1.5706285464851073,70.08585858585859
1,C,deviant,3,2,2,23.176,1.5706285464851073,70.08585858585859
2,C,background,3,2,1,9.999,1.5595380259487914,66.4485
2,C,background,3,2,1,59.121,1.5595380259487914,66.4485
2,C,deviant,3,2,2,9.999,1.5706285464851073,70.08585858585859
2,C,deviant,3,2,2,55.075,1.5706285464851073,70.08585858585859
3,C,deviant,3,2,1,9.999,1.5706285464851073,70.08585858585859
3,C,deviant,3,2,1,57.483,1.5706285464851073,70.08585858585859
3,C,background,3,2,3,9.999,1.5595380259487914,66.4485
3,C,background,3,2,3,13.216,1.5595380259487914,66.4485
4,C,background,3,2,4,6.284,1.5595380259487914,66.4485
4,C,background,3,2,4,7.004,1.5595380259487914,66.4485
4,C,deviant,3,2,6,9.976,1.5706285464851073,70.08585858585859
4,C,deviant,3,2,6,8.565,1.5706285464851073,70.08585858585859
5,C,deviant,3,2,3,9.439,1.5706285464851073,70.08585858585859
5,C,deviant,3,2,3,25.763,1.5706285464851073,70.08585858585859
5,C,background,3,2,5,9.999,1.5595380259487914,66.4485
5,C,background,3,2,5,4.773,1.5595380259487914,66.4485
6,C,background,3,2,2,9.999,1.5595380259487914,66.4485
6,C,background,3,2,2,19.379,1.5595380259487914,66.4485
6,C,deviant,3,2,4,9.999,1.5706285464851073,70.08585858585859
6,C,deviant,3,2,4,11.839,1.5706285464851073,70.08585858585859
7,C,deviant,3,2,3,9.999,1.5706285464851073,70.08585858585859
7,C,background,3,2,5,9.999,1.5595380259487914,66.4485
7,C,background,3,2,5,60.0,1.5595380259487914,66.4485
8,C,deviant,3,2,5,9.2,1.5706285464851073,70.08585858585859
8,C,deviant,3,2,5,5.774,1.5706285464851073,70.08585858585859
8,C,background,3,2,6,2.104,1.5595380259487914,66.4485
8,C,background,3,2,6,2.186,1.5595380259487914,66.4485
9,C,background,3,2,4,9.72,1.5595380259487914,66.4485
9,C,background,3,2,4,10.932,1.5595380259487914,66.4485
9,C,deviant,3,2,6,9.203,1.5706285464851073,70.08585858585859
9,C,deviant,3,2,6,6.472,1.5706285464851073,70.08585858585859
10,C,background,3,2,2,10.38,1.5595380259487914,66.4485
11,C,deviant,3,2,1,9.999,1.5706285464851073,70.08585858585859
11,C,deviant,3,2,1,22.673,1.5706285464851073,70.08585858585859
11,C,background,3,2,3,9.999,1.5595380259487914,66.4485
11,C,background,3,2,3,7.608,1.5595380259487914,66.4485
12,C,background,3,2,1,9.999,1.5595380259487914,66.4485
12,C,background,3,2,1,55.925,1.5595380259487914,66.4485
12,C,deviant,3,2,2,9.999,1.5706285464851073,70.08585858585859
12,C,deviant,3,2,2,16.393,1.5706285464851073,70.08585858585859
14,C,background,3,2,4,9.08,1.5595380259487914,66.4485
14,C,background,3,2,4,5.153,1.5595380259487914,66.4485
14,C,deviant,3,2,6,5.714,1.5706285464851073,70.08585858585859
14,C,deviant,3,2,6,4.402,1.5706285464851073,70.08585858585859
15,C,background,3,2,2,9.999,1.5595380259487914,66.4485
15,C,background,3,2,2,8.356,1.5595380259487914,66.4485
15,C,deviant,3,2,4,9.999,1.5706285464851073,70.08585858585859
16,C,deviant,3,2,3,3.958,1.5706285464851073,70.08585858585859
16,C,background,3,2,5,7.841,1.5595380259487914,66.4485
16,C,background,3,2,5,2.779,1.5595380259487914,66.4485
17,C,deviant,3,2,1,9.999,1.5706285464851073,70.08585858585859
17,C,deviant,3,2,1,22.591,1.5706285464851073,70.08585858585859
17,C,background,3,2,3,9.999,1.5595380259487914,66.4485
17,C,background,3,2,3,13.796,1.5595380259487914,66.4485
18,C,background,3,2,2,9.999,1.5595380259487914,66.4485
18,C,background,3,2,2,41.688,1.5595380259487914,66.4485
18,C,deviant,3,2,4,9.999,1.5706285464851073,70.08585858585859
18,C,deviant,3,2,4,24.517,1.5706285464851073,70.08585858585859
19,C,deviant,3,2,3,9.121,1.5706285464851073,70.08585858585859
19,C,deviant,3,2,3,2.045,1.5706285464851073,70.08585858585859
19,C,background,3,2,5,7.029,1.5595380259487914,66.4485
19,C,background,3,2,5,12.909,1.5595380259487914,66.4485
20,C,background,3,2,1,9.999,1.5595380259487914,66.4485
20,C,background,3,2,1,13.952,1.5595380259487914,66.4485
20,C,deviant,3,2,2,9.999,1.5706285464851073,70.08585858585859
20,C,deviant,3,2,2,8.181,1.5706285464851073,70.08585858585859
21,C,deviant,3,2,5,9.481,1.5706285464851073,70.08585858585859
21,C,deviant,3,2,5,6.546,1.5706285464851073,70.08585858585859
21,C,background,3,2,6,9.999,1.5595380259487914,66.4485
21,C,background,3,2,6,22.241,1.5595380259487914,66.4485
22,C,background,3,2,1,9.999,1.5595380259487914,66.4485
22,C,background,3,2,1,28.353,1.5595380259487914,66.4485
22,C,deviant,3,2,2,8.801,1.5706285464851073,70.08585858585859
22,C,deviant,3,2,2,4.062,1.5706285464851073,70.08585858585859
23,C,deviant,3,2,5,9.999,1.5706285464851073,70.08585858585859
23,C,deviant,3,2,5,29.96,1.5706285464851073,70.08585858585859
23,C,background,3,2,6,9.999,1.5595380259487914,66.4485
23,C,background,3,2,6,40.292,1.5595380259487914,66.4485
24,C,background,3,2,4,9.999,1.5595380259487914,66.4485
24,C,background,3,2,4,6.236,1.5595380259487914,66.4485
24,C,deviant,3,2,6,6.202,1.5706285464851073,70.08585858585859
24,C,deviant,3,2,6,20.722,1.5706285464851073,70.08585858585859
27,C,deviant,3,2,1,4.792,1.5706285464851073,70.08585858585859
27,C,deviant,3,2,1,36.908,1.5706285464851073,70.08585858585859
27,C,background,3,2,3,9.999,1.5595380259487914,66.4485
27,C,background,3,2,3,8.534,1.5595380259487914,66.4485
28,C,background,3,2,2,9.999,1.5595380259487914,66.4485
28,C,background,3,2,2,6.142,1.5595380259487914,66.4485
28,C,deviant,3,2,4,9.999,1.5706285464851073,70.08585858585859
28,C,deviant,3,2,4,9.022,1.5706285464851073,70.08585858585859
29,C,background,3,2,1,9.999,1.5595380259487914,66.4485
29,C,background,3,2,1,60.0,1.5595380259487914,66.4485
29,C,deviant,3,2,2,9.999,1.5706285464851073,70.08585858585859
29,C,deviant,3,2,2,58.081,1.5706285464851073,70.08585858585859
30,C,deviant,3,2,1,9.999,1.5706285464851073,70.08585858585859
30,C,deviant,3,2,1,15.992,1.5706285464851073,70.08585858585859
30,C,background,3,2,3,8.96,1.5595380259487914,66.4485
30,C,background,3,2,3,4.647,1.5595380259487914,66.4485
31,C,deviant,3,2,3,4.765,1.5706285464851073,70.08585858585859
31,C,background,3,2,5,3.897,1.5595380259487914,66.4485
32,C,deviant,3,2,5,9.808,1.5706285464851073,70.08585858585859
32,C,background,3,2,6,9.999,1.5595380259487914,66.4485
32,C,background,3,2,6,5.818,1.5595380259487914,66.4485
33,C,background,3,2,4,9.162,1.5595380259487914,66.4485
33,C,background,3,2,4,23.559,1.5595380259487914,66.4485
33,C,deviant,3,2,6,9.999,1.5706285464851073,70.08585858585859
33,C,deviant,3,2,6,14.155,1.5706285464851073,70.08585858585859
34,C,background,3,2,2,9.999,1.5595380259487914,66.4485
34,C,background,3,2,2,6.675,1.5595380259487914,66.4485
37,C,deviant,3,2,5,9.999,1.5706285464851073,70.08585858585859
37,C,deviant,3,2,5,26.0,1.5706285464851073,70.08585858585859
37,C,background,3,2,6,9.88,1.5595380259487914,66.4485
37,C,background,3,2,6,28.868,1.5595380259487914,66.4485
