subject,experiment,trial_type,trial_number,fam_duration,block_num,LT,corrected_pred,grid_pred
1,A,background,1,0,1,25.38,1.651856206598375,73.078
1,A,background,1,0,3,12.484,1.651856206598375,73.078
2,A,background,1,0,3,7.95599999999999,1.651856206598375,73.078
2,A,background,1,0,5,4.721,1.651856206598375,73.078
3,A,background,1,0,5,5.477,1.651856206598375,73.078
3,A,background,1,0,6,7.87699999999999,1.651856206598375,73.078
5,A,background,1,0,2,58.006,1.651856206598375,73.078
5,A,background,1,0,4,8.905,1.651856206598375,73.078
6,A,background,1,0,2,23.318,1.651856206598375,73.078
6,A,background,1,0,4,8.033,1.651856206598375,73.078
7,A,background,1,0,2,22.259,1.651856206598375,73.078
7,A,background,1,0,4,7.36,1.651856206598375,73.078
8,A,background,1,0,1,33.645,1.651856206598375,73.078
8,A,background,1,0,2,23.019,1.651856206598375,73.078
9,A,background,1,0,1,26.735,1.651856206598375,73.078
9,A,background,1,0,3,9.62899999999999,1.651856206598375,73.078
10,A,background,1,0,3,11.42,1.651856206598375,73.078
10,A,background,1,0,5,5.936,1.651856206598375,73.078
11,A,background,1,0,5,23.253,1.651856206598375,73.078
11,A,background,1,0,6,22.519,1.651856206598375,73.078
12,A,background,1,0,1,15.96,1.651856206598375,73.078
12,A,background,1,0,2,34.552,1.651856206598375,73.078
13,A,background,1,0,5,7.358,1.651856206598375,73.078
13,A,background,1,0,6,2.241,1.651856206598375,73.078
14,A,background,1,0,4,17.305,1.651856206598375,73.078
14,A,background,1,0,6,7.356,1.651856206598375,73.078
15,A,background,1,0,5,54.091,1.651856206598375,73.078
15,A,background,1,0,6,8.759,1.651856206598375,73.078
16,A,background,1,0,3,56.448,1.651856206598375,73.078
16,A,background,1,0,5,26.836,1.651856206598375,73.078
17,A,background,1,0,1,44.785,1.651856206598375,73.078
17,A,background,1,0,2,20.521,1.651856206598375,73.078
18,A,background,1,0,4,41.359,1.651856206598375,73.078
18,A,background,1,0,6,11.453,1.651856206598375,73.078
19,A,background,1,0,6,11.771,1.651856206598375,73.078
20,A,background,1,0,3,14.035,1.651856206598375,73.078
20,A,background,1,0,5,18.931,1.651856206598375,73.078
21,A,background,1,0,1,12.809,1.651856206598375,73.078
22,A,background,1,0,1,24.193,1.651856206598375,73.078
22,A,background,1,0,2,40.942,1.651856206598375,73.078
