V_prior,alpha_prior,beta_prior,eps_fixed,world_EIGs,rmse,r2
1.0,0.1,0.1,0.1,0.0001,3.9552592409468286,0.5900240834406737
1.0,0.1,0.1,0.1,0.00021544346900318845,3.963671153393232,0.5843821928086622
1.0,0.1,0.1,0.1,0.00046415888336127773,3.973769430221543,0.5775019494565508
1.0,0.1,0.1,0.1,0.001,3.985168255091829,0.5695420225297239
1.0,0.1,0.1,0.1,0.002154434690031882,3.996920434250891,0.5611189949934028
1.0,0.1,0.1,0.1,0.004641588833612777,4.009671565900398,0.5527494956948034
1.0,0.1,0.1,0.1,0.01,4.022886667754252,0.5457090291219556
1.0,0.1,0.1,0.1,0.021544346900318822,4.034118528941458,0.5408060367045716
1.0,0.1,0.1,0.1,0.046415888336127774,4.042028069453256,0.5376916220182494
1.0,0.1,0.1,0.1,0.1,4.046803253978915,0.5358577986669584
1.0,0.1,0.1,0.2,0.0001,4.2500979967456995,0.37865717148299977
1.0,0.1,0.1,0.2,0.00021544346900318845,4.341392323839859,0.30785185297076456
1.0,0.1,0.1,0.2,0.00046415888336127773,4.457433882497577,0.21407315180046585
1.0,0.1,0.1,0.2,0.001,4.580619056858121,0.10920111424897429
1.0,0.1,0.1,0.2,0.002154434690031882,4.668914376673307,0.02832031614049325
1.0,0.1,0.1,0.2,0.004641588833612777,4.693186778258692,0.00029172092574363353
1.0,0.1,0.1,0.2,0.01,4.679242304490879,0.006858371450652609
1.0,0.1,0.1,0.2,0.021544346900318822,4.663481354854298,0.01744736583970332
1.0,0.1,0.1,0.2,0.046415888336127774,4.655039962823861,0.023359941302309714
1.0,0.1,0.1,0.2,0.1,4.651294229950717,0.02600965442705525
1.0,0.1,0.1,0.3,0.0001,4.6924890450401495,0.00635598881334068
1.0,0.1,0.1,0.3,0.00021544346900318845,4.670759323632151,0.012648452562847128
1.0,0.1,0.1,0.3,0.00046415888336127773,4.578261676045963,0.07973898753013302
1.0,0.1,0.1,0.3,0.001,4.464673431417275,0.1656898631804717
1.0,0.1,0.1,0.3,0.002154434690031882,4.3696607577719035,0.23675865344247365
1.0,0.1,0.1,0.3,0.004641588833612777,4.308116750710901,0.28093417616106386
1.0,0.1,0.1,0.3,0.01,4.280353288199054,0.29902580539054013
1.0,0.1,0.1,0.3,0.021544346900318822,4.276038934484334,0.3001460002178372
1.0,0.1,0.1,0.3,0.046415888336127774,4.280685040582222,0.2954996720008607
1.0,0.1,0.1,0.3,0.1,4.285691197311451,0.2912011130391645
1.0,0.1,0.1,0.5,0.0001,4.3012916407472055,0.28651295593890536
1.0,0.1,0.1,0.5,0.00021544346900318845,4.233620080676319,0.33643368944323726
1.0,0.1,0.1,0.5,0.00046415888336127773,4.187063383206713,0.3695028723626693
1.0,0.1,0.1,0.5,0.001,4.1604233367614425,0.3866191318475118
1.0,0.1,0.1,0.5,0.002154434690031882,4.154500734824627,0.38757707921475165
1.0,0.1,0.1,0.5,0.004641588833612777,4.170705687086042,0.3723774770773906
1.0,0.1,0.1,0.5,0.01,4.204076417237769,0.34581724394684293
1.0,0.1,0.1,0.5,0.021544346900318822,4.2404625636934465,0.31838509023767647
1.0,0.1,0.1,0.5,0.046415888336127774,4.267931455163009,0.29815265424545906
1.0,0.1,0.1,0.5,0.1,4.284408595549364,0.2861405307921112
1.0,0.1,0.1,0.8,0.0001,4.120864533674178,0.4166510043418754
1.0,0.1,0.1,0.8,0.00021544346900318845,4.1124680977941,0.42044838550667313
1.0,0.1,0.1,0.8,0.00046415888336127773,4.1182924795997735,0.41306278046501127
1.0,0.1,0.1,0.8,0.001,4.141898980141584,0.3924908497605417
1.0,0.1,0.1,0.8,0.002154434690031882,4.184972067513248,0.35854263510150114
1.0,0.1,0.1,0.8,0.004641588833612777,4.241376892140174,0.3164175273578908
1.0,0.1,0.1,0.8,0.01,4.296429458098387,0.27648459293913336
1.0,0.1,0.1,0.8,0.021544346900318822,4.337461414336815,0.24713479905999408
1.0,0.1,0.1,0.8,0.046415888336127774,4.362334821298691,0.22945198406834935
1.0,0.1,0.1,0.8,0.1,4.375580594625687,0.22006042599718564
1.0,0.1,1.0,0.1,0.0001,3.792163524031988,0.6662483834152174
1.0,0.1,1.0,0.1,0.00021544346900318845,3.8058347670517194,0.6623475251413808
1.0,0.1,1.0,0.1,0.00046415888336127773,3.81821013050004,0.658415604705041
1.0,0.1,1.0,0.1,0.001,3.8263762463378734,0.655640951150676
1.0,0.1,1.0,0.1,0.002154434690031882,3.8308995495531413,0.6540472810824275
1.0,0.1,1.0,0.1,0.004641588833612777,3.833186824908345,0.6532266627409299
