figure,r2,r2_mc_lo,r2_mc_hi,rmse_insample,a,b,n,setting,rmse_cv,rollouts
exp1_infants,0.7473754425198478,,,1.542108650649153,-46.901914785370025,1.4079895580185822,15,V3 a1 b0.1 sd1 st0.2 w1.0e-05,4.080889052644567,32
exp1_adults,0.8512698052774882,0.7944756886170975,0.8775737481683307,0.1404150897553331,-4.075276869249068,0.5386901941418312,21,V3 a1 b0.1 sd0.5 st0.1 w1.0e-04,0.13093772396272174,512
exp2_infants,0.5096167446995887,0.4546766235422028,0.5615106497702119,1.4981387511853785,1.2538381458512724,0.42070285998241713,5,V3 a1 b0.1 sd1 st0.2 w1.0e-05,,8
exp2_adults,0.7869995143670229,0.7420951455952626,0.8148877159326418,0.1378237697455174,-1.8135425065407271,0.33341414382510864,18,V3 a1 b0.1 sd0.5 st0.1 w1.0e-04,,512
