trial_type,trial_number,mean_sample
fam,1,5.427286176816085
fam,2,4.4274543964745465
fam,3,3.884894018888166
fam,4,3.539495849221346
fam,5,3.2953176039581775
fam,6,3.109956194643251
pose,2,4.521210151946543
pose,4,3.6341014810324936
pose,6,3.2086835535865172
number,2,4.544664810831452
number,4,3.7793116779578972
number,6,3.4215986862216186
identity,2,4.667053027189428
identity,4,4.122629306269313
identity,6,3.866329013314738
animacy,2,5.637940189652446
animacy,4,5.813939606696828
animacy,6,5.916716319364353
