metric,r2_21,r2_21_grid,panel,setting,bg1,bg11,dev10,hab,dis
implemented EIG,0.2224538907099069,0.281765489995687,implemented EIG  (R2 = 0.22),V3 a1 b1 sd0.5 st0.1 w1.0e-02,14.870338983050848,4.452966101694916,4.323940677966101,0.29945289793127033,0.9710248358549813
KL,0.2716954273138764,0.3322453502063504,KL  (R2 = 0.27),V1 a10 b0.1 sd1 st0.1 w3.2e-01,2.785381355932204,1.2745762711864406,1.421398305084746,0.45759488856773395,1.1151928191489364
true EIG,0.2346212902986345,0.2650704829639124,true EIG  (R2 = 0.23),V1 a10 b0.1 sd0.5 st0.1 w3.2e-03,30.96334745762712,6.963771186440678,7.44385593220339,0.22490369285719175,1.0689403389211718
concept EIG,0.8898168748088441,0.7417872294606525,concept EIG  (R2 = 0.89),V3 a1 b0.1 sd1 st0.1 w3.2e-05,19.33008474576271,16.408898305084747,18.705932203389832,0.84887875665841,1.1399870884441574
surprisal,0.8263479130848553,0.3602568245689877,surprisal  (R2 = 0.83),V1 a10 b0.1 sd1 st0.1 w4.0e-01,14.335805084745765,12.178389830508475,13.071186440677966,0.8495086085864183,1.0733099057096134
