panel,trial_type,trial_number,y,lo,hi
surprisal  (R2 = 0.50),familiar,3,43.385416666666664,,
surprisal  (R2 = 0.50),familiar,4,43.802083333333336,,
surprisal  (R2 = 0.50),familiar,5,45.239583333333336,,
surprisal  (R2 = 0.50),familiar,6,46.072916666666664,,
surprisal  (R2 = 0.50),familiar,7,41.864583333333336,,
surprisal  (R2 = 0.50),familiar,8,42.65625,,
surprisal  (R2 = 0.50),familiar,9,45.40625,,
surprisal  (R2 = 0.50),familiar,10,45.354166666666664,,
surprisal  (R2 = 0.50),familiar,11,42.447916666666664,,
surprisal  (R2 = 0.50),novel,2,47.541666666666664,,
surprisal  (R2 = 0.50),novel,3,48.395833333333336,,
surprisal  (R2 = 0.50),novel,4,47.302083333333336,,
surprisal  (R2 = 0.50),novel,5,47.677083333333336,,
surprisal  (R2 = 0.50),novel,6,49.697916666666664,,
surprisal  (R2 = 0.50),novel,7,43.885416666666664,,
surprisal  (R2 = 0.50),novel,8,48.1875,,
surprisal  (R2 = 0.50),novel,9,52.625,,
surprisal  (R2 = 0.50),novel,10,51.020833333333336,,
surprisal  (R2 = 0.50),novel,11,45.635416666666664,,
