figure,trial_type,x,mean_sample,se_sample,scaled,se_scaled,scored
exp1_infants,familiar,0.0,47.78643325646951,,20.380884254690955,,True
exp1_infants,familiar,1.0,46.27549648641362,,18.253501059625947,,True
exp1_infants,familiar,2.0,45.496489451220505,,17.15666728845102,,True
exp1_infants,familiar,3.0,44.70826906765546,,16.04686121897403,,True
exp1_infants,familiar,4.0,44.0368223437628,,15.101471242967385,,True
exp1_infants,familiar,5.0,43.51002436152905,,14.359745184797,,False
exp1_infants,familiar,6.0,42.89437681146082,,13.492919862881223,,True
exp1_infants,familiar,7.0,42.365949021615926,,12.748899052612764,,False
exp1_infants,familiar,8.0,41.90109165731359,,12.094384737707038,,True
exp1_infants,familiar,9.0,41.71721852629914,,11.835493289238514,,True
exp1_infants,novel,0.0,47.41671860134209,,19.860329880825105,,False
exp1_infants,novel,1.0,46.91752821230289,,19.157475025594678,,True
exp1_infants,novel,2.0,46.71484704431915,,18.872102057466563,,True
exp1_infants,novel,3.0,46.74928951695554,,18.92059669929094,,True
exp1_infants,novel,4.0,46.60066445199513,,18.71133415976685,,True
exp1_infants,novel,5.0,46.85274599589865,,19.066262341352214,,False
exp1_infants,novel,6.0,46.79831649459313,,18.98962617186588,,True
exp1_infants,novel,7.0,46.67659183472912,,18.818239121823993,,False
exp1_infants,novel,8.0,46.67584979586934,,18.817194338857774,,True
exp1_infants,novel,9.0,46.63299724775331,,18.756858398575915,,True
exp1_adults,familiar,1.0,13.535807291666666,0.0872832111557069,3.216329788565262,0.0470186099627902,True
exp1_adults,familiar,2.0,12.228515625,0.0885470437613161,2.512104586848598,0.04769942419446859,True
exp1_adults,familiar,3.0,11.807291666666666,0.0863719473929992,2.2851953709568233,0.046527721109542765,True
exp1_adults,familiar,4.0,11.692057291666666,0.085544911246978,2.2231197431162615,0.046082204847480296,True
exp1_adults,familiar,5.0,11.57421875,0.0844746964917369,2.159641276228455,0.04550569065320602,True
exp1_adults,familiar,6.0,11.281575520833334,0.0843293118552721,2.001997238294371,0.045427373375163546,True
exp1_adults,familiar,7.0,11.2373046875,0.0834422050419397,1.9781489744912166,0.04494949763366498,True
exp1_adults,familiar,8.0,11.306315104166666,0.0856263050217697,2.0153242092431913,0.04612605087582477,True
exp1_adults,familiar,9.0,11.2275390625,0.086052995749981,1.97288832806405,0.046355904987043436,True
exp1_adults,familiar,10.0,11.196940104166666,0.0815022845493853,1.9564049692589283,0.04390448148691113,True
exp1_adults,familiar,11.0,11.11328125,0.0837136193301112,1.911338764866204,0.04509570584925295,True
exp1_adults,novel,2.0,12.373046875,0.0875290289258036,2.589962153970659,0.047151029585087094,True
exp1_adults,novel,3.0,12.037760416666666,0.0884615195542338,2.409346626637949,0.0476533531427516,True
exp1_adults,novel,4.0,11.903645833333334,0.089051774481895,2.3371004157048656,0.04797131768432658,True
exp1_adults,novel,5.0,12.173502604166666,0.0891916307281103,2.482469611975561,0.04804665687275225,True
exp1_adults,novel,6.0,12.310872395833334,0.0905182681102917,2.556469371717701,0.04876130342171536,True
exp1_adults,novel,7.0,12.319010416666666,0.0922331798091806,2.560853243740339,0.04968510953772592,True
exp1_adults,novel,8.0,12.248046875,0.0915045630925781,2.5226258797029306,0.049292610857204336,True
exp1_adults,novel,9.0,12.768229166666666,0.0952441427596361,2.8028429793899896,0.05130708575406065,True
exp1_adults,novel,10.0,12.594075520833334,0.0945360837799763,2.7090281181055245,0.05092566132484385,True
exp1_adults,novel,11.0,12.678059895833334,0.094404847277547,2.7542696773791544,0.05085496550787171,True
exp2_infants,familiar,,38.70880069360025,0.2265359235069243,17.53874130413827,0.09530431090812114,True
exp2_infants,pose,,38.926114857748054,0.23840720513173683,17.63016599450994,0.10029859303933648,True
exp2_infants,number,,40.65344122129693,0.2361583360438643,18.35685713577798,0.09935248738234245,True
exp2_infants,identity,,42.413244674349414,0.25279384288040424,19.09721148148409,0.10635109268573185,True
exp2_infants,animacy,,48.61220041450474,0.2050248678348351,21.70512989027186,0.08625454826563221,True
exp2_adults,familiar,1.0,13.888541666666669,0.03982832200623653,2.8170937222302874,0.013279325881700086,True
exp2_adults,familiar,2.0,12.332486979166667,0.039635199562056266,2.298283080852428,0.01321493612732031,True
exp2_adults,familiar,3.0,11.913736979166668,0.038467537430305024,2.1586659081256636,0.01282562105738547,True
exp2_adults,familiar,4.0,11.629361979166667,0.038170167795504854,2.0638512609753983,0.012726473815198985,True
exp2_adults,familiar,5.0,11.478841145833332,0.03742231293249199,2.0136654862017225,0.012477128426342108,True
exp2_adults,familiar,6.0,11.31484375,0.0376888269184676,1.9589864348804045,0.012565987958793583,True
exp2_adults,pose,2.0,12.43359375,0.086937718752348,2.331993508284745,0.0289862650639222,True
exp2_adults,pose,4.0,12.0263671875,0.08782761341163804,2.196218412605965,0.02928296852984393,True
exp2_adults,pose,6.0,11.854817708333334,0.0850968779578492,2.139021389885968,0.028372502706506052,True
exp2_adults,number,2.0,12.4580078125,0.08871704662703718,2.340133502030475,0.029579518143845844,True
exp2_adults,number,4.0,12.024088541666666,0.08844817105279468,2.195458679856363,0.029489871224464295,True
exp2_adults,number,6.0,11.8525390625,0.08615691581117489,2.138261657136366,0.02872593431979484,True
exp2_adults,identity,2.0,12.5107421875,0.09052429518855493,2.3577158885212524,0.03018208037566344,True
exp2_adults,identity,4.0,11.998372395833334,0.08845671746707755,2.1868845531108616,0.029492720719865192,True
exp2_adults,identity,6.0,12.1484375,0.08930164318659356,2.236918381334616,0.029774430905233438,True
exp2_adults,animacy,2.0,13.287760416666666,0.09576189978392295,2.6167847561353583,0.03192837182752253,True
exp2_adults,animacy,4.0,13.510416666666666,0.09746321200478707,2.691021499096417,0.03249561338502113,True
exp2_adults,animacy,6.0,14.176106770833334,0.10669835370073427,2.9129719952299946,0.03557474024667893,True
