trial_type,trial_number,mean_sample
fam,1,16.466974919467727
fam,2,13.57544280313048
fam,3,12.030561943406028
fam,4,11.119422504482763
fam,5,10.550853494628871
fam,6,10.182548759818888
pose,2,14.217986251631281
pose,4,12.35711117997865
pose,6,11.64154366169412
number,2,14.759185697764524
number,4,13.152810551559549
number,6,12.676886024186304
identity,2,14.752359817846163
identity,4,14.050747454522124
identity,6,13.90590636387583
animacy,2,16.65672680953229
animacy,4,16.125585696942746
animacy,6,15.91793832350915
